SETTLEMENT_DATE,SETTLEMENT_PERIOD,Total
2009-01-01,38,44382
2009-01-01,37,45272
2009-01-01,36,45953
2009-01-01,35,46100
2009-01-01,34,45560
2009-01-01,33,43576
2009-01-01,32,41752
2009-01-01,31,40831
2009-01-01,30,40559
2009-01-01,29,40797
2009-01-01,28,40820
2009-01-01,27,40865
2009-01-01,26,40731
2009-01-01,25,40265
2009-01-01,24,39296
2009-01-01,23,38030
2009-01-01,22,36642
2009-01-01,21,34998
2009-01-01,20,33323
2009-01-01,19,31425
2009-01-01,18,29850
2009-01-01,17,29082
2009-01-01,16,28916
2009-01-01,15,29723
2009-01-01,14,30360
2009-01-01,13,30486
2009-01-01,12,30377
2009-01-01,11,30782
2009-01-01,10,31326
2009-01-01,9,32026
2009-01-01,8,33132
2009-01-01,7,34365
2009-01-01,6,35451
2009-01-01,5,35737
2009-01-01,4,36476
2009-01-01,3,37433
2009-01-01,2,38100
2009-01-01,1,37964
2009-01-01,48,33566
2009-01-01,47,34851
2009-01-01,46,36069
2009-01-01,45,37040
2009-01-01,44,38422
2009-01-01,43,40068
2009-01-01,42,40853
2009-01-01,41,42281
2009-01-01,40,42683
2009-01-01,39,43877
2009-01-02,48,36389
2009-01-02,47,37613
2009-01-02,46,39243
2009-01-02,45,40486
2009-01-02,44,41691
2009-01-02,43,43503
2009-01-02,42,44889
2009-01-02,41,45996
2009-01-02,40,47127
2009-01-02,39,48613
2009-01-02,38,49676
2009-01-02,37,50729
2009-01-02,36,51529
2009-01-02,35,51473
2009-01-02,34,50016
2009-01-02,33,47234
2009-01-02,32,45101
2009-01-02,31,44254
2009-01-02,30,43931
2009-01-02,29,44109
2009-01-02,28,43987
2009-01-02,27,44295
2009-01-02,26,44178
2009-01-02,25,44304
2009-01-02,24,43968
2009-01-02,23,43773
2009-01-02,22,43378
2009-01-02,21,42844
2009-01-02,20,41775
2009-01-02,19,40393
2009-01-02,18,38397
2009-01-02,17,36381
2009-01-02,16,35022
2009-01-02,15,34329
2009-01-02,14,33483
2009-01-02,13,32212
2009-01-02,12,30907
2009-01-02,11,30504
2009-01-02,10,30560
2009-01-02,9,30975
2009-01-02,8,31663
2009-01-02,7,32425
2009-01-02,6,33030
2009-01-02,5,32872
2009-01-02,4,33061
2009-01-02,3,33787
2009-01-02,2,34111
2009-01-02,1,34283
2009-01-03,48,36490
2009-01-03,47,37300
2009-01-03,46,38759
2009-01-03,45,39776
2009-01-03,44,40976
2009-01-03,43,42474
2009-01-03,42,43797
2009-01-03,41,45316
2009-01-03,40,46426
2009-01-03,39,47586
2009-01-03,38,48611
2009-01-03,37,49647
2009-01-03,36,50021
2009-01-03,35,50043
2009-01-03,34,48281
2009-01-03,33,45243
2009-01-03,32,42855
2009-01-03,31,42072
2009-01-03,30,41749
2009-01-03,29,41903
2009-01-03,28,42063
2009-01-03,27,42544
2009-01-03,26,42701
2009-01-03,25,42846
2009-01-03,24,42614
2009-01-03,23,42492
2009-01-03,22,42196
2009-01-03,21,41586
2009-01-03,20,40390
2009-01-03,19,38902
2009-01-03,18,36723
2009-01-03,17,34783
2009-01-03,16,33474
2009-01-03,15,33088
2009-01-03,14,32631
2009-01-03,13,32238
2009-01-03,12,31555
2009-01-03,11,31515
2009-01-03,10,31748
2009-01-03,9,32163
2009-01-03,8,32871
2009-01-03,7,33664
2009-01-03,6,34307
2009-01-03,5,34305
2009-01-03,4,34720
2009-01-03,3,35772
2009-01-03,2,36367
2009-01-03,1,36855
2009-01-04,48,34916
2009-01-04,47,36087
2009-01-04,46,38405
2009-01-04,45,40237
2009-01-04,44,41689
2009-01-04,43,43892
2009-01-04,42,44840
2009-01-04,41,46358
2009-01-04,40,46957
2009-01-04,39,47863
2009-01-04,38,48861
2009-01-04,37,49979
2009-01-04,36,50545
2009-01-04,35,50884
2009-01-04,34,50379
2009-01-04,33,48058
2009-01-04,32,46311
2009-01-04,31,45422
2009-01-04,30,45407
2009-01-04,29,45386
2009-01-04,28,45265
2009-01-04,27,45451
2009-01-04,26,45280
2009-01-04,25,45094
2009-01-04,24,44216
2009-01-04,23,43356
2009-01-04,22,42013
2009-01-04,21,40489
2009-01-04,20,38264
2009-01-04,19,36239
2009-01-04,18,34002
2009-01-04,17,32434
2009-01-04,16,31455
2009-01-04,15,31495
2009-01-04,14,31623
2009-01-04,13,31578
2009-01-04,12,31316
2009-01-04,11,31547
2009-01-04,10,31926
2009-01-04,9,32438
2009-01-04,8,33149
2009-01-04,7,33964
2009-01-04,6,34293
2009-01-04,5,34173
2009-01-04,4,34721
2009-01-04,3,35647
2009-01-04,2,36425
2009-01-04,1,36938
2009-01-05,20,50879
2009-01-05,19,50207
2009-01-05,18,48598
2009-01-05,17,47648
2009-01-05,16,46173
2009-01-05,15,43877
2009-01-05,14,40299
2009-01-05,13,37101
2009-01-05,12,34342
2009-01-05,11,33359
2009-01-05,10,33169
2009-01-05,9,33226
2009-01-05,8,33822
2009-01-05,7,34503
2009-01-05,6,34941
2009-01-05,5,34575
2009-01-05,4,34694
2009-01-05,3,35346
2009-01-05,2,35540
2009-01-05,1,35651
2009-01-05,48,37958
2009-01-05,47,39385
2009-01-05,46,41934
2009-01-05,45,44472
2009-01-05,44,46306
2009-01-05,43,48944
2009-01-05,42,50523
2009-01-05,41,51961
2009-01-05,40,53648
2009-01-05,39,54934
2009-01-05,38,55928
2009-01-05,37,56879
2009-01-05,36,57489
2009-01-05,35,58043
2009-01-05,34,56755
2009-01-05,33,53974
2009-01-05,32,52082
2009-01-05,31,51222
2009-01-05,30,51422
2009-01-05,29,51683
2009-01-05,28,51470
2009-01-05,27,51722
2009-01-05,26,51720
2009-01-05,25,51930
2009-01-05,24,51674
2009-01-05,23,51631
2009-01-05,22,51348
2009-01-05,21,51285
2009-01-06,48,38605
2009-01-06,47,39815
2009-01-06,46,42520
2009-01-06,45,44925
2009-01-06,44,47282
2009-01-06,43,49701
2009-01-06,42,51613
2009-01-06,41,53284
2009-01-06,40,54282
2009-01-06,39,55878
2009-01-06,38,56871
2009-01-06,37,57667
2009-01-06,36,58308
2009-01-06,35,58817
2009-01-06,34,57816
2009-01-06,33,54643
2009-01-06,32,52548
2009-01-06,31,51412
2009-01-06,30,51511
2009-01-06,29,51713
2009-01-06,28,51561
2009-01-06,27,51875
2009-01-06,26,52054
2009-01-06,25,52286
2009-01-06,24,52200
2009-01-06,23,52258
2009-01-06,22,52358
2009-01-06,21,52278
2009-01-06,20,52212
2009-01-06,19,51716
2009-01-06,18,50385
2009-01-06,17,50080
2009-01-06,16,49267
2009-01-06,15,47158
2009-01-06,14,43452
2009-01-06,13,40271
2009-01-06,12,37485
2009-01-06,11,36414
2009-01-06,10,36110
2009-01-06,9,36233
2009-01-06,8,36723
2009-01-06,7,37408
2009-01-06,6,37716
2009-01-06,5,37416
2009-01-06,4,37629
2009-01-06,3,38202
2009-01-06,2,38311
2009-01-06,1,38365
2009-01-07,8,37415
2009-01-07,7,37953
2009-01-07,6,38401
2009-01-07,5,38091
2009-01-07,4,38242
2009-01-07,3,38752
2009-01-07,2,38787
2009-01-07,1,38957
2009-01-07,48,37720
2009-01-07,47,39195
2009-01-07,46,41630
2009-01-07,45,43818
2009-01-07,44,46348
2009-01-07,43,48492
2009-01-07,42,50166
2009-01-07,41,52075
2009-01-07,40,53481
2009-01-07,39,54660
2009-01-07,38,55907
2009-01-07,37,56976
2009-01-07,36,57626
2009-01-07,35,58370
2009-01-07,34,57586
2009-01-07,33,55513
2009-01-07,32,53455
2009-01-07,31,52368
2009-01-07,30,52513
2009-01-07,29,52703
2009-01-07,28,52622
2009-01-07,27,52763
2009-01-07,26,52952
2009-01-07,25,53143
2009-01-07,24,52980
2009-01-07,23,53048
2009-01-07,22,52991
2009-01-07,21,52797
2009-01-07,20,52586
2009-01-07,19,51984
2009-01-07,18,50786
2009-01-07,17,50918
2009-01-07,16,49804
2009-01-07,15,47328
2009-01-07,14,43551
2009-01-07,13,40323
2009-01-07,12,37594
2009-01-07,11,36942
2009-01-07,10,36743
2009-01-07,9,36841
2009-01-08,48,37481
2009-01-08,47,38836
2009-01-08,46,41281
2009-01-08,45,43445
2009-01-08,44,45620
2009-01-08,43,48056
2009-01-08,42,49876
2009-01-08,41,51616
2009-01-08,40,52673
2009-01-08,39,54056
2009-01-08,38,55453
2009-01-08,37,56332
2009-01-08,36,57033
2009-01-08,35,57352
2009-01-08,34,56466
2009-01-08,33,53422
2009-01-08,32,51145
2009-01-08,31,50193
2009-01-08,30,50115
2009-01-08,29,50336
2009-01-08,28,50235
2009-01-08,27,50570
2009-01-08,26,50612
2009-01-08,25,50862
2009-01-08,24,50854
2009-01-08,23,50798
2009-01-08,22,50759
