"Date"	"ScotDemand"	"NITransfer"	"Fergus"	"GBTotal"	"EnglandTransfer"
2014-01-23	272.859138	196.088325	623.148415	3108.979851	154.200952
2014-01-24	263.516193	158.35612	642.398933	3182.667972	220.52662
2014-01-25	230.895062	130.400391	587.09741	2728.844854	225.801957
2014-01-26	243.12118	133.011068	585.812464	2924.235238	209.680216
2014-01-27	245.583925	157.166528	585.041861	3256.552804	182.291408
2014-01-28	240.402562	176.122216	526.755744	3185.937609	110.230966
2014-01-29	244.341636	202.433336	615.551836	3328.598667	168.776864
2014-01-30	249.761643	200.788879	613.111944	3564.196868	162.561422
2014-01-31	259.268995	176.499973	570.940166	3298.551373	135.171198
2014-02-01	241.563425	161.222263	510.754639	2861.348009	107.968951
2014-02-02	230.116154	131.477797	513.025192	2786.596353	151.431241
2014-02-03	244.503935	197.944336	631.127648	3199.780852	188.679377
2014-02-04	257.258319	177.32232	613.3931	3115.087885	178.812461
2014-02-05	236.791581	179.85555	535.00325	3102.805724	118.356119
2014-02-06	238.158719	210.122206	552.899114	3151.860275	104.618189
2014-02-07	255.739439	179.56665	591.334336	2962.849091	156.028247
2014-02-08	223.359144	148.788927	677.919366	2759.680151	305.771295
2014-02-09	227.743803	159.144423	720.668425	2873.150007	333.780199
2014-02-10	233.932193	196.222059	708.427372	3278.968813	278.27312
2014-02-11	248.530897	188.489041	604.841042	3435.786324	167.821104
2014-02-12	261.185086	195.69987	576.96763	3424.419671	120.082674
2014-02-13	258.285611	198.844401	578.041058	3276.299428	120.911046
2014-02-14	257.556171	196.166721	621.372545	3315.462564	167.649653
2014-02-15	230.500862	168.621962	590.21409	2876.025317	191.091266
2014-02-16	270.407476	165.511339	638.719772	2045.077911	202.800957
2014-02-17	286.584613	211.544596	800.65123	3216.455211	302.522021
2014-02-18	266.283155	202.688802	623.853045	2979.858196	154.881088
2014-02-19	244.65827	174.155545	667.847277	2824.42538	249.033462
2014-02-20	218.122462	169.322374	623.096649	2659.000804	235.651813
2014-02-21	231.441676	179.040677	604.51793	1971.34611	194.035577
2014-02-22	210.963642	143.000217	820.07626	3089.462681	466.112401
2014-02-23	207.763857	143.133138	772.493024	2871.182788	421.596029
2014-02-24	244.476756	168.966471	844.598036	2955.065477	431.154809
2014-02-25	219.543919	160.366753	693.815139	1891.985825	313.904467
2014-02-26	242.590306	163.222114	628.438261	2811.446146	222.625841
2014-02-27	252.604517	183.555773	675.686831	2925.895846	239.526541
2014-02-28	252.749409	185.844727	681.159029	3116.686495	242.564893
2014-03-01	249.994579	159.810655	561.702334	1945.299009	151.8971
2014-03-02	257.545293	161.000434	549.475847	2720.465378	130.93012
2014-03-03	266.041934	196.52181	561.101158	3022.261762	98.537414
2014-03-04	255.99402	203.933377	581.78685	3012.904124	121.859453
2014-03-05	232.695285	183.089193	571.584503	2835.973824	155.800025
2014-03-06	213.77826	189.644097	585.237306	2636.470017	181.814949
2014-03-07	210.753406	174.211155	558.969564	2524.868609	174.005003
2014-03-08	220.246535	142.15549	566.50089	2311.997182	204.098865
2014-03-09	219.445424	173.411458	579.801897	2285.856631	186.945015
2014-03-10	243.434478	212.222222	615.464437	2670.865648	159.807737
2014-03-11	237.687135	214.477539	626.908233	2775.307314	174.743559
2014-03-12	231.837184	218.855794	588.145484	2792.436496	137.452506
2014-03-13	227.839986	221.022135	622.938869	2725.529151	174.076748
2014-03-14	210.17815	171.032986	537.59875	2644.423084	156.387614
2014-03-15	197.766013	128.677843	555.791583	2417.135832	229.347727
2014-03-16	191.006955	127.367079	549.536048	2417.981904	231.162014
2014-03-17	210.786724	146.533203	595.23113	2347.224497	237.911203
2014-03-18	213.154403	147.977431	592.664366	2463.443253	231.532532
2014-03-19	200.788194	142.263028	599.09885	2598.420685	256.047628
2014-03-20	231.167223	156.0447	636.485874	2689.235437	249.273951
2014-03-21	235.548653	170.050833	605.518577	2016.216719	199.919091
2014-03-22	229.287279	152.122222	601.53174	2744.262354	220.122239
2014-03-23	233.622861	160.0008	597.399491	2762.192228	203.77583
2014-03-24	224.94969	170.802961	618.288389	2705.103366	222.535738
2014-03-25	228.058869	183.931733	553.197555	2987.87405	141.206953
2014-03-26	219.558142	198.455534	574.590503	3021.30128	156.576827
2014-03-27	225.916767	197.992667	550.109427	2897.441257	126.199993
2014-03-28	224.217847	173.939	543.005419	2702.278177	144.848572
2014-03-29	186.300697	152.284153	520.492	2426.74024	181.90715
2014-03-30	192.885947	153.917789	504.347186	2436.802966	157.54345
2014-03-31	188.091482	174.658333	545.277472	2543.570587	182.527657
2014-04-01	192.428237	176.6365	532.895981	2427.794482	163.831244
2014-04-02	189.428331	170.723339	550.979075	2295.861115	190.827405
2014-04-03	191.90983	188.679108	571.292347	2466.575315	190.703409
2014-04-04	179.051031	163.088888	574.743589	2413.416537	232.60367
2014-04-05	155.295021	135.45556	561.855712	2313.639767	271.105131
2014-04-06	141.138242	123.211093	547.180389	2305.942906	282.831054
2014-04-07	164.395602	168.100009	393.753208	2284.687059	61.257597
2014-04-08	161.906234	167.346556	390.050926	2248.592046	60.798136
2014-04-09	159.079979	165.079169	360.813472	2113.574975	36.654324
2014-04-10	151.579585	172.019583	408.538579	2281.710352	84.939411
2014-04-11	156.858089	163.71725	463.795917	2158.588425	143.220578
2014-04-12	151.710681	128.366631	509.186	2186.858625	229.108688
2014-04-13	167.993202	124.460622	513.07455	2228.572788	220.620726
2014-04-14	152.597833	171.070356	513.536458	2529.555356	189.868269
2014-04-15	140.101365	55.066732	509.770039	2288.560929	314.601942
2014-04-16	143.694326	151.418667	503.258878	2209.245501	208.145885
2014-04-17	149.238423	143.924833	510.009717	2314.92427	216.846461
2014-04-18	133.717775	153.02219	499.448889	2335.111205	212.708924
2014-04-19	119.903576	133.122287	470.508538	2274.395729	217.482675
2014-04-20	126.062804	122.666558	462.160398	2357.3266	213.431036
2014-04-21	128.610381	116.188965	464.87272	2250.999906	220.073374
2014-04-22	151.257577	146.544461	448.791075	2244.375642	150.989037
2014-04-23	134.442892	150.188802	460.101911	2221.256554	175.470217
2014-04-24	120.576583	148.122287	457.931485	2037.975043	189.232615
2014-04-25	147.580927	130.011122	469.026294	2244.378751	191.434245
2014-04-26	126.751179	129.211155	550.748637	2161.67454	294.786303
2014-04-27	130.48331	139.822049	544.243775	2226.131194	273.938416
2014-04-28	125.956355	185.911187	585.029247	2219.835918	273.161705
2014-04-29	107.084789	168.944499	570.425769	2259.290994	294.396481
2014-04-30	146.424734	169.188911	599.622695	2219.672464	284.00905
2014-05-01	170.206412	197.455512	611.914353	2368.653288	244.252429
2014-05-02	149.09094	210.900065	618.622877	2287.339309	258.631872
2014-05-03	136.148043	167.588704	608.650108	2323.314614	304.913361
2014-05-04	124.037792	142.409244	605.037691	2252.801802	338.590655
2014-05-05	125.35085	157.704222	605.910811	2208.179089	322.855739
2014-05-06	118.839516	164.863938	591.630561	2192.925163	307.927107
2014-05-07	135.225007	173.5596	590.932173	2272.222107	282.147566
2014-05-08	123.656041	178.000217	578.853716	2372.664196	277.197458
2014-05-09	115.269862	163.866645	585.808084	2203.077132	306.671577
2014-05-10	111.63387	142.255317	588.090022	2125.99127	334.200835
2014-05-11	111.495665	150.222439	589.527544	2294.42221	327.80944
2014-05-12	126.076855	180.533312	596.689095	2441.419593	290.078928
2014-05-13	115.336345	176.688911	556.489958	2437.453471	264.464702
2014-05-14	112.10389	199.088542	526.688517	2408.098769	215.496085
2014-05-15	101.12153	193.089193	526.4294	2339.599591	232.218677
2014-05-16	86.550716	172.255317	546.418445	2173.029233	287.612412
2014-05-17	93.930231	144.011502	554.767277	2057.468947	316.825544
2014-05-18	93.104899	171.044379	560.39035	2093.748544	296.241072
2014-05-19	94.457477	198.19987	555.905011	2155.998506	263.247664
2014-05-20	97.500897	196.421984	398.852994	2028.857321	104.930113
2014-05-21	88.43525	186.233724	380.396311	1961.29774	105.727337
2014-05-22	113.425198	170.188802	390.046852	2040.443963	106.432852
2014-05-23	106.124189	165.322266	362.986573	2063.213611	91.540118
2014-05-24	105.471312	162.5	489.555139	1977.645812	221.583827
2014-05-25	106.493102	176.133355	543.028277	2002.746706	260.40182
2014-05-26	99.378537	216.588542	592.442544	2058.202186	276.475465
2014-05-27	93.127633	195.566949	544.587167	2148.968651	255.892585
2014-05-28	105.895958	209.855686	469.464914	2302.129768	153.71327
2014-05-29	112.294709	200.955404	472.324148	2247.911062	159.074035
2014-05-30	95.458204	201.333008	441.214663	2109.41384	144.423451
2014-05-31	80.60179	174.28928	424.167	1931.022415	169.27593
2014-06-01	81.070964	142.666558	352.949694	1890.828768	129.212172
2014-06-02	89.172268	175.377604	390.409778	2098.862933	125.859906
2014-06-03	89.211086	192.111003	465.290902	2118.861438	183.968813
2014-06-04	101.082648	174.678277	461.875261	2184.948737	186.114336
2014-06-05	101.166964	183.032769	502.059861	2057.796358	217.860128
2014-06-06	83.837264	132.777778	533.803588	2137.413644	317.188546
2014-06-07	84.541935	146.889106	481.703129	2002.460343	250.272088
2014-06-08	79.646033	146.39974	480.538269	2072.602841	254.492496
2014-06-09	89.744568	174.111328	476.960775	2242.184713	213.104879
2014-06-10	89.164889	190.62283	443.204167	2208.367358	163.416448
2014-06-11	84.368679	188.310547	434.252733	1954.427414	161.573507
2014-06-12	83.730575	180.566406	449.822511	1938.199122	185.52553
2014-06-13	80.605831	187.200521	474.4627	1901.943175	206.656348
2014-06-14	75.002004	178.176472	458.203359	1830.722382	205.024883
2014-06-15	81.124756	161.41545	471.068908	1873.591438	228.528702
2014-06-16	78.755989	183.177762	473.872364	1924.451515	211.938613
2014-06-17	75.758395	192.933333	475.880639	2020.378319	207.188911
2014-06-18	74.590567	198.133308	488.959197	1999.341946	216.235322
2014-06-19	77.650033	182.02223	482.995895	1964.073591	223.323632
2014-06-20	74.484507	191.777751	503.32265	1892.975735	237.060392
2014-06-21	70.889142	168.911133	497.067694	2010.357474	257.267419
2014-06-22	72.783961	161.388889	462.57135	2011.302583	228.3985
2014-06-23	77.389311	190.722249	462.526931	1967.235975	194.415371
2014-06-24	82.952041	204.299995	467.442373	1911.231766	180.190337
2014-06-25	88.671424	203.933241	489.867456	1936.729108	197.262791
2014-06-26	88.00882	180.611165	519.612895	2187.871445	250.99291
2014-06-27	90.37179	185.344374	505.554448	2213.96563	229.838284
2014-06-28	88.694043	178.177897	465.097	2230.074419	198.22506
2014-06-29	84.430166	178.044434	434.226025	1950.660475	171.751425
2014-06-30	84.737751	188.7925	410.899498	2032.033339	137.369247
2014-07-01	77.87244	187.900119	421.994864	2008.227037	156.222305
2014-07-02	82.818505	149.21325	446.922134	1820.749301	214.890379
2014-07-03	82.783137	149.65549	455.528083	1844.129173	223.089456
2014-07-04	83.589324	172.26671	561.25752	1901.377201	305.401486
2014-07-05	78.555075	166.644423	561.292709	1974.822753	316.093211
2014-07-06	77.51819	155.622287	516.595775	2017.454077	283.455298
2014-07-07	82.217939	197.977702	562.327634	2125.718854	282.131993
2014-07-08	84.612103	191.066623	572.613378	2152.64964	296.934652
2014-07-09	79.217998	194.988607	556.540134	2070.573985	282.333529
2014-07-10	77.495801	196.622721	539.175639	2068.083157	265.057117
2014-07-11	71.742847	176.733398	518.711665	2079.696856	270.23542
2014-07-12	70.004048	133.044162	360.320861	1733.080816	157.272651
2014-07-13	72.144567	134.477539	389.682186	1790.355635	183.06008
2014-07-14	79.891447	129.900174	431.714175	1895.153299	221.922554
2014-07-15	78.719086	147.366536	468.302122	1903.189449	242.2165
2014-07-16	82.040992	147.03342	460.904936	1994.196357	231.830524
2014-07-17	74.97567	146.467014	482.723459	1926.374863	261.280775
2014-07-18	68.306132	132.866211	496.430263	1810.376846	295.25792
2014-07-19	73.260868	145.177951	508.93028	1863.166922	290.491461
2014-07-20	68.655998	136.700304	502.227944	1918.633313	296.871642
2014-07-21	67.80367	161.1773	481.450142	1917.431881	252.469172
2014-07-22	62.106855	165.277778	544.758905	1891.959218	317.374272
2014-07-23	63.409359	163.596478	572.947169	1910.864206	345.941332
2014-07-24	62.114006	161.757975	504.981959	1947.942332	281.109978
2014-07-25	59.546933	167.111003	471.810098	2011.626008	245.152162
2014-07-26	55.987084	135.955404	490.274457	1996.313387	298.331969
2014-07-27	63.060421	118.077799	470.439223	1999.521031	289.301003
2014-07-28	65.68789	167.744683	414.524947	1960.191664	181.092374
2014-07-29	66.511702	159.544271	370.70402	2015.341914	144.648047
2014-07-30	68.669695	171.577691	363.087653	1866.197902	122.840267
2014-07-31	69.135818	184.577908	373.135653	1771.511012	119.421927
2014-08-01	68.148137	189.466688	365.908417	1807.518176	108.293592
2014-08-02	69.659131	132.73329	371.421638	1748.989603	169.029217
2014-08-03	66.798514	139.622396	381.666814	1743.70744	175.245904
2014-08-04	75.233444	165.82194	378.741206	1778.075475	137.685822
2014-08-05	73.222455	175.333116	376.766356	1824.650567	128.210785
