"Quarter"	"Biomass"	"Coal"	"Gas"	"Hydro"	"Imports"	"Nuclear"	"Other"	"Solar"	"Wind"	"Total"
2018 Q2	94483.2198355669	0	1281552.34445371	447512.523293163	110067.851878386	3039766.63885412	0	118296.522170696	1650972.52570519	6742651.62619084
2018 Q3	166324.173431879	0	1941832.4772691	642073.183375888	154357.109957071	4487939.42177377	0	120421.835845288	3801966.99498414	11314915.1966371
2018 Q4	180665.829943657	0	2903528.4549768	1786168.30773657	160478.514721214	2615727.71662335	0	41515.1374701315	6741327.6014356	14429579.2101465
2019 Q1	198556.410287202	460.997908643071	2642280.18311479	1589469.33848867	117941.974499352	3367471.53588246	0	71855.4763807036	5905089.99772875	13898693.8488478
2019 Q2	240755.07881909	0	2031831.4577734	969772.83665883	172312.306386945	4002330.66617455	0	205223.114777023	5288514.6200399	12910748.2471558
2019 Q3	193626.552928097	0	1071725.15574999	952614.217585974	95382.266129108	4452604.14651858	0	155626.613921038	4971490.63426363	11893114.9214237
2019 Q4	181938.928337222	0	2217250.33215782	1231660.00637062	116908.178172379	4696130.10543136	0	37909.4555317937	6020312.03708903	14502113.436551
2020 Q1	145337.976844207	0	1629004.61763117	1519015.95916725	79463.3477292041	2805450.00973441	0	54117.5852828087	7092188.64393273	13324578.1403218
2020 Q2	180675.363578452	0	1405995.71406007	964721.485751058	184500.178594985	3446542.25191055	0	208669.717566791	4303932.51976347	10694809.56915
2020 Q3	113887.558741742	0	1796221.06573132	858329.119119663	150157.166158351	2658399.44256601	0	118179.541323583	3575884.78528616	9271029.02531341
