"Quarter"	"Biomass"	"Coal"	"Gas"	"Hydro"	"Imports"	"Nuclear"	"Other"	"Solar"	"Wind"	"Total"
2018 Q2	4399024.928	587604.206	29849093.87	1101849.653	6048083.078	16832302.017	199947.731	5580678.505	7486715.012	72085299
2018 Q3	7621774.082	3162853.776	46963727.068	1986236.304	9955906.883	29549626.229	290475.987	7210460.057	16765265.614	123506326
2018 Q4	9861902.61	9370941.005	58618964.605	3538646.719	10075229.803	27127239.937	255383.649	2510205.198	28650847.474	150009361
2019 Q1	7789290.937	5232693.301	61818851.616	3241211.279	11762517.083	25970551.75	267699.902	3885943.702	23392137.43	143360897
2019 Q2	8631994.82	748949.939	57403281.473	1725175.085	9588983.737	25137372.759	234809.449	8598097.551	19554677.187	131623342
2019 Q3	8134095.106	810592.796	49655243.311	2419740.941	8842450.196	25789905.836	447092.164	8018267.584	22187586.066	126304974
2019 Q4	10258822.649	4717721.389	59414448.254	3121477.142	9779124.103	29801865.218	589931.502	2377882.927	30291298.816	150352572
2020 Q1	9369531.629	5644198.029	46367937.941	3846843.505	10440364.345	23953666.465	644805.211	3847708.52	38243276.355	142358332
2020 Q2	9423521.96	214568.076	38035496.189	1887729.131	10646538.601	22890227.73	169789.602	9762108.017	20531175.21	113560469
2020 Q3	6666399.982	262429.301	42725658.41	1676216.472	5949749.799	17092776.78	0	6427290.855	18418739.485	99217344
