"Technology Type"	"<5MW"	"5 - 10MW"	"10-50MW"	"50MW +"	"Total"
"Wind Onshore"	420.718526763381	379.9235	3038.542	4487.55	8326.73402676338
"Wind Offshore"	29.95	7	88.6325	855.2	980.7825
"Large Hydro"	916.396	38.1	219.5	165	1338.996
"Biomass (dedicated)"	28.8558	30.92	83.043	115.4	258.2188
"Small Hydro"	315.02907	0	0	0	315.02907
"Landfill Gas"	94.474	7.39	14	0	115.864
"Solar Photovoltaics"	321.152176069243	25	23	0	369.152176069243
"EfW Incineration"	8.2	8.3	23	0	39.5
"Anaerobic Digestion"	48.148	5	0	0	53.148
"Advanced Conversion Technologies"	2	0	22.5	0	24.5
"Shoreline wave / tidal"	15.918	6	0	0	21.918
"All Technologies"	2200.84157283262	507.6335	3512.2175	5623.15	11843.8425728326
