"Year"	"GVA"	"Emissions"	"CarbonProductivity"	"Change2000"	"Change2010"
1998	68827.59214798	83.336993961	825.894826254351	0	0
1999	70124.4632849129	80.261935491	873.695143979878	0	0
2000	72641.8876491083	81.42993906	892.078374215454	0	0
2001	76427.190812084	80.352941596	951.143658141926	0.0662108684995504	0
2002	80208.518280477	76.084484655	1054.20334571729	0.181738484182424	0
2003	85032.4360601451	76.047012279	1118.15617092463	0.253428177662085	0
2004	90627.3711598743	73.38334833	1234.98550042074	0.384391255428488	0
2005	96058.8387356029	71.357880151	1346.15600312584	0.50901091432659	0
2006	102488.659491012	73.456466391	1395.2299167983	0.564021679177399	0
2007	106867.508520014	69.286984522	1542.38937164427	0.728984152318163	0
2008	111378.753985473	67.079519575	1660.39880266201	0.861270097621482	0
2009	111033.988546459	62.963519204	1763.4654153735	0.976805476227794	0
2010	111035.300351172	65.463772279	1696.13354815471	0.901327951870132	0
2011	114130.683999879	58.756679107	1942.42911162558	1.17741979602842	0.145210006451923
2012	117995.358932678	59.038762658	1998.60826379784	1.24039537507624	0.178331898435831
2013	123702.90083285	57.381908868	2155.78225390538	1.41658391932357	0.270997944855664
2014	129122.531260895	53.676255941	2405.58006510037	1.69660170522122	0.418272793270023
2015	130528.175176159	53.204464527	2453.33124459732	1.7501297145051	0.446425753011254
2016	133268.464768944	48.541964374	2745.42792998969	2.07756359681309	0.618639011637115
2017	138025.993878428	47.503862848	2905.57410710104	2.25708389653137	0.713057388825388
2018	143679.605293736	48.885455709	2939.107413645	2.2946739867221	0.732827828824312
2019	147631.399384189	47.783911667	3089.56287239549	2.46333120687141	0.821532788946221
