"LA"	"Code"	"Rapid"	"Fast"	"Slow"	"Total"
"Aberdeen City"	"S12000033"	217009	133564	45961	396534
"Aberdeenshire"	"S12000034"	197570	51094	15935	264599
"Angus"	"S12000041"	125429	88755	25664	239848
"Argyll and Bute"	"S12000035"	94535	40604	7381	142520
"City of Edinburgh"	"S12000036"	325495	204443	128609	658547
"Clackmannanshire"	"S12000005"	0	21727	25405	47132
"Comhairle nan Eilean Siar"	"S12000013"	25324	8911	11031	45266
"Dumfries and Galloway"	"S12000006"	44078	4190	18117	66385
"Dundee City"	"S12000042"	1065144	139396	97324	1301864
"East Ayrshire"	"S12000008"	75447	30921	18912	125280
"East Dunbartonshire"	"S12000045"	24567	49971	11762	86300
"East Lothian"	"S12000010"	113724	98382	39095	251201
"East Renfrewshire"	"S12000011"	18851	41392	3780	64023
"Falkirk"	"S12000014"	65774	52407	14094	132275
"Fife"	"S12000047"	231378	43102	181723	456203
"Glasgow City"	"S12000049"	290027	257989	142851	690867
"Highland"	"S12000017"	320189	18453	12429	351071
"Inverclyde"	"S12000018"	10754	35597	6962	53313
"Midlothian"	"S12000019"	122041	10915	55461	188417
"Moray"	"S12000020"	21683	20378	10229	52290
"North Ayrshire"	"S12000021"	73628	26612	5273	105513
"North Lanarkshire"	"S12000050"	72659	31115	39895	143669
"Orkney Islands"	"S12000023"	50336	21202	12125	83663
"Perth and Kinross"	"S12000048"	315740	116519	27720	459979
"Renfrewshire"	"S12000038"	140374	46935	25301	212610
"Scottish Borders"	"S12000026"	139960	15945	12280	168185
"Shetland Islands"	"S12000027"	10624	500	16293	27417
"South Ayrshire"	"S12000028"	50482	65252	13079	128813
"South Lanarkshire"	"S12000029"	151693	36764	17420	205877
"Stirling"	"S12000030"	129716	99984	21502	251202
"West Dunbartonshire"	"S12000039"	56623	24969	11665	93257
"West Lothian"	"S12000040"	72403	102074	14754	189231
"Total"	"S92000003"	4653259	1940061	1090031	7683351
