"LA"	"Code"	"Rapid"	"Fast"	"Slow"	"Total"
"Aberdeen City"	"S12000033"	17375	11879	5122	34376
"Aberdeenshire"	"S12000034"	17298	4103	1875	23276
"Angus"	"S12000041"	10130	7401	2192	19723
"Argyll and Bute"	"S12000035"	7635	3817	672	12124
"City of Edinburgh"	"S12000036"	24393	16205	11558	52156
"Clackmannanshire"	"S12000005"	0	1436	3504	4940
"Comhairle nan Eilean Siar"	"S12000013"	2029	621	720	3370
"Dumfries and Galloway"	"S12000006"	2921	388	1532	4841
"Dundee City"	"S12000042"	97767	11805	9702	119274
"East Ayrshire"	"S12000008"	6233	3118	2241	11592
"East Dunbartonshire"	"S12000045"	1942	4331	1067	7340
"East Lothian"	"S12000010"	9066	8278	3479	20823
"East Renfrewshire"	"S12000011"	1196	4454	345	5995
"Falkirk"	"S12000014"	5131	4706	1563	11400
"Fife"	"S12000047"	17004	3820	16891	37715
"Glasgow City"	"S12000049"	17584	21780	13763	53127
"Highland"	"S12000017"	22435	1572	1079	25086
"Inverclyde"	"S12000018"	943	3898	573	5414
"Midlothian"	"S12000019"	8983	1116	4971	15070
"Moray"	"S12000020"	1189	1583	1344	4116
"North Ayrshire"	"S12000021"	5882	2632	715	9229
"North Lanarkshire"	"S12000050"	5092	2503	4122	11717
"Orkney Islands"	"S12000023"	4628	2504	1459	8591
"Perth and Kinross"	"S12000048"	25455	10033	2379	37867
"Renfrewshire"	"S12000038"	12437	4541	3524	20502
"Scottish Borders"	"S12000026"	11588	1316	1094	13998
"Shetland Islands"	"S12000027"	1146	60	1744	2950
"South Ayrshire"	"S12000028"	3953	5428	1222	10603
"South Lanarkshire"	"S12000029"	11306	3361	1668	16335
"Stirling"	"S12000030"	9228	8351	1886	19465
"West Dunbartonshire"	"S12000039"	4198	2141	1104	7443
"West Lothian"	"S12000040"	5624	8953	1664	16241
"Total"	"S92000003"	371791	168134	106774	646699
