"LACode","Local Authority","All Chargers","Rapid Chargers","Year"
"S12000005","Clackmannanshire","23","3","October 2021"
"S12000006","Dumfries & Galloway","102","32","October 2021"
"S12000008","East Ayrshire","67","17","October 2021"
"S12000010","East Lothian","123","23","October 2021"
"S12000011","East Renfrewshire","24","7","October 2021"
"S12000013","Na h-Eileanan Siar","28","7","October 2021"
"S12000014","Falkirk","53","11","October 2021"
"S12000017","Highland","224","81","October 2021"
"S12000018","Inverclyde","34","5","October 2021"
"S12000019","Midlothian","60","12","October 2021"
"S12000020","Moray","46","8","October 2021"
"S12000021","North Ayrshire","50","18","October 2021"
"S12000023","Orkney Islands","40","10","October 2021"
"S12000026","Scottish Borders","51","20","October 2021"
"S12000027","Shetland Islands","21","2","October 2021"
"S12000028","South Ayrshire","57","12","October 2021"
"S12000029","South Lanarkshire","148","45","October 2021"
"S12000030","Stirling","115","24","October 2021"
"S12000033","Aberdeen City","99","24","October 2021"
"S12000034","Aberdeenshire","106","18","October 2021"
"S12000035","Argyll & Bute","86","20","October 2021"
"S12000036","City of Edinburgh","146","24","October 2021"
"S12000038","Renfrewshire","71","21","October 2021"
"S12000039","West Dunbartonshire","26","4","October 2021"
"S12000040","West Lothian","46","9","October 2021"
"S12000041","Angus","75","24","October 2021"
"S12000042","Dundee City","127","43","October 2021"
"S12000045","East Dunbartonshire","25","4","October 2021"
"S12000047","Fife","114","18","October 2021"
"S12000048","Perth & Kinross","121","44","October 2021"
"S12000049","Glasgow City","203","24","October 2021"
"S12000050","North Lanarkshire","165","70","October 2021"
"S92000003","SCOTLAND","2676","684","October 2021"
