"District"	"Case Volumes"	"Proportion of Cases"
"Glasgow"	1561	0.251328288520367
"Edinburgh"	1185	0.190790532925455
"Motherwell"	435	0.0700370310739011
"Kilmarnock"	431	0.0693930123973595
"Kirkaldy"	392	0.0631138303010787
"Aberdeen"	388	0.0624698116245371
"Falkirk"	374	0.0602157462566414
"Paisley"	365	0.0587667042344228
"Dumfries"	254	0.0408951859603928
"Dundee"	227	0.0365480598937369
"Galashiels"	200	0.032200933827081
"Inverness"	171	0.0275317984221542
"Perth"	148	0.0238286910320399
"Kirkwall"	34	0.00547415875060377
"Comhairle nan Eilean Siar"	29	0.00466913540492674
"Shetland"	17	0.00273707937530188
