Year,ElecEngland,ElecScotland,ElecWales,GasEngland,GasScotland,GasWales
2006,NA,NA,NA,NA,NA,NA
2007,NA,NA,NA,NA,NA,NA
2008,NA,NA,NA,NA,NA,NA
2009,NA,NA,NA,NA,NA,NA
2010,NA,NA,NA,NA,NA,NA
2011,NA,NA,NA,NA,NA,NA
2012,0.6508320235687151,0.755158256147153,0.6593568703102172,0.6667519332559375,0.724789263996645,0.6478178624510201
2013,0.6581791569131424,0.7318172318302941,0.6363102569243548,0.675355466158278,0.7170012781743929,0.6419638126735916
2014,0.6086066758681721,0.5969181562507385,0.579464190415199,0.6355548928498465,0.6260574672392503,0.6205395996518712
2015,0.6120134140863102,0.5742859608249202,0.5695409030172058,0.6244743857944792,0.5966266178413986,0.5843484827408041
2016,0.5759092567214504,0.5427184305422305,0.529526614491123,0.5947607597951506,0.6182911506013283,0.5540323444361144
2017,0.5257492672513596,0.5040631925896459,0.503399184195793,0.5448013037895499,0.5288057873302694,0.5147263640832378
2018,0.5077261921096078,0.4820890655569703,0.5022243816522677,0.5217488296556394,0.49641609085854976,0.49933107125545323
