Year,Consuming Sector - Transport,Biofuel Proportion,Biofuels
2009,38290.00795507904,0.0333,1275.0572649041321
2010,37577.8761486913,0.0327,1228.7965500622054
2011,36922.93612672556,0.0358,1321.841113336775
2012,36731.116080896514,0.03,1101.9334824268954
2013,36736.88757316967,0.0346,1271.0963100316706
2014,37382.87969579722,0.0329,1229.8967419917285
2015,37454.35757196959,0.0303,1134.8670344306786
2016,37764.29907769439,0.0295,1114.0468227919846
2017,38744.09005060267,0.0313,1212.6900185838635
2018,38578.519768901984,0.0401,1546.9986427329695
2019,37980.437073272326,0.05142598350936632,1953.1813306086278
2020,37980.437073272326,0.059147876441853924,2246.4621992175194
