Region,Local Authority,LA Code,LAU1,Number of MPANs (thousands) - Domestic consumers - Economy 7 meters,Number of MPANs (thousands) - Domestic consumers - Standard Meters,Number of MPANs (thousands) - Domestic consumers - All domestic,Number of MPANs (thousands) - Non-domestic consumers - All Non-domestic,Number of MPANs (thousands) - Non-domestic consumers - Total number of Meters,Sales (GWh) - Domestic consumers - Economy 7 meters,Sales (GWh) - Domestic consumers - Standard meters,Sales (GWh) - Domestic consumers - All domestic,Sales (GWh) - Non-domestic consumers - All non-domestic,Sales (GWh) - All - Total consumption,Averages (KWh) - Domestic Economy 7 - Mean consumption,Averages (KWh) - Domestic Economy 8 - Median consumption,Averages (KWh) - Standard - Mean consumption,Averages (KWh) - Standard - Median consumption,Averages (KWh) - All domestic - Mean consumption,Averages (KWh) - All domestic - Median consumption,Averages (KWh) - Non-domestic - Mean consumption,Averages (KWh) - Non-domestic - Median consumption,Averages (KWh) - All - Mean consumption,Averages (KWh) - All - Median consumption,Average domestic consumption per household (kWh) (2) -  - ,Year
SCOTLAND,Aberdeen City,S12000033,UKM5001,16.258,107.803,124.061,8.119,132.18,75.8580583,369.0372807,444.895339,815.6631146,1260.5584536,4666,3837,3423,2766,3586,2844,100463,16035,9537,2943,4235.202709263473,2013
SCOTLAND,Aberdeenshire,S12000034,UKM5002,18.775,104.084,122.859,12.95,135.809,138.62260840000002,457.626743,596.2493514,665.0976006000001,1261.346952,7383,6462,4397,3697,4853,3916,51359,8006,9288,4016,5565.765732581585,2013
SCOTLAND,Angus,S12000041,UKM2101,11.146,50.358,61.504,5.324,66.828,69.1591673,194.5461837,263.705351,280.2817216,543.9870726,6205,5299,3863,3277,4288,3480,52645,8318,8140,3566,5031.296643962377,2013
SCOTLAND,Argyll and Bute,S12000035,"UKM3101, UKM6302, UKM6303",17.401,41.634,59.035,6.864,65.899,122.8731371,157.275216,280.1483531,237.76502680000002,517.9133799,7061,6105,3778,3049,4745,3560,34639,7840,7859,3697,6843.903676650218,2013
SCOTLAND,City of Edinburgh,S12000036,UKM2500,41.006,218.101,259.107,19.656,278.763,176.9334922,715.1831361000001,892.1166283,1591.0711620999998,2483.1877904000003,4315,3485,3279,2715,3443,2788,80946,9440,8908,2859,3926.189490014171,2013
SCOTLAND,Clackmannanshire,S12000005,UKM2201,2.665,22.165,24.83,1.34,26.17,12.6348776,77.8030219,90.4378995,130.3454388,220.78333830000003,4741,3566,3510,3085,3642,3117,97273,9344,8437,3169,3935.847310470885,2013
SCOTLAND,Dumfries and Galloway,S12000006,UKM3200,19.923,62.246,82.169,10.273,92.442,106.9794222,237.48229709999998,344.4617193,537.9287582999999,882.3904776,5370,4147,3815,3234,4192,3360,52363,7529,9545,3477,5015.31288110422,2013
SCOTLAND,Dundee City,S12000042,UKM2102,16.185,68.797,84.982,5.066,90.048,74.9575455,238.88654530000002,313.8440908,413.9111886,727.7552794,4631,3912,3472,2978,3693,3061,81704,11796,8082,3135,4515.742313669065,2013
SCOTLAND,East Ayrshire,S12000008,UKM3301,3.728,54.196,57.924,4.224,62.148,17.5214301,183.86003219999998,201.38146229999998,242.37276459999998,443.7542269,4700,3146,3393,2980,3477,2985,57380,8948,7140,3056,3698.2620296402397,2013
SCOTLAND,East Dunbartonshire,S12000045,UKM3103,4.262,42.568,46.83,2.421,49.251,19.7104474,168.14698280000002,187.8574302,158.4223375,346.2797677,4625,3505,3950,3477,4011,3478,65437,9212,7031,3532,4259.612493764455,2013
SCOTLAND,East Lothian,S12000010,UKM2301,7.222,41.718,48.94,3.36,52.3,40.774167399999996,151.01801790000002,191.7921853,274.3695077,466.161693,5646,4546,3620,3116,3919,3217,81658,9082,8913,3292,4390.645696167758,2013
SCOTLAND,East Renfrewshire,S12000011,UKM3501,4.594,35.083,39.677,1.688,41.365,22.2585907,141.85813430000002,164.116725,69.8182475,233.9349725,4845,3868,4044,3524,4136,3551,41362,12323,5655,3606,4341.252909745001,2013
SCOTLAND,Falkirk,S12000014,UKM2600,11.108,66.526,77.634,4.331,81.965,58.5486625,232.9222452,291.4709077,419.1105323,710.58144,5271,4150,3501,3093,3754,3167,96770,11166,8669,3230,4197.268374062181,2013
SCOTLAND,Fife,S12000047,UKM2202,19.626,161.314,180.94,12.566,193.506,93.7882308,558.328179,652.1164097999999,992.644507,1644.7609168,4779,3559,3461,3032,3604,3063,78994,8949,8500,3126,4020.446422934648,2013
SCOTLAND,Glasgow City,S12000049,UKM3400,70.543,259.435,329.978,23.588,353.566,256.264634,795.0789395,1051.3435735,1961.4273968,3012.7709703,3633,2834,3065,2616,3186,2645,83154,10952,8521,2725,3684.451765575827,2013
SCOTLAND,Highland,S12000017,"UKM6101, UKM6102, UKM6201, UKM6202, UKM6304, UKM6305",36.801,102.158,138.959,15.242,154.201,264.4479058,404.8357847,669.2836905,951.6768419,1620.9605324000001,7186,6348,3963,3257,4816,3728,62438,8509,10512,3862,6408.001249461439,2013
SCOTLAND,Inverclyde,S12000018,UKM3503,8.475,33.839,42.314,2.544,44.858,37.9542273,115.6230118,153.57723909999999,192.8577549,346.434994,4478,3437,3417,3027,3629,3078,75809,8755,7723,3132,4113.272065243591,2013
SCOTLAND,Midlothian,S12000019,UKM2302,2.552,35.512,38.064,2.541,40.605,14.6424873,125.1266718,139.7691591,208.42004980000002,348.1892089,5738,3973,3524,3073,3672,3107,82023,9888,8575,3173,3881.5062651003914,2013
SCOTLAND,Moray,S12000020,"UKM6203, UKM6204",6.814,39.977,46.791,4.398,51.189,43.8440287,147.3901377,191.23416639999996,322.8189225,514.0530888999999,6434,5492,3687,3133,4087,3302,73401,7693,10042,3397,4682.635872572785,2013
