Year,LA Code,Electricity - Total,All fuels - Total,Renwable Electricity Generation,Gross Electricity Consumption,Renewable Electricity Target,Renewable Heat Generation,Heat Consumption,Heat Target,Renewable Heat Capacity,Consuming Sector - Transport,Biofuel Proportion,Biofuels,Adjusted Consumption,Renewable Generation,Renewable Energy Target,ElecProportion,HeatProportion,TransportProportion
2009,S92000003,27067.021390000024,155902.91178384557,10582,38852,0.2723689,863,85656.10429715324,0.010075172190952438,0.238418,38290.00795507904,0.0333,1275.0572649041321,167687.89039384556,12720.057264904131,0.07585555066038913,0.06310533202574285,0.005146465841827262,0.007603752792819015
2010,S92000003,27390.72193999999,158079.65691590201,9420,39237,0.2400799,1667,88179.55901916912,0.018904608035492845,0.44,37577.8761486913,0.0327,1228.7965500622054,169925.93497590203,12315.796550062205,0.07247743878419009,0.055435916838332495,0.009810156408651833,0.007231365537205763
2011,S92000003,26657.83145999997,153618.46309260957,13868.8,37504.22779712383,0.3697929757418865,1709,85309.801182771,0.02003286816175521,0.46,36922.93612672556,0.0358,1321.841113336775,164464.85942973342,16899.641113336773,0.10275533127219215,0.08432682852792245,0.010391277540538436,0.008037225203731277
2012,S92000003,26177.261330000052,152091.70124278826,14667.21,37453.967049943276,0.39160631450446615,1883,84767.25638974163,0.02221376602472977,0.55,36731.116080896514,0.03,1101.9334824268954,163368.40696273147,17652.143482426894,0.10805114532612049,0.08977996586173462,0.011526096354906371,0.006745083109479513
2013,S92000003,25872.89368,148916.82502207998,16989.64,38208.8650899803,0.4446517832966276,2103,82256.23582374938,0.025566450724855718,0.68,36736.88757316967,0.0346,1271.0963100316706,161252.79643206028,20363.73631003167,0.12628454675272194,0.10536028134655108,0.013041634294299168,0.00788263111187169
2014,S92000003,25322.440000000017,146781.2067032153,19045.059999999998,38228.10952969926,0.4981951824011588,2661,80153.08877614002,0.03319897012867365,0.98,37382.87969579722,0.0329,1229.8967419917285,159686.87623291457,22935.956741991726,0.1436308185309982,0.11926502947068383,0.016663861569430064,0.007701927490884331
2015,S92000003,26268.785743100016,146415.1588371398,21742.83,36545.56178069927,0.594951313937196,3906,78023.64940139116,0.050061744483466265,1.37,37454.35757196959,0.0303,1134.8670344306786,156691.93487473906,26783.69703443068,0.170932199259916,0.13876164090628795,0.0249278943624156,0.007242663991212448
2016,S92000003,25057.19937891001,146760.59478052764,19475.58,36291.903331247915,0.5366370515825554,3542,79273.71103408906,0.04468063818126136,1.55,37764.29907769439,0.0295,1114.0468227919846,157995.29873286554,24131.626822791986,0.15273635998241397,0.12326683234371942,0.02241838857489503,0.0070511390637995296
2017,S92000003,25184.10746337006,150853.92163082704,25301.379999999997,35973.04442144672,0.7033427502987655,4346,81988.9167961735,0.05300716450254204,1.81,38744.09005060267,0.0313,1212.6900185838635,161642.8585889037,30860.07001858386,0.1909151464406378,0.15652643253697607,0.026886433696727136,0.007502280206934617
2018,S92000003,24607.488503999954,148802.53725748576,26596.98,35253.19978736742,0.7544557702682843,4813,80863.55314788158,0.05952001628221908,1.99,38578.519768901984,0.0401,1546.9986427329695,159448.24854085324,32956.97864273297,0.2066938893611544,0.16680634778616224,0.030185342542454023,0.009702199032538154
2019,S92000003,24068.51616469995,145379.9494182082,30174.839999999997,34115.848582686354,0.8844815900406358,4925,78844.10882399965,0.06246503478140476,2.06,37980.437073272326,0.05142598350936632,1953.1813306086278,155427.28183619463,37053.02133060862,0.23839457843481388,0.19414120637972276,0.03168684378840566,0.012566528266685462
