Year,Renewable Heat Generation,Heat Consumption,Heat Target,Renewable Heat Capacity
2008,863,92887.20185335175,0.009290838595423352,0.238418
2009,863,85656.10429715324,0.010075172190952438,0.238418
2010,1667,88179.55901916912,0.018904608035492845,0.44
2011,1709,85309.801182771,0.02003286816175521,0.46
2012,1883,84767.25638974163,0.02221376602472977,0.55
2013,2103,82256.23582374938,0.025566450724855718,0.68
2014,2661,80153.08877614002,0.03319897012867365,0.98
2015,3906,78023.64940139116,0.050061744483466265,1.37
2016,3542,79273.71103408906,0.04468063818126136,1.55
2017,4346,81988.9167961735,0.05300716450254204,1.81
2018,4813,80863.55314788158,0.05952001628221908,1.99
2019,4925,78844.10882399965,0.06246503478140476,2.06
2020,5008,78844.10882399965,0.06351774501223859,2.14
