GeographyCode,DateCode,Measurement,Units,Energy Type,Energy Consuming Sector,Value
S12000005,2005,Count,GWh,All,All,1564.694
S12000005,2005,Count,GWh,Bioenergy & Wastes,Domestic,5.102
S12000005,2005,Count,GWh,Bioenergy & Wastes,Road Transport,0.394
S12000005,2005,Count,GWh,Bioenergy & Wastes,All,5.497
S12000005,2005,Count,GWh,Bioenergy & Wastes,Commercial,0
S12000005,2005,Count,GWh,Bioenergy & Wastes,Industrial,0
S12000005,2005,Count,GWh,Coal,Agriculture,0.012
S12000005,2005,Count,GWh,Coal,Commercial,0.014
S12000005,2005,Count,GWh,Coal,Domestic,3.304
S12000005,2005,Count,GWh,Coal,Industrial,0.001
S12000005,2005,Count,GWh,Coal,Public Sector,0.284
S12000005,2005,Count,GWh,Coal,Rail,0
S12000005,2005,Count,GWh,Coal,All,3.615
S12000005,2005,Count,GWh,All,Domestic,523.964
S12000005,2005,Count,GWh,All,Industrial & Commercial,770.712
S12000005,2005,Count,GWh,All,Transport,270.018
S12000005,2005,Count,GWh,Electricity,Domestic,103.705
S12000005,2005,Count,GWh,Electricity,Industrial & Commercial,227.82
S12000005,2005,Count,GWh,Electricity,All,331.525
S12000005,2005,Count,GWh,Gas,Commercial,232.696
S12000005,2005,Count,GWh,Gas,Domestic,397.13
S12000005,2005,Count,GWh,Gas,Industrial,246.623
S12000005,2005,Count,GWh,Gas,All,876.448
S12000005,2005,Count,GWh,Manufactured Fuels,Domestic,2.834
S12000005,2005,Count,GWh,Manufactured Fuels,Industrial,2.245
S12000005,2005,Count,GWh,Manufactured Fuels,All,5.079
S12000005,2005,Count,GWh,Petroleum Products,Agriculture,9.999
S12000005,2005,Count,GWh,Petroleum Products,Commercial,0.562
S12000005,2005,Count,GWh,Petroleum Products,Domestic,11.89
S12000005,2005,Count,GWh,Petroleum Products,Industrial,50.27
S12000005,2005,Count,GWh,Petroleum Products,Public Sector,0.186
S12000005,2005,Count,GWh,Petroleum Products,Rail,48.922
S12000005,2005,Count,GWh,Petroleum Products,Road Transport,220.701
S12000005,2005,Count,GWh,Petroleum Products,All,342.529
S12000005,2006,Count,GWh,All,All,1552.657
S12000005,2006,Count,GWh,Bioenergy & Wastes,Domestic,5.329
S12000005,2006,Count,GWh,Bioenergy & Wastes,Road Transport,1.042
S12000005,2006,Count,GWh,Bioenergy & Wastes,All,6.372
S12000005,2006,Count,GWh,Bioenergy & Wastes,Commercial,0
