"Date"	"Gas"	"Electricity"	"Dual"	"Total"
2004-12-01	1	0	12	13
2005-12-01	1	0	11	12
2006-12-01	1	0	9	10
2007-12-01	1	0	10	11
2008-12-01	1	0	11	12
2009-12-01	0	0	12	12
2010-12-01	0	0	12	12
2011-12-01	0	0	14	14
2012-12-01	2	2	16	20
2013-12-01	4	2	18	24
2014-06-01	2	2	20	24
2014-09-01	3	3	21	27
2014-12-01	3	2	22	27
2015-03-01	3	3	23	29
2015-06-01	3	3	25	31
2015-09-01	3	2	28	33
2015-12-01	5	3	32	40
2016-03-01	5	2	36	43
2016-06-01	5	1	38	44
2016-09-01	6	2	40	48
2016-12-01	6	3	42	51
2017-03-01	6	2	45	53
2017-06-01	7	4	48	59
2017-09-01	7	4	54	65
2017-12-01	7	5	56	68
2018-03-01	7	4	59	70
2018-06-01	7	2	61	70
2018-09-01	7	2	58	67
2018-12-01	7	2	53	62
2019-03-01	5	2	52	59
2019-06-01	5	3	56	64
2019-09-01	5	2	54	61
2019-12-01	5	2	51	58
2020-03-01	5	2	50	57
