"Quarter"	"CERO"	"CERO Rural"	"CSCO"	"CSCO Rural"	"Affordable Warmth"	"Rural"	"Total"
"Jan - Mar 2013"	"1013"	"0"	"1829"	"1"	"2251"	"0"	"5093"
"Apr - Jun 2013"	"4887"	"0"	"3646"	"9"	"6122"	"0"	"14655"
"Jul - Sep 2013"	"11378"	"0"	"5312"	"29"	"15766"	"0"	"32456"
"Oct - Dec 2013"	"22626"	"0"	"7145"	"88"	"27636"	"0"	"57407"
"Jan - Mar 2014"	"41957"	"0"	"11256"	"284"	"34564"	"0"	"87777"
"Apr - Jun 2014"	"48343"	"0"	"19836"	"1750"	"37512"	"0"	"105691"
"Jul - Sep 2014"	"57108"	"0"	"30125"	"4812"	"38901"	"0"	"126134"
"Oct - Dec 2014"	"65501"	"0"	"41981"	"8244"	"39878"	"0"	"147360"
"Jan - Mar 2015"	"72279"	"0"	"48259"	"10227"	"41080"	"0"	"161618"
"Apr - Jun 2015"	"78281"	"0"	"51058"	"11122"	"42503"	"0"	"171842"
"Jul - Sep 2015"	"85051"	"0"	"53581"	"11857"	"44384"	"0"	"183016"
"Oct - Dec 2015"	"91303"	"0"	"56342"	"12434"	"46409"	"0"	"194054"
"Jan - Mar 2016"	"99543"	"0"	"57680"	"12728"	"49578"	"0"	"206801"
"Apr - Jun 2016"	"107562"	"0"	"59296"	"13155"	"52718"	"0"	"219576"
"Jul - Sep 2016"	"114867"	"0"	"60621"	"13569"	"54334"	"0"	"229822"
"Oct - Dec 2016"	"120761"	"0"	"61787"	"13886"	"56724"	"0"	"239272"
"Jan - Mar 2017"	"127629"	"0"	"64027"	"14333"	"59227"	"0"	"250883"
"Apr - Jun 2017"	"132683"	"1868"	"64027"	"14333"	"61600"	"0"	"258310"
"Jul - Sep 2017"	"138074"	"3884"	"64027"	"14333"	"64812"	"0"	"266913"
"Oct - Dec 2017"	"142794"	"5431"	"64027"	"14333"	"67654"	"0"	"274475"
"Jan - Mar 2018"	"148406"	"7290"	"64027"	"14333"	"70999"	"0"	"283432"
"Apr - Jun 2018"	"156733"	"9819"	"64027"	"14333"	"74334"	"0"	"295094"
"Jul - Sep 2018"	"165722"	"12646"	"64027"	"14333"	"76542"	"0"	"306291"
"Oct - Dec 2018"	"165722"	"12646"	"64027"	"14333"	"78433"	"421"	"308182"
"Jan - Mar 2019"	"165722"	"12646"	"64027"	"14333"	"83005"	"1568"	"312754"
"Apr - Jun 2019"	"165722"	"12646"	"64027"	"14333"	"88938"	"2885"	"318687"
"Jul - Sep 2019"	"165722"	"12646"	"64027"	"14333"	"96748"	"4136"	"326497"
"Oct - Dec 2019"	"165722"	"12646"	"64027"	"14333"	"106669"	"5548"	"336418"
"Jan - Mar 2020"	"165722"	"12646"	"64027"	"14333"	"115292"	"6977"	"345041"
"Apr - Jun 2020"	"165722"	"12646"	"64027"	"14333"	"118251"	"7311"	"348000"
"Jul - Sep 2020"	"165722"	"12646"	"64027"	"14333"	"126696"	"8393"	"356445"
"Oct - Dec 2020"	"165722"	"12646"	"64027"	"14333"	"137651"	"9714"	"367400"
"ECO measures per 1,000 households"	"67.7"	"5.2"	"26.2"	"5.9"	"56.3"	"4"	"150.2"
