"","Year","Sector","End use","variable","Lookup","value"
"1",2020,"Domestic","Space heating","Gas","2020DomesticSpace heatingGas",19352.0384270848
"2",2020,"Domestic","Water heating","Gas","2020DomesticWater heatingGas",5770.02272955444
"3",2020,"Domestic","Cooking/catering","Gas","2020DomesticCooking/cateringGas",613.157406480848
"4",2020,"Domestic","Heat total","Gas","2020DomesticHeat totalGas",25735.2185631201
"5",2020,"Domestic","Lighting and appliances","Gas","2020DomesticLighting and appliancesGas",0
"6",2020,"Domestic","Overall total","Gas","2020DomesticOverall totalGas",25735.2185631201
"7",2020,"Service","Space heating","Gas","2020ServiceSpace heatingGas",5719.23085628813
"8",2020,"Service","Water heating","Gas","2020ServiceWater heatingGas",759.123747808093
"9",2020,"Service","Cooking/catering","Gas","2020ServiceCooking/cateringGas",555.181214293219
"10",2020,"Service","Heat total","Gas","2020ServiceHeat totalGas",7033.53581838944
"11",2020,"Service","Computing","Gas","2020ServiceComputingGas",0
"12",2020,"Service","Cooling and ventilation","Gas","2020ServiceCooling and ventilationGas",2.3826428031552
"13",2020,"Service","Lighting","Gas","2020ServiceLightingGas",0
"14",2020,"Service","Other","Gas","2020ServiceOtherGas",580.831538807403
"15",2020,"Service","Overall total","Gas","2020ServiceOverall totalGas",7616.75
"16",2020,"Industry","Space heating","Gas","2020IndustrySpace heatingGas",1019.35394242527
"17",2020,"Industry","High temperature process","Gas","2020IndustryHigh temperature processGas",1924.20459331626
"18",2020,"Industry","Low temperature process","Gas","2020IndustryLow temperature processGas",4335.88534515265
"19",2020,"Industry","Drying/separation","Gas","2020IndustryDrying/separationGas",1017.64049612159
"20",2020,"Industry","Unkown (heat)","Gas","2020IndustryUnkown (heat)Gas",0
"21",2020,"Industry","Heat total","Gas","2020IndustryHeat totalGas",8297.08437701576
"22",2020,"Industry","Motors","Gas","2020IndustryMotorsGas",0
"23",2020,"Industry","Compressed air","Gas","2020IndustryCompressed airGas",0
"24",2020,"Industry","Lighting","Gas","2020IndustryLightingGas",0
"25",2020,"Industry","Refrigeration","Gas","2020IndustryRefrigerationGas",0
"26",2020,"Industry","Other","Gas","2020IndustryOtherGas",1018.10011394357
"27",2020,"Industry","Overall total","Gas","2020IndustryOverall totalGas",9315.18449095933
"28",2020,"Transport","Non-heat purposes","Gas","2020TransportNon-heat purposesGas",26.915902800707
"29",2020,"Total","Space heating","Gas","2020TotalSpace heatingGas",26090.6232257982
"30",2020,"Total","Water heating","Gas","2020TotalWater heatingGas",6529.14647736254
"31",2020,"Total","Cooking/catering","Gas","2020TotalCooking/cateringGas",1168.33862077407
"32",2020,"Total","Process use","Gas","2020TotalProcess useGas",6260.08993846891
"33",2020,"Total","Drying/separation","Gas","2020TotalDrying/separationGas",1017.64049612159
"34",2020,"Total","Unkown (heat)","Gas","2020TotalUnkown (heat)Gas",0
"35",2020,"Total","Heat total","Gas","2020TotalHeat totalGas",41065.8387585253
"36",2020,"Total","Computing","Gas","2020TotalComputingGas",0
"37",2020,"Total","Cooling and ventilation","Gas","2020TotalCooling and ventilationGas",2.3826428031552
"38",2020,"Total","Lighting and appliances","Gas","2020TotalLighting and appliancesGas",0
"39",2020,"Total","Motors","Gas","2020TotalMotorsGas",0
"40",2020,"Total","Compressed air","Gas","2020TotalCompressed airGas",0
"41",2020,"Total","Refrigeration","Gas","2020TotalRefrigerationGas",0
"42",2020,"Total","Other","Gas","2020TotalOtherGas",1598.93165275097
"43",2020,"Total","Transport","Gas","2020TotalTransportGas",26.915902800707
"44",2020,"Total","Non-heat total","Gas","2020TotalNon-heat totalGas",1628.23019835484
"45",2020,"Total","Overall total","Gas","2020TotalOverall totalGas",42694.0689568802
"46",2020,"Total","Overall total excluding transport","Gas","2020TotalOverall total excluding transportGas",42667.1530540795
"47",2019,"Domestic","Space heating","Gas","2019DomesticSpace heatingGas",19066.0307231943
"48",2019,"Domestic","Water heating","Gas","2019DomesticWater heatingGas",5684.74639246501
"49",2019,"Domestic","Cooking/catering","Gas","2019DomesticCooking/cateringGas",604.095428714951
"50",2019,"Domestic","Heat total","Gas","2019DomesticHeat totalGas",25354.8725443743
"51",2019,"Domestic","Lighting and appliances","Gas","2019DomesticLighting and appliancesGas",0
"52",2019,"Domestic","Overall total","Gas","2019DomesticOverall totalGas",25354.8725443743
"53",2019,"Service","Space heating","Gas","2019ServiceSpace heatingGas",6112.15648924011
"54",2019,"Service","Water heating","Gas","2019ServiceWater heatingGas",811.277470326292
"55",2019,"Service","Cooking/catering","Gas","2019ServiceCooking/cateringGas",593.323568660567
"56",2019,"Service","Heat total","Gas","2019ServiceHeat totalGas",7516.75752822697
"57",2019,"Service","Computing","Gas","2019ServiceComputingGas",0
"58",2019,"Service","Cooling and ventilation","Gas","2019ServiceCooling and ventilationGas",2.54633639326424
"59",2019,"Service","Lighting","Gas","2019ServiceLightingGas",0
"60",2019,"Service","Other","Gas","2019ServiceOtherGas",620.736135379764
"61",2019,"Service","Overall total","Gas","2019ServiceOverall totalGas",8140.04
"62",2019,"Industry","Space heating","Gas","2019IndustrySpace heatingGas",1483.18631755721
"63",2019,"Industry","High temperature process","Gas","2019IndustryHigh temperature processGas",1924.20459331626
"64",2019,"Industry","Low temperature process","Gas","2019IndustryLow temperature processGas",4335.88534515265
"65",2019,"Industry","Drying/separation","Gas","2019IndustryDrying/separationGas",1017.64049612159
"66",2019,"Industry","Unkown (heat)","Gas","2019IndustryUnkown (heat)Gas",0
"67",2019,"Industry","Heat total","Gas","2019IndustryHeat totalGas",8760.9167521477
"68",2019,"Industry","Motors","Gas","2019IndustryMotorsGas",0
"69",2019,"Industry","Compressed air","Gas","2019IndustryCompressed airGas",0
"70",2019,"Industry","Lighting","Gas","2019IndustryLightingGas",0
"71",2019,"Industry","Refrigeration","Gas","2019IndustryRefrigerationGas",0
"72",2019,"Industry","Other","Gas","2019IndustryOtherGas",1018.10011394357
"73",2019,"Industry","Overall total","Gas","2019IndustryOverall totalGas",9779.01686609127
"74",2019,"Transport","Non-heat purposes","Gas","2019TransportNon-heat purposesGas",15.1272029741091
"75",2019,"Total","Space heating","Gas","2019TotalSpace heatingGas",26661.3735299917
"76",2019,"Total","Water heating","Gas","2019TotalWater heatingGas",6496.0238627913
"77",2019,"Total","Cooking/catering","Gas","2019TotalCooking/cateringGas",1197.41899737552
"78",2019,"Total","Process use","Gas","2019TotalProcess useGas",6260.08993846891
"79",2019,"Total","Drying/separation","Gas","2019TotalDrying/separationGas",1017.64049612159
"80",2019,"Total","Unkown (heat)","Gas","2019TotalUnkown (heat)Gas",0
"81",2019,"Total","Heat total","Gas","2019TotalHeat totalGas",41632.546824749
"82",2019,"Total","Computing","Gas","2019TotalComputingGas",0
"83",2019,"Total","Cooling and ventilation","Gas","2019TotalCooling and ventilationGas",2.54633639326424
"84",2019,"Total","Lighting and appliances","Gas","2019TotalLighting and appliancesGas",0
"85",2019,"Total","Motors","Gas","2019TotalMotorsGas",0
"86",2019,"Total","Compressed air","Gas","2019TotalCompressed airGas",0
"87",2019,"Total","Refrigeration","Gas","2019TotalRefrigerationGas",0
"88",2019,"Total","Other","Gas","2019TotalOtherGas",1638.83624932333
"89",2019,"Total","Transport","Gas","2019TotalTransportGas",15.1272029741091
"90",2019,"Total","Non-heat total","Gas","2019TotalNon-heat totalGas",1656.50978869071
"91",2019,"Total","Overall total","Gas","2019TotalOverall totalGas",43289.0566134397
"92",2019,"Total","Overall total excluding transport","Gas","2019TotalOverall total excluding transportGas",43273.9294104656
"93",2018,"Domestic","Space heating","Gas","2018DomesticSpace heatingGas",19738.0268441716
"94",2018,"Domestic","Water heating","Gas","2018DomesticWater heatingGas",5885.10941400513
"95",2018,"Domestic","Cooking/catering","Gas","2018DomesticCooking/cateringGas",625.38721150342
"96",2018,"Domestic","Heat total","Gas","2018DomesticHeat totalGas",26248.5234696801
"97",2018,"Domestic","Lighting and appliances","Gas","2018DomesticLighting and appliancesGas",0
"98",2018,"Domestic","Overall total","Gas","2018DomesticOverall totalGas",26248.5234696801
"99",2018,"Service","Space heating","Gas","2018ServiceSpace heatingGas",6155.65470613114
"100",2018,"Service","Water heating","Gas","2018ServiceWater heatingGas",817.051066507147
"101",2018,"Service","Cooking/catering","Gas","2018ServiceCooking/cateringGas",597.546058271491
"102",2018,"Service","Heat total","Gas","2018ServiceHeat totalGas",7570.25183090978
"103",2018,"Service","Computing","Gas","2018ServiceComputingGas",0
"104",2018,"Service","Cooling and ventilation","Gas","2018ServiceCooling and ventilationGas",2.56445783582003
"105",2018,"Service","Lighting","Gas","2018ServiceLightingGas",0
"106",2018,"Service","Other","Gas","2018ServiceOtherGas",625.153711254397
"107",2018,"Service","Overall total","Gas","2018ServiceOverall totalGas",8197.97
"108",2018,"Industry","Space heating","Gas","2018IndustrySpace heatingGas",2070.9380330818
"109",2018,"Industry","High temperature process","Gas","2018IndustryHigh temperature processGas",3045.66490848225
"110",2018,"Industry","Low temperature process","Gas","2018IndustryLow temperature processGas",4579.79448838386
"111",2018,"Industry","Drying/separation","Gas","2018IndustryDrying/separationGas",1150.50003109156
"112",2018,"Industry","Unkown (heat)","Gas","2018IndustryUnkown (heat)Gas",0
"113",2018,"Industry","Heat total","Gas","2018IndustryHeat totalGas",10846.8974610395
"114",2018,"Industry","Motors","Gas","2018IndustryMotorsGas",0
"115",2018,"Industry","Compressed air","Gas","2018IndustryCompressed airGas",0
"116",2018,"Industry","Lighting","Gas","2018IndustryLightingGas",0
"117",2018,"Industry","Refrigeration","Gas","2018IndustryRefrigerationGas",0
