"GEO/TIME"	"1990"	"1991"	"1992"	"1993"	"1994"	"1995"	"1996"	"1997"	"1998"	"1999"	"2000"	"2001"	"2002"	"2003"	"2004"	"2005"	"2006"	"2007"	"2008"	"2009"	"2010"	"2011"	"2012"	"2013"	"2014"	"2015"	"2016"	"2017"	"2018"
"EU (27)"	284794.537	296890.405	309156.372	317358.612	327595.365	327019.872	328561.535	333408.46	344266.869	342519.657	351766.401	375058.216	314122.661	306248.309	324722.054	308350.773	311413.272	309319.063	327098.216	330521.037	373321.775	307425.741	331683.506	368014.339	370047.946	335988.583	345591.926	294345.964	344356.804
"EU (28)"	290001.537	301514.405	314587.372	321660.612	332689.365	331857.872	331954.535	337577.46	349384.869	347855.657	356852.401	379113.925	318910.236	309475.858	329565.603	313272.064	316006.026	314396.367	332239.343	335748.953	376913.105	313117.05	336993.071	372715.7	375935.684	342285.852	350985.836	300247.525	349846.589
"Euro Area"	192526.737	208540.105	213777.272	220551.812	245331.465	230286.072	246189.835	234371.06	237411.469	238431.457	245248.501	267650.816	218752.261	227750.511	232987.64	199202.044	215704.618	214984.99	227844.988	233243.701	266965.117	213827.322	228274.364	273639.5	269464.875	228120.14	250396.149	201906.088	247799.431
"Belgium"	266	229	341	254	346	338	239	305	389	341	460	441	360	247	316.904	288	359.336	388.748	409.56	328	312	196	357	380	292.2	318.4	370	270.1	313.5
"Bulgaria"	1630	2268	1903	1787	1296	2174	2888	2724	3068	2732	2631	1651	2116	2995	3138.811	4297.428	4212.974	2829.847	2792.71	3431.712	5031.341	2871.581	3177.636	4036.138	4601.629	5654.542	3879.842	2828.103	5146.578
"Czechia"	1161	1089	1402	1369	1460	2002	1969	1699	1396	1681	1758	2054	2492	1383	2019.2	2379.91	2550.3	2089.409	2024.335	2429.607	2789.474	1963.016	2129.143	2734.507	1908.749	1794.769	2000.036	1869.464	1628.83
"Denmark"	28	25	28	28	33	30	19	19	27	31	30	28	32	21	27	23	23	28	26	19	20.642	16.868	17.476	13.419	15.104	18.03	19.272	17.871	14.862
"Germany"	17426	14891	17397	17878	19930	21780	21957	17357	17216	19647	21732	22733	23124	18321	20746	19638	20031	21169	20443	19031	20953	17672	21755	22998	19587	18976	20546	20150	17974
"Estonia"	0	0	1	1	3	2	2	3	4	4	5	7	6	13	22	22	13.5	21.822	27.908	31.988	26.881	30.028	42.058	25.532	27.034	26.6	35	26	15
"Ireland"	697	746	817	765	920	713	722	678	916	847	847	596	912	598	630	631.26	724.273	666.576	968.323	901.734	599.231	706.687	802.349	599.497	708.654	806.49	681.025	691.603	694.09
"Greece"	1769	3099	2203	2282	2599	3529	4348	3882	3717	4592	3693	2097	2800	4766	4672.078	5017.497	5864.849	2591.422	3312.288	5374.457	7460	4011.218	4402.649	6345.887	4476.169	6098.32	5543.093	3962.547	5743.448
"Spain"	25470	27245	18916	24420	28236	23080	39786	34753	33989	22823	28256	40888	21224	40483	31083.58	18392.932	25959	27309	23364	26411	42304	30596	20545	36865.1	39168.964	28140	36395.385	18322	34334
"France"	53866.327	57601.705	68955.772	64894.756	78793.616	73119.064	66043.545	63764.2	62093.339	72513.864	66363.249	74267.427	60396.612	58943.64	59554.935	51479.877	56303.697	57604.417	63653.661	56994.2	62713.617	45744.622	59831.83	71922.175	63773.409	55556.272	60839.21	50001.257	65284.601
"Croatia"	3917.2	5525.3	4349.1	4549.8	5434.9	5682.8	7862.7	5853.4	6021.4	7327.2	6452.9	7180.4	5851.4	5457.8	7626.6	7035.5	6617	4699.8	5780	7408.401	9126.203	5031.887	4836.9	8621.7	9006.12	6390.636	6852.099	5307.4	7700.9
"Italy"	31626	42239	42200	41425	44658	37782	42037	41603	41220	45365	44199.446	46810.273	39519.358	36669.8	42337.877	36066.733	36994.311	32815.227	41622.96	49137.482	51116.764	45822.721	41874.893	52773.395	58545.441	45537.324	42431.756	36198.71	48786.414
"Cyprus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Latvia"	4495.9	3275	2521	2875.7	3305.45	2936.772	1860.415	2953.058	4316.167	2757.185	2819.157	2833.105	2463.604	2266.192	3109.375	3325.289	2698.324	2733.395	3109.038	3457.102	3520.506	2886.968	3706.957	2912.008	1993.639	1860.355	2529.521	4380.62	2431.569
"Lithuania"	413.51	338	311.1	392.8	451.9	373.014	325.782	295.523	416.63	414.725	339.642	325.556	353.511	325.182	420.947	450.751	397.144	421.074	402.271	424.148	540.193	479.552	422.531	521.228	398.629	349.253	453.605	602.399	431
"Luxembourg"	70	84	70	67	86	88	60	83	115	85	123.504	118.032	99.731	79.42	104.058	92.939	111.312	116.702	132.114	105.839	107.661	63	98.302	119.195	107.788	99.253	115.411	85.649	92.778
"Hungary"	178	194	158	166	161	163	207	216	155	181	178	186	194	171	204.68	202.153	185.746	209.993	212.951	228.285	188.384	222.03	212.939	213.125	301.477	233.711	259.315	220	222
"Malta"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Netherlands"	85	104	120	92	100	88	80	92	112	90	142.43	117.279	110	72	95	88	106	107	102	98	105	57	104.388	114.312	112.2	92.699	100.079	60.757	72.348
"Austria"	31509	31443.4	34848.4	36705.556	35707.5	37067.222	34216.093	36105.278	37163.333	40698.683	41835.352	40455.406	40226.881	33214.992	36762.142	37095.138	35656.085	37054.453	38329.491	40896.304	38363.418	34237.171	43847.698	42016.72	41007.237	37156.866	39971.337	38293.75	37637.91
"Poland"	1439.6	1425	1507	1488	1733	1887	1931	1961	2309	2155	2106	2325	2279	1671	2081.739	2200.885	2042.085	2352.138	2152.16	2375.131	2919.942	2331.379	2036.754	2438.873	2182.45	1832.196	2139.446	2559.581	1969.997
"Portugal"	9144	9032	4609	8521	10653.999	8333	14753	13099.001	12977	7258	11323	14034	7800	15723	9869.001	4730.663	11002.179	10091.972	6799.047	8284.267	16147.897	11539.213	5622.715	13730.418	15568.913	8660.506	15723.323	5896.883	12393.349
"Romania"	11411	14588	11700	12768	13046	16693	15755	17509	18879	18290	14778	14923	16046	13259	16513.053	20206.853	18355.343	15965.963	17195.75	15533.516	19882.884	14727.658	12066.294	14956.214	18804.575	16632.077	18028.207	14494.457	17664.206
"Slovenia"	2950	3608	3423	3035	3399	3252	3673	3092	3449	3741	3834.721	3795.738	3312.564	2957.285	4094.128	3460.965	3590.917	3265.976	4017.863	4714.589	4517.955	3561.916	3898.866	4629.432	6091.554	3807.104	4503.277	3868.344	4704.32
"Slovakia"	1880	1408	1937	3467	4355	4880	4227	4064	4267	4474	4615	4927	5268	3480	4100	4638	4399	4451	4039.332	4367.561	5255	3778.187	4103	4848	4209	3866	4359	4324	3590
"Finland"	10859	13197	15107	13476	11787	12925	11860	12242	15051	12780	14660	13205	10776	9591	15069.615	13784	11493.691	14177.206	17112.132	12686.03	12921.994	12445.039	16859.128	12838.601	13397.044	16768.698	15799.127	14771.469	13301.104
"Sweden"	72503	63236	74332	74651	59100	68102	51740	69056	75000	71691	78584	79060	66360	53539.998	60123.331	72803	61722.206	66158.923	69069.322	65851.684	66397.788	66434	78932	61360.863	63762.967	75312.482	62017.56	65143	62210
"United Kingdom"	5207	4624	5431	4302	5094	4838	3393	4169	5118	5336	5086	4055.709	4787.575	3227.549	368.749	309.091	367.854	384.364	436.65314012	369.01277703468	333.22234751109	361.670495854441	462.98754173796	331.88557588015	404.12879628705	483.244505073661	478.11343602981	545.37226325872	495.1155
"Iceland"	4204	4204	4310	4466	4515	4682	4772	5207	5621	6047	6356	6578	6977	7088	7134.235	7019.286	7292.997	8393.735	12427.434	12279.343	12592.081	12506.84	12336.529	12862.843	12873.016	13780.77	13469.596	14058.722	13813.688
"Norway"	121145	110134	116671	119233	111643	121530	103862	109775	115703	121452	141818	120463	129372	105480	108781	135688	119369	133656	139044	125283	116739	120279	141724	128138	135470	137302	142807	142366	138796.038
"Montenegro"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1866	1750	1284	1539	2071	2750	1203.853	1477.087	2504.168	1751.65	1491	1843.191	1023.9	2113
"North Macedonia"	491	848	848	522	695	801	850	900	1083	1389	1170	626	757	1374	1481.99	1491.78	1649.589	1010.031	840.092	1270.349	2431.471	1433.12	1040.767	1583.966	1206.651	1865.192	1897.344	1110.278	1791.366
"Albania"	2848	3518	3226	3314	3771	4204	5726	5028	4921	5284	4594	3555	3512	4885	5466	5373	5431	2788	3797	5201	7567	4132	4725	6959	4724.441	5895	7781.702	4524.979	8552.152
"Serbia"	7494.9	9568.5	9170.837	8062.259	8916.743	9901.869	11484.877	10498.839	10324.398	11143.617	9821.278	9887.668	9927.594	8737.309	10620.34	11410.575	10350.296	9463.358	9564	10541	11891	8667	9286	10202.821	11003	10080	10791.907	9153.238	10639.646
"Turkey"	23148	22683	26568	33951	30586	35541	40475	39816	42229	34677	30879	24010	33683	35330	46084	39560.6	44244.238	35850.829	33269.806	35958.369	51795.431	52338.602	57864.952	59420.464	40644.663	67145.605	67230.883	58218.462	59938.425
"Bosnia and Herzegovina"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5935	5551	5641	3790	6418
"Kosovo"	0	0	0	0	0	0	0	0	0	0	52	52	52	52	113	112	101	94	76	120	156	104.625	95.579	143.303	150.989	139.932	245.262	179.068	272.652
"Moldova"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	76	33.892	45	59	50	39.33	48	44
"Ukraine"	10514	11710	7883	11039	12118	9953	8632	9856	15739	14324	11274	12032	9627	9238	11753	12362.3	12885.6	10139.94	11511.9	11935.7	13152.1	10945.9	10478.7	13801.2	8478.4	5396.5	7670.5	8945.2	10426.1
"Georgia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8271.206	8335.337	8453.764	9329.241	9210.4	9949.4
"SCOTLAND"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4474.8	4612.2	4224.9	4692.94	4704.47385988	4858.90322296532	3258.10765248891	5329.63850414556	4846.57745826204	4369.47542411985	5483.60920371295	5814.02449492634	4915.79656397019	5356.18873674128	4994.6695
