"GEO/TIME"	"1990"	"1991"	"1992"	"1993"	"1994"	"1995"	"1996"	"1997"	"1998"	"1999"	"2000"	"2001"	"2002"	"2003"	"2004"	"2005"	"2006"	"2007"	"2008"	"2009"	"2010"	"2011"	"2012"	"2013"	"2014"	"2015"	"2016"	"2017"	"2018"
"EU (28)"	"778.27200000000005"	"1096.49"	"1557.49"	"2355.404"	"3493.0219999999999"	"4067.8829999999998"	"4876.4530000000004"	"7359.9030000000002"	"11273.713"	"14202.635"	"22222.989000000001"	"26703.565999999999"	"36318.540000000001"	"44592.663999999997"	"59461.385000000002"	"70998.254000000001"	"82936.263000000006"	"105181.462"	"120356.42200000001"	"133836.57000000001"	"150127.78200000001"	"181309.86300000001"	"207307.86799999999"	"237871.54399999999"	254316.074	303479.801	303987.705	361939.225	"377422.88900000002"
"Euro area (19 countries)"	"153.27199999999999"	"332.49000000000001"	"571.49000000000001"	"1055.404"	"1942.0219999999999"	"2399.8829999999998"	"3017.453"	"4553.9030000000002"	"7255.7129999999997"	"9961.6350000000002"	"16572.103999999999"	"20935.48"	"29513.5"	"36934.421000000002"	"49922.57"	"60363.703000000001"	"71230.766000000003"	"90469.736000000004"	"102855.97100000001"	"113347.045"	"124885.27899999999"	"142789.174"	"159904.88800000001"	"174896.40900000001"	180973.081	211314.954	215774.573	253544.325	"267006.261"
"Belgium"	"7"	"8"	"9"	"8"	"9"	"9"	"8"	"8"	"11"	"13"	"16"	"37"	"57"	"88"	"141.45400000000001"	"227"	"366.25900000000001"	"491.09800000000001"	"637.01199999999994"	"996"	"1292"	"2312"	"2751"	"3665"	4615.3	5574	5437.7	6513.7	"7464.6999999999998"
"Bulgaria"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"4.5869999999999997"	"20.047000000000001"	"46.802"	"121.758"	"237.00899999999999"	"681.36900000000003"	"861.09500000000003"	"1220.8979999999999"	"1373.5119999999999"	1330.577	1451.511	1424.97	1504.064	"1318.123"
"Czechia"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.88500000000000001"	"0"	"2.016"	"4.8929999999999998"	"9.8710000000000004"	"21.280000000000001"	"49.399999999999999"	"125.09999999999999"	"244.661"	"288.06700000000001"	"335.49299999999999"	"397.00299999999999"	"415.81700000000001"	"480.51900000000001"	476.544	572.612	496.957	591.038	"609.33000000000004"
"Denmark"	"610"	"740"	"915"	"1034"	"1137"	"1177"	"1227"	"1934"	"2820"	"3029"	"4241"	"4306"	"4877"	"5561"	"6583"	"6614"	"6108"	"7171"	"6928"	"6721"	"7809.4219999999996"	"9774.1839999999993"	"10269.940000000001"	"11123.272999999999"	13078.504	14133.092	12781.731	14780	"13898.803"
"Germany"	"71"	"215"	"291"	"674"	"1428"	"1712"	"2078"	"3034"	"4593"	"5528"	"9352"	"10456"	"15856"	"19087"	"26019"	"27774"	"31324"	"40507"	"41385"	"39420"	"38547"	"49858"	"51680"	"52737"	58497	80624	79924	105693	"109951"
"Estonia"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"6"	"8"	"54"	"76.299000000000007"	"90.783000000000001"	"133.453"	"195.553"	"276.99200000000002"	"368.65899999999999"	"433.517"	"529.03899999999999"	603.68	715	594	723	"636"
"Ireland"	"0"	"0"	"5"	"15"	"19"	"16"	"14"	"50"	"169"	"187"	"244"	"334"	"388"	"454"	"655"	"1111.9100000000001"	"1622.0409999999999"	"1958.3710000000001"	"2410.0129999999999"	"2955.2170000000001"	"2814.6590000000001"	"4380.3149999999996"	"4010.4780000000001"	"4541.5140000000001"	5140.061	6572.998	6147.043	7444.037	"8639.7669999999998"
"Greece"	"2"	"2"	"8"	"47"	"37"	"34"	"38"	"36"	"70"	"162"	"451"	"756"	"651"	"1021"	"1120.7650000000001"	"1266.452"	"1699.3530000000001"	"1818"	"2242"	"2543"	"2713.9369999999999"	"3315.2269999999999"	"3850.1570000000002"	"4139.1360000000004"	3688.575	4621.019	5145.896	5536.987	"6300.259"
