Year,Hydro,Wind,Wave / tidal,Solar PV,Bioenergy and Waste,Renewables,Nuclear,Low Carbon,Coal,Oil,Gas,Fossil Fuels,Pumped hydro,Other,Total
2004,0.08959040015037285,0.01698589780271215,NA,NA,0.010190737837789348,0.11676703579087434,0.3770871194185116,0.49385415520938597,0.2613696395299978,0.02785391528057633,0.21692228998003993,0.5061458447906141,0.015731948533922915,5.133689296540115e-4,1
2005,0.09305985377510752,0.025842849745697,NA,NA,0.011956025262940153,0.13085872878374466,0.3967892669159277,0.5276479956996724,0.24497756149024547,0.03839281265579048,0.18898163015429173,0.4723520043003277,0.012966690715372852,3.2055705667853243e-4,1
2006,0.08152211492335144,0.03903313363119782,NA,NA,0.013796376759259696,0.13435162531380898,0.28773031041841923,0.4220819357322282,0.33862084135742987,0.04224246801813182,0.197054752962647,0.5779180642677718,0.022851913255769307,2.1869283204768887e-4,1
2007,0.09846751967681794,0.05547655031291827,NA,NA,0.018657418510313748,0.17260148850004997,0.27576688583184233,0.44836837433189225,0.29072464160328304,0.03156181594111413,0.2293451681237105,0.5516316256681076,0.025139014132225253,4.405454967228162e-4,1
2008,0.09464381477320712,0.06762648802096377,NA,NA,0.019965531796838756,0.18223583459100964,0.3190769967725647,0.5013128313635743,0.23462366249964808,0.030538500563031725,0.2335250075855291,0.49868716863642576,0.02195675455580071,4.2240003247179004e-4,1
2009,0.09527780440504595,0.08932103662394698,1.2490876831218674e-6,1.1961436211999044e-7,0.022909242671372648,0.20750945240241084,0.32709187944860635,0.5346013318510172,0.23460793319118245,0.025380359700191896,0.18374155313033186,0.4437298460217062,0.021320577657756856,3.4824250862848494e-4,1
2010,0.06588665938765155,0.09853606401145318,9.039399387036911e-7,1.572491490684542e-5,0.0260377634438159,0.1904771136755292,0.3092611754898461,0.49973828916537527,0.28841276541069416,0.026253430975321207,0.16947627546031518,0.4841424718463306,0.015743911801217193,3.7532718707696883e-4,1
2011,0.10476882418569577,0.14264003707566086,8.863689877902644e-6,1.7101083105749892e-4,0.025040944143497373,0.2726296799257894,0.3320556626121154,0.6046853425379047,0.20498608759443526,0.019005758156853857,0.15912742809544875,0.3831192738467379,0.011877369991494535,3.1801362386287425e-4,1
2012,0.09629017481873722,0.16473636446883685,1.4626574464465767e-5,0.0013896755683729981,0.02897224598356242,0.29140308741397397,0.338744091706802,0.6301471791207759,0.23216614030700697,0.012696589818137143,0.11150914144314529,0.3563718695815229,0.012114065927057233,0.001366883383877433,1
2013,0.08240541289098244,0.21030399953240914,2.6169217230866487e-5,0.0018089820308587088,0.02586885398625176,0.3204134176577329,0.34885778580484006,0.669271203462573,0.20310501873779888,0.012059552681890353,0.10257219699191714,0.31773676652567256,0.011686935542021304,0.0013050944697332134,1
2014,0.10957998340196558,0.23380351772019026,4.289390906491279e-5,0.00286081291201583,0.034293629340273094,0.3805808372835096,0.33238578659915546,0.7129666238826652,0.20296422190369023,0.016621930307838984,0.054418638157853985,0.2740047903693832,0.009874329738957641,0.003154254010675418,1
2015,0.11325631291076535,0.2703413427059037,3.884476468500557e-5,0.0036082522253666222,0.03630235038916285,0.42354710299588355,0.3460171973434685,0.769564300339352,0.1611945530503863,0.01714671923976325,0.03737706528537195,0.21571833562753673,0.010180476290891097,0.004536885794235407,1
2016,0.10761593022654449,0.27180275122533554,1.8826999472441205e-7,0.0053965886422684285,0.04154146128234564,0.4263569196464888,0.42974713246846713,0.856104052114956,0.03953020138812255,0.009168711526917119,0.06876002439208538,0.11745893730712506,0.010631431467208735,0.01580557911071027,1
2017,0.10966526004086188,0.352184616050257,8.586184323703129e-5,0.005928906053923117,0.05016839565964533,0.5180330396479244,0.36499739547017235,0.8830304351180966,0,0.00816293965300796,0.08928919388961867,0.09745213354262662,0.011733597440126276,0.007783833899150445,1
2018,0.10303127232824966,0.3940233264547266,1.9174285813108394e-4,0.006840478007605485,0.04427631239409506,0.548363132042808,0.28062124784998527,0.8289843798927933,0,0.0061702130133675865,0.14928989042749222,0.1554601034408598,0.009359039004917738,0.006196477661429219,1
2019,0.10765056163468491,0.4452562020613049,2.8283713113514525e-4,0.007115608053918922,0.04974253997051709,0.610047748851561,0.2471759238100574,0.8572236726616184,0,0.006389834632144756,0.122558358933598,0.12894819356574277,0.004876188965723322,0.008951946828624883,1
2020,0.11928601740700152,0.4449096028771462,2.174890897697131e-4,0.0068034751964663985,0.04699268252944424,0.6182092670998282,0.2574224254303854,0.8756316925302134,0,0.005189368733790821,0.10430888767661431,0.10949825641040513,0.005281444899410968,0.009588606159970484,1
