"Region"	"LACode"	"LAName"	"2010"	"2011"	"2012"	"2013"	"2014"	"2015"	"2016"	"2017"	"2018"	"2019"
"North"	"S12000013"	"Na h-Eileanan Siar"	18541	18702	18802	18829	18773	18769	18709	18646	18569	18564
"North"	"S12000017"	"Highland"	137419	138151	138895	138957	139463	139978	140142	140376	140879	141655
"North"	"S12000020"	"Moray"	46180	46426	46675	46795	47015	47248	47506	47618	47834	48050
"North"	"S12000023"	"Orkney Islands"	13715	13967	14144	14268	14340	14429	14528	14610	14612	14601
"North"	"S12000027"	"Shetland Islands"	17007	17101	17169	17278	17376	17413	17462	17455	17421	17355
"North"	"S12000033"	"Aberdeen City"	122989	123114	123368	124049	124343	125221	126013	126096	125989	126489
"North"	"S12000034"	"Aberdeenshire"	120607	121403	122276	122799	123367	124421	125098	125428	125961	126477
"North"	"S12000035"	"Argyll and Bute"	58473	58603	58840	58913	58975	59016	59022	58798	58692	58634
"North"	"S12000041"	"Angus"	61237	61257	61331	61480	61620	61406	61387	61286	61300	61372
"North"	"S12000042"	"Dundee City"	87255	86800	85630	84993	84448	84127	83787	83302	82430	82051
"North"	"S12000048"	"Perth and Kinross"	79416	79629	79821	79785	79819	79969	80125	80253	80432	80986
"South"	"S12000005"	"Clackmannanshire"	24779	24756	24793	24716	24872	25238	25324	25389	25570	25696
"South"	"S12000006"	"Dumfries and Galloway"	81747	81710	81764	81725	82035	82316	82247	81771	81834	81775
"South"	"S12000008"	"East Ayrshire"	57636	57805	57920	57882	58121	58830	58968	59018	59154	59274
"South"	"S12000010"	"East Lothian"	47947	48240	48413	48517	48654	49394	49916	50476	51256	52233
"South"	"S12000011"	"East Renfrewshire"	39330	39455	39600	39684	39904	40344	40655	40674	40884	41184
"South"	"S12000014"	"Falkirk"	76672	76957	77464	77677	78315	79369	79725	79724	80221	80465
"South"	"S12000018"	"Inverclyde"	43149	42895	42373	41925	41978	42431	42266	42066	42046	42047
"South"	"S12000019"	"Midlothian"	36831	37223	37558	37850	38266	39536	40137	40574	41210	41711
"South"	"S12000021"	"North Ayrshire"	71909	71880	71833	71896	72252	72683	72685	72582	72970	73287
"South"	"S12000026"	"Scottish Borders"	64188	64120	64211	64202	64446	65204	65213	64979	65143	64972
"South"	"S12000028"	"South Ayrshire"	57922	58075	58100	58144	58077	58512	58635	58520	58701	58757
"South"	"S12000029"	"South Lanarkshire"	152942	153490	153948	154179	154866	157467	158258	158631	160227	161083
"South"	"S12000030"	"Stirling"	42911	43162	43253	43365	43685	44175	44385	44354	44519	44517
"South"	"S12000036"	"City of Edinburgh"	254742	255012	255979	256873	257940	261350	263278	264187	266758	269323
"South"	"S12000038"	"Renfrewshire"	89605	89464	89577	89616	89869	91141	91608	91718	92661	93168
"South"	"S12000039"	"West Dunbartonshire"	47557	47475	47331	47021	47274	47525	47522	47444	47582	47350
"South"	"S12000040"	"West Lothian"	76987	77089	77491	77855	78442	80195	80733	81110	82016	82794
"South"	"S12000045"	"East Dunbartonshire"	46457	46431	46691	46856	47114	47724	48004	48059	48384	48709
"South"	"S12000047"	"Fife"	178749	179003	179452	179715	180657	182856	183683	184119	185136	186167
"South"	"S12000049"	"Glasgow City"	332287	330376	329116	327238	327362	330330	329273	329285	331540	333399
"South"	"S12000050"	"North Lanarkshire"	155304	155470	155802	156188	157151	158970	159667	159906	161067	161857
