"Date"	"All Scotland - Installations"	"All Scotland - Proportion"	"North Scotland - Installations"	"North Scotland - Proportion"	"South Scotland - Installations"	"South Scotland - Proportion"
2016-11-01	270688	0.0968139398224796	50709	0.0655342158419911	219979	0.108782987881407
2016-12-01	289551	0.103560457388354	53129	0.0686617238255367	236422	0.116914303460322
2017-01-01	314856	0.112611012814556	55749	0.0720477035432598	259107	0.128132383732028
2017-02-01	335021	0.119716457729875	58022	0.0749766109982581	276999	0.136817601228103
2017-03-01	358735	0.128190422283161	61100	0.0789540335044219	297635	0.147010302353172
2017-04-01	379994	0.135787116743745	63978	0.082673014002388	316016	0.156089195519479
2017-05-01	404550	0.144561961711717	67852	0.087679035701179	336698	0.166304617339051
2017-06-01	428640	0.153170286165147	71455	0.092334868478862	357185	0.176423723171058
2017-07-01	449670	0.1606851497291	74693	0.0965190445915841	374977	0.185211692662105
2017-08-01	472553	0.168862164609459	78382	0.101286007432792	394171	0.194692149407336
2017-09-01	497594	0.177810319555011	82491	0.106595698491216	415103	0.205031053262247
2017-10-01	525006	0.187605728019828	87951	0.113651165315015	437055	0.215873763821344
2017-11-01	554176	0.198029340485854	93231	0.120474034331436	460945	0.227673707118394
2017-12-01	574849	0.205416633612702	97400	0.125861257992319	477449	0.235825497163371
2018-01-01	602645	0.215349260698943	102705	0.132716432259765	499940	0.24693443499066
2018-02-01	624894	0.222145198823462	107799	0.139253783978949	517095	0.253617306372767
2018-03-01	648820	0.230650715002286	113644	0.146804302697647	535176	0.262485414779396
2018-04-01	674748	0.239867927385658	120276	0.15537146097693	554472	0.271949438882837
2018-05-01	700675	0.24908478427642	126907	0.163937327465157	573768	0.281413462986278
2018-06-01	726603	0.258301996659791	133539	0.17250448574444	593064	0.290877487089719
2018-07-01	753441	0.267842707317958	139279	0.179919366402323	614162	0.3012253301937
2018-08-01	774215	0.27522771079112	145288	0.187681738854104	628927	0.308467054690347
2018-09-01	799960	0.284379868026924	151259	0.19539502324578	648701	0.31816552134776
2018-10-01	824962	0.293267894253746	158178	0.204332925557957	666784	0.327034610685578
2018-11-01	847569	0.301304515680424	164539	0.212550008461231	683030	0.335002714727063
2018-12-01	864322	0.307260083370127	169412	0.2188449062741	694910	0.340829445984779
2019-01-01	883115	0.313940855983545	174066	0.22485690184584	709049	0.34776413901953
2019-02-01	900126	0.318515698148834	178536	0.230002808431478	721590	0.352034962005456
2019-03-01	919415	0.325341241796715	183307	0.236149150900373	736108	0.359117714785283
2019-04-01	935860	0.331160416730066	187414	0.241440081212624	748446	0.36513693256993
2019-05-01	953074	0.337251707535947	191875	0.247187059572242	761199	0.371358612291733
2019-06-01	966858	0.34212926954758	195558	0.251931762844709	771300	0.376286487056096
2019-07-01	978774	0.346345827073017	197765	0.254774977648493	781009	0.381023120665363
2019-08-01	992816	0.351314684136812	200263	0.257993079406468	792553	0.386654977538921
2019-09-01	1006858	0.356283541200608	202541	0.260927761473988	804317	0.392394163632177
2019-10-01	1022562	0.361840508251587	205310	0.26449498475975	817252	0.398704633890274
2019-11-01	1038176	0.367365628191346	208224	0.268249007386948	829952	0.404900457027332
2019-12-01	1051442	0.372059892385073	210540	0.271232643764638	840902	0.410242525007708
2020-01-01	1067273	0.37766179924855	213170	0.274620797336886	854103	0.416682766049621
2020-02-01	1082922	0.383199304176006	215801	0.278010239180453	867121	0.42303372869515
2020-03-01	1094490	0.387292719538061	217968	0.280801923131427	876522	0.427620101396841
2020-04-01	1096141	0.38787693710054	218331	0.281269565620676	877810	0.428248465192158
2020-05-01	1097659	0.388414091709772	218747	0.281805486489899	878912	0.428786087010823
2020-06-01	1100120	0.389284933273225	219261	0.282467657948505	880859	0.429735950605142
2020-07-01	1106843	0.391663912481307	220405	0.283941440338867	886438	0.432457722044641
2020-08-01	1118882	0.395923994392078	222393	0.286502523723516	896489	0.437361203804528
2020-09-01	1135595	0.401838002945504	225356	0.290319671645406	910239	0.444069280035594
2020-10-01	1155331	0.408821720579108	228997	0.295010267522422	926334	0.451921388176613
2020-11-01	1172451	0.414879748846604	232607	0.299660926988511	939844	0.458512377986192
2020-12-01	1185691	0.419564812763756	235566	0.30347292182512	950125	0.463528067566671
2021-01-01	1193009	0.422154336762677	237179	0.305550903464677	955830	0.466311309377452
2021-02-01	1195881	0.423170613467365	238043	0.30666396988537	957838	0.467290932437232
2021-03-01	1199526	0.424460421471747	238971	0.307859485670558	960555	0.468616448300491
2021-04-01	1206519	0.426934942013488	240495	0.309822811162613	966024	0.471284555130142
2021-05-01	1224448	0.433279240425166	244063	0.314419363233252	980385	0.478290713875912
2021-06-01	1244462	0.440361330246758	248039	0.319541530002551	996423	0.486115013991827
2021-07-01	1262686	0.446810016411878	251535	0.324045326538132	1011151	0.493300217390456
