"Quarter"	"Great Britain"	"North Scotland"	"South Scotland"
2016-09-01	0.321148173970988	0.251994474559457	0.315394036379299
2016-12-01	0.336459844741073	0.264449743249795	0.326034124837122
2017-03-01	0.337041025363102	0.264511671067462	0.328260875562815
2017-06-01	0.356	0.275	0.349
2017-09-01	0.35608	0.25415	0.35121
2017-12-01	0.35620616072236	0.292430956392983	0.345594102849974
2018-03-01	0.370372287583583	0.275548069487182	0.351127988884187
2018-06-01	0.371335370929606	0.286401866060345	0.349520636112613
2018-09-01	0.37	0.3	0.36
2018-12-01	0.39	0.31	0.38
2019-03-01	0.4	0.33	0.38
2019-06-01	0.4	0.33	0.39
2019-09-01	0.4	0.36	0.39
2019-12-01	0.41	0.38	0.4
2020-03-01	0.41	0.39	0.4
2020-06-01	0.41	0.38	0.39
2020-09-01	0.41	0.36	0.38
2020-12-01	0.43	0.37	0.40
2021-03-01	0.43	0.37	0.40	

