"Quarter"	"Great Britain"	"North Scotland"	"South Scotland"
2016-09-01	0.329323162883276	0.292898323356926	0.322842852837149
2016-12-01	0.341590657047121	0.302322314049587	0.329543039243305
2017-03-01	0.35	0.31	0.34
2017-06-01	0.371858736818794	0.319908966927097	0.36402481785665
2017-09-01	0.38431	0.32743	0.38006
2017-12-01	0.369933637710377	0.31463648707398	0.357627010135514
2018-03-01	0.409591575393012	0.315513103379569	0.374759998656861
2018-06-01	0.446809510017719	0.366470232122998	0.424129783082247
2018-09-01	0.44	0.38	0.43
2018-12-01	0.426416346683406	0.380104800492685	0.423334964058737
2019-03-01	0.4	0.35	0.38
2019-06-01	0.4	0.36	0.39
2019-09-01	0.4	0.37	0.39
2019-12-01	0.42	0.39	0.41
2020-03-01	0.42	0.4	0.41
2020-06-01	0.41	0.38	0.4
2020-09-01	0.42	0.38	0.4
2020-12-01	0.45	0.40	0.43
2021-03-01	0.45	0.42	0.44	
