Region,Year,variable,value
East Midlands,2018,Prepayment,563.8752166862529
Eastern,2018,Prepayment,570.1726793928501
London,2018,Prepayment,587.131438050618
Merseyside & North Wales,2018,Prepayment,572.5310766419029
North East,2018,Prepayment,558.3217941968818
North Scotland,2018,Prepayment,572.1713684003785
North West,2018,Prepayment,572.8090254793211
South East,2018,Prepayment,585.9795833101268
South Scotland,2018,Prepayment,566.2051305263917
South Wales,2018,Prepayment,570.4348378114311
South West,2018,Prepayment,586.7258033713615
Southern,2018,Prepayment,591.160469170418
West Midlands,2018,Prepayment,573.4863782880009
Yorkshire,2018,Prepayment,560.3764794330804
United Kingdom,2018,Prepayment,572.8406823527082
East Midlands,2019,Prepayment,616.2289993645362
Eastern,2019,Prepayment,624.1976401485797
London,2019,Prepayment,644.7232123697094
Merseyside & North Wales,2019,Prepayment,629.1960699624391
North East,2019,Prepayment,613.0093297815863
North Scotland,2019,Prepayment,623.7500918583286
North West,2019,Prepayment,625.7813277622358
South East,2019,Prepayment,642.3863197634737
South Scotland,2019,Prepayment,620.3356290221556
South Wales,2019,Prepayment,629.6253256940221
South West,2019,Prepayment,653.8890519864119
Southern,2019,Prepayment,651.309307063635
West Midlands,2019,Prepayment,632.7457171217566
Yorkshire,2019,Prepayment,619.0043037745189
United Kingdom,2019,Prepayment,629.5745578935423
East Midlands,2020,Prepayment,569.3845541499236
Eastern,2020,Prepayment,576.9603656232091
London,2020,Prepayment,599.5848669169176
Merseyside & North Wales,2020,Prepayment,587.5258153906539
North East,2020,Prepayment,574.0927282583863
North Scotland,2020,Prepayment,584.9528404681326
North West,2020,Prepayment,583.377761470246
South East,2020,Prepayment,597.7707249393496
South Scotland,2020,Prepayment,584.7651646430002
South Wales,2020,Prepayment,581.9209101165985
South West,2020,Prepayment,601.8937700196637
Southern,2020,Prepayment,604.061653522889
West Midlands,2020,Prepayment,581.8810808875845
Yorkshire,2020,Prepayment,572.8356180056185
United Kingdom,2020,Prepayment,584.7877917240767
East Midlands,2021,Prepayment,545.4853419963007
Eastern,2021,Prepayment,564.7362113983903
London,2021,Prepayment,597.9782152643281
Merseyside & North Wales,2021,Prepayment,559.1704338388946
North East,2021,Prepayment,517.8224079301327
North Scotland,2021,Prepayment,582.3209152205557
North West,2021,Prepayment,547.2290383710153
South East,2021,Prepayment,560.3184928262107
South Scotland,2021,Prepayment,554.6611403660897
South Wales,2021,Prepayment,572.0957664307247
South West,2021,Prepayment,578.1344235304616
Southern,2021,Prepayment,585.612691695191
West Midlands,2021,Prepayment,562.008153944945
Yorkshire,2021,Prepayment,536.5146261451254
United Kingdom,2021,Prepayment,559.3367410147396
East Midlands,2018,Standard Credit,648.084601149972
Eastern,2018,Standard Credit,659.0322900281859
London,2018,Standard Credit,673.909331001693
Merseyside & North Wales,2018,Standard Credit,655.9619273365906
North East,2018,Standard Credit,640.1155917701443
North Scotland,2018,Standard Credit,650.9520689031721
North West,2018,Standard Credit,654.4668388452411
South East,2018,Standard Credit,670.5971169731001
South Scotland,2018,Standard Credit,653.5620597070808
South Wales,2018,Standard Credit,650.4186169837153
South West,2018,Standard Credit,666.0786676857371
Southern,2018,Standard Credit,679.1189698270985
West Midlands,2018,Standard Credit,654.9171709113402
Yorkshire,2018,Standard Credit,640.6147433595113
United Kingdom,2018,Standard Credit,658.4704388000795
East Midlands,2019,Standard Credit,643.1929938197283
Eastern,2019,Standard Credit,651.2607458768282
London,2019,Standard Credit,672.5816220411895
Merseyside & North Wales,2019,Standard Credit,657.9744203302406
North East,2019,Standard Credit,640.4984172194319
North Scotland,2019,Standard Credit,649.9616160630092
North West,2019,Standard Credit,653.6339011352857
South East,2019,Standard Credit,672.367448344897
South Scotland,2019,Standard Credit,647.6263184144674
South Wales,2019,Standard Credit,657.3026425140298
South West,2019,Standard Credit,682.4746687175146
Southern,2019,Standard Credit,682.7367408078171
West Midlands,2019,Standard Credit,659.882046751876
Yorkshire,2019,Standard Credit,645.2236042267975
United Kingdom,2019,Standard Credit,658.47834939026
