"Dates"	"Wholesale"	"Network costs"	"Policy costs"	"Operating costs"	"EBIT"	"Adjustment allowance"	"Total"
"October 2021 - March 2022"	0.432791722796929	0.230219974242159	0.134441563763834	0.176432948099356	0.0190000078479999	0.00711378324972181	1
"April 2021 - September 2021"	0.341587781389291	0.258276802771481	0.163063957050832	0.196754311663892	0.0190000078479999	0.0213171392765051	1
"October 2020 - March 2021"	0.30254766351887	0.289383880011531	0.163908164927387	0.210460561238907	0.0190000078479999	0.0146997224553048	1
"April 2020 - September 2020"	0.36043978428284	0.268670084717853	0.151094729629558	0.20079539352175	0.0190000078479999	0	1
"October 2019 - March 2020"	0.396192413160677	0.251387469249973	0.1377701257367	0.19564998400465	0.0190000078479999	0	1
"April 2019 - September 2019"	0.435551539909731	0.235337525470666	0.127575476874448	0.182535449897156	0.0190000078479999	0	1
"October 2018 - March 2019"	0.409168507283825	0.253529615508539	0.12590873362795	0.192393135731686	0.0190000078479999	0	1
"April 2018 - September 2018"	0.390574099949148	0.270460296401105	0.136199299690496	0.183766296111251	0.0190000078479999	0	1
"October 2017 - March 2018"	0.37874312398629	0.296347186274005	0.119942945280946	0.185966736610758	0.0190000078479999	0	1
"April 2017 - September 2017"	0.384817815731467	0.293395618666043	0.119970239599014	0.182816318155475	0.0190000078479999	0	1
"October 2016 - March 2017"	0.338327206328417	0.329431175220158	0.119206638849992	0.194034971753433	0.0190000078479999	0	1
"April 2016 - September 2016"	0.353480631572186	0.32201495028939	0.117401980263506	0.188102430026918	0.0190000078479999	0	1
"October 2015 - March 2016"	0.415721247657095	0.27871476059744	0.0979219003433314	0.188642083554133	0.0190000078479999	0	1
