"Dates"	"Wholesale"	"Network costs"	"Policy costs"	"Operating costs"	"EBIT"	"Adjustment allowance"	"Total"
"October 2020 - March 2021"	0.336699769610647	0.305310669343345	0.0560667964039883	0.258086088896117	0.0190000078479999	0.0248366678979031	1
"April 2020 - September 2020"	0.418982011218303	0.272663199242586	0.051290325114025	0.238064456577086	0.0190000078479999	0	1
"October 2019 - March 2020"	0.461091918405036	0.247591040278	0.0435949187514613	0.228722114717503	0.0190000078479999	0	1
"April 2019 - September 2019"	0.510128809242035	0.225629716088137	0.039012385667071	0.206229081154757	0.0190000078479999	0	1
"October 2018 - March 2019"	0.481910338214371	0.239134714920575	0.0412869422245241	0.21866799679253	0.0190000078479999	0	1
"April 2018 - September 2018"	0.464197254989357	0.259640959112804	0.0448606201684777	0.212301157881361	0.0190000078479999	0	1
"October 2017 - March 2018"	0.454402131542877	0.265729035180122	0.0436152240105937	0.217253601418407	0.0190000078479999	0	1
"April 2017 - September 2017"	0.457575464035679	0.265278413357017	0.043550240481237	0.214595874278067	0.0190000078479999	0	1
"October 2016-March 2017"	0.396698735693477	0.298591147183088	0.0557054577381941	0.23000465153724	0.0190000078479999	0	1
"April 2016-September 2016"	0.417289995011879	0.288889912724846	0.0540809308316105	0.220739153583664	0.0190000078479999	0	1
"October 2015- March 2016"	0.480464312636701	0.243630264248729	0.0493260792709503	0.207579335995619	0.0190000078479999	0	1
