"Dates"	"Total"	"EBIT"	"Operating costs"	"Network costs"	"Adjustment allowance"	"Policy costs"
"October 2020 - March 2021"	5.91558423887719	0.112396146964171	1.27763169120498	1.57116229325601	0.0896023513669033	1
"April 2020 - September 2020"	6.4366839163199	0.122297044925173	1.32101375420424	1.58066886804561	0	1
"October 2019 - March 2020"	7.12485796774459	0.135372357303032	1.41460507523467	1.6696830327824	0	1
"April 2019 - September 2019"	7.70105317351506	0.146320070734651	1.42619320234091	1.68711540387737	0	1
"October 2018 - March 2019"	7.72982845305696	0.146866801271776	1.52533166101388	1.79227843696405	0	1
"April 2018 - September 2018"	7.13099045450294	0.135488874599568	1.34653125469283	1.7674991105456	0	1
"October 2017 - March 2018"	7.93982880249277	0.150856809559139	1.54861627594383	2.08260367187967	0	1
"April 2017 - September 2017"	7.94073526274709	0.150874032311085	1.52202099464655	2.06016508265029	0	1
"October 2016 - March 2017"	8.02105377571958	0.152400084687902	1.62599184254658	2.40491453386886	0	1
"April 2016 - September 2016"	8.15385941449182	0.154923392866833	1.60050304842889	2.38799635431168	0	1
"October 2015 - March 2016"	9.93062054864698	0.188681868359802	1.925126115015	2.57201214758698	0	1
