"Dates"	"Wholesale"	"Network costs"	"Policy costs"	"Operating costs"	"EBIT"	"Adjustment allowance"	"Total"
"October 2021 - March 2022"	0.445807069627656	0.211158765466719	0.13727657536035	0.179516056758762	0.0190000078479999	0.00724152493851224	1
"April 2021 - September 2021"	0.353930510819094	0.237493639398226	0.167267317557093	0.200567999082779	0.0190000078479999	0.0217405252948079	1
"October 2020 - March 2021"	0.315233742058767	0.265597146420524	0.169045010538098	0.215977262703554	0.0190000078479999	0.0151468304310565	1
"April 2020 - September 2020"	0.374836527707626	0.245571926258163	0.155359500792722	0.205232037393489	0.0190000078479999	0	1
"October 2019 - March 2020"	0.407755146218606	0.234346149823804	0.140353675052494	0.198545021057096	0.0190000078479999	0	1
"April 2019 - September 2019"	0.446877124338998	0.21907593232567	0.129852369210893	0.185194566276439	0.0190000078479999	0	1
"October 2018 - March 2019"	0.422435161767362	0.231865212359231	0.12936896833507	0.197330649690337	0.0190000078479999	0	1
"April 2018 - September 2018"	0.404077262019992	0.247861647056254	0.140232968479256	0.188828114596499	0.0190000078479999	0	1
"October 2017 - March 2018"	0.397710343518246	0.262298309025951	0.125947299799588	0.195044039808215	0.0190000078479999	0	1
"April 2017 - September 2017"	0.40395190709701	0.259442610096232	0.12593292269689	0.191672552261868	0.0190000078479999	0	1
"October 2016 - March 2017"	0.353787344401847	0.299825260011189	0.124671898227024	0.202715489511939	0.0190000078479999	0	1
"April 2016 - September 2016"	0.369203890556904	0.292867001124339	0.122641309981713	0.196287790489044	0.0190000078479999	0	1
"October 2015 - March 2016"	0.427445636140386	0.258998129571813	0.100698641650974	0.193857584788827	0.0190000078479999	0	1
