"Dates"	"Wholesale"	"Network costs"	"Policy costs"	"Operating costs"	"EBIT"	"Adjustment allowance"	"Total"
"October 2020 - March 2021"	0.336720773267885	0.30526877119226	0.0560702939049682	0.258101936553622	0.0190000078479999	0.0248382172332653	1
"April 2020 - September 2020"	0.419004889516728	0.272624741461731	0.0512931257959943	0.238077235377546	0.0190000078479999	0	1
"October 2019 - March 2020"	0.461096365192872	0.247584006213747	0.0435953391825005	0.228724281562881	0.0190000078479999	0	1
"April 2019 - September 2019"	0.510133276542491	0.225623136535625	0.0390127273063691	0.206230851767515	0.0190000078479999	0	1
"October 2018 - March 2019"	0.481924879774177	0.239112451164311	0.0412881880507534	0.21867447316276	0.0190000078479999	0	1
"April 2018 - September 2018"	0.464212472307136	0.259617443946233	0.0448620907896533	0.212307985108978	0.0190000078479999	0	1
"October 2017 - March 2018"	0.454404084184013	0.265725978901876	0.043615411432427	0.217254517633684	0.0190000078479999	0	1
"April 2017 - September 2017"	0.457577427384343	0.265275359697642	0.043550427345073	0.214596777724942	0.0190000078479999	0	1
"October 2016-March 2017"	0.396703787175858	0.298582508966427	0.0557061670803546	0.230007528929361	0.0190000078479999	0	1
"April 2016-September 2016"	0.417295121255433	0.28888146005109	0.0540815951945868	0.220741815650891	0.0190000078479999	0	1
"October 2015- March 2016"	0.480424677642071	0.243690758919691	0.0493220102093455	0.207562545380892	0.0190000078479999	0	1
