"Month Year"	"Exports to GB"
"Jun 2010"	656.5595
"Jul 2010"	1113.9565
"Aug 2010"	606.9945
"Sep 2010"	1038.841
"Oct 2010"	948.466
"Nov 2010"	777.744
"Dec 2010"	578.71
"Jan 2011"	696.8825
"Feb 2011"	678.9495
"Mar 2011"	221.939
"Apr 2011"	868.7225
"May 2011"	1072.0425
"Jun 2011"	977.742
"Jul 2011"	918.338
"Aug 2011"	789.13
"Sep 2011"	1064.441
"Oct 2011"	1068.8185
"Nov 2011"	1664.5455
"Dec 2011"	1820.14
"Jan 2012"	1798.6525
"Feb 2012"	1554.0855
"Mar 2012"	1417.242
"Apr 2012"	508.612
"May 2012"	306.202
"Jun 2012"	301.769
"Jul 2012"	352.67
"Aug 2012"	505.689
"Sep 2012"	932.6955
"Oct 2012"	875.9605
"Nov 2012"	1110.201
"Dec 2012"	1467.594
"Jan 2013"	1225.9635
"Feb 2013"	929.72
"Mar 2013"	697.763
"Apr 2013"	1409.587
"May 2013"	1245.944
"Jun 2013"	1122.433
"Jul 2013"	1041.6895
"Aug 2013"	1017.0965
"Sep 2013"	806.4775
"Oct 2013"	1262.1785
"Nov 2013"	1238.8595
"Dec 2013"	2028.7305
"Jan 2014"	1732.352
"Feb 2014"	1372.8745
"Mar 2014"	1354.052
"Apr 2014"	1015.109
"May 2014"	1182.977
"Jun 2014"	903.327
"Jul 2014"	484.5905
"Aug 2014"	762.725
"Sep 2014"	416.2885
"Oct 2014"	1008.3865
"Nov 2014"	1113.2355
"Dec 2014"	1394.353
"Jan 2015"	1698.473
"Feb 2015"	1344.4845
"Mar 2015"	1596.486
"Apr 2015"	1289.091
"May 2015"	1450.902
"Jun 2015"	1096.556
"Jul 2015"	705.9305
"Aug 2015"	1033.0625
"Sep 2015"	543.775
"Oct 2015"	774.8785
"Nov 2015"	1351.515
"Dec 2015"	1894.1795
"Jan 2016"	1682.245
"Feb 2016"	1495.5165
"Mar 2016"	984.885
"Apr 2016"	634.7935
"May 2016"	694.854
"Jun 2016"	347.558
"Jul 2016"	630.0975
"Aug 2016"	517.1865
"Sep 2016"	812.1965
"Oct 2016"	679.2705
"Nov 2016"	625.4175
"Dec 2016"	1203.7205
"Jan 2017"	908.4795
"Feb 2017"	1076.1595
"Mar 2017"	1207.3545
"Apr 2017"	956.513
"May 2017"	467.984
"Jun 2017"	904.9125
"Jul 2017"	1022.385
"Aug 2017"	1115.394
"Sep 2017"	1020.079
"Oct 2017"	1723.272
"Nov 2017"	1490.769
"Dec 2017"	1637.1185
"Jan 2018"	1738.2135
"Feb 2018"	1384.5965
"Mar 2018"	1057.2465
"Apr 2018"	1157.676
"May 2018"	989.724999999998
"Jun 2018"	699.7075
"Jul 2018"	703.0915
"Aug 2018"	757.285999999999
"Sep 2018"	1162.7195
"Oct 2018"	1187.1815
"Nov 2018"	1372.6065
"Dec 2018"	1160.7095
"Jan 2019"	1090.554
"Feb 2019"	1645.604
"Mar 2019"	1692.719
"Apr 2019"	1127.812
"May 2019"	557.3025
"Jun 2019"	735.871
"Jul 2019"	894.393999999999
"Aug 2019"	1309.662
"Sep 2019"	1612.827
"Oct 2019"	1854.523
"Nov 2019"	1206.1555
"Dec 2019"	1894.354
"Feb 2020"	2297.8315
"Jan 2020"	2406.0855
"Mar 2020"	1829.6765
