"Month Year"	"Exports to NI"
"Apr 2009"	169.7045
"Apr 2010"	189.6785
"Apr 2011"	231.8455
"Apr 2012"	237.768
"Apr 2013"	133.033
"Apr 2014"	91.586
"Apr 2015"	65.401
"Apr 2016"	26.2045
"Apr 2017"	53.0305
"Apr 2018"	100.741
"Apr 2019"	111.2545
"Apr 2020"	142.5025
"Aug 2009"	201.1425
"Aug 2010"	220.2285
"Aug 2011"	109.054
"Aug 2012"	171.037
"Aug 2013"	59.0495
"Aug 2014"	8.731
"Aug 2015"	36.5045
"Aug 2016"	0
"Aug 2017"	20.464
"Aug 2018"	87.2545
"Aug 2019"	140.3235
"Dec 2009"	197.324
"Dec 2010"	289.6915
"Dec 2011"	0
"Dec 2012"	166.762
"Dec 2013"	136.8655
"Dec 2014"	93.641
"Dec 2015"	49.063
"Dec 2016"	73.3905
"Dec 2017"	117.1765
"Dec 2018"	164.5135
"Dec 2019"	123.1625
"Feb 2009"	140.2875
"Feb 2010"	218.3435
"Feb 2011"	235.112
"Feb 2012"	143.609
"Feb 2013"	139.895
"Feb 2014"	111.743
"Feb 2015"	83.9075
"Feb 2016"	70.1655
"Feb 2017"	74.1625
"Feb 2018"	115.4635
"Feb 2019"	84.196
"Feb 2020"	58.02
"Jan 2009"	100.631
"Jan 2010"	234.665
"Jan 2011"	300.0885
"Jan 2012"	38.16
"Jan 2013"	162.1935
"Jan 2014"	143.821
"Jan 2015"	87.277
"Jan 2016"	42.539
"Jan 2017"	82.304
"Jan 2018"	100.042
"Jan 2019"	186.258
"Jan 2020"	125.986
"Jul 2009"	177.549
"Jul 2010"	155.6595
"Jul 2011"	153.7605
"Jul 2012"	155.9835
"Jul 2013"	138.6365
"Jul 2014"	16.3915
"Jul 2015"	40.3135
"Jul 2016"	0
"Jul 2017"	17.1965
"Jul 2018"	76.7065
"Jul 2019"	179.9785
"Jun 2009"	174.465
"Jun 2010"	81.5975
"Jun 2011"	235.3745
"Jun 2012"	216.7265
"Jun 2013"	132.9965
"Jun 2014"	95.56
"Jun 2015"	42.051
"Jun 2016"	1.372
"Jun 2017"	28.7425
"Jun 2018"	107.4835
"Jun 2019"	48.556
"Mar 2009"	157.3805
"Mar 2010"	247.562
"Mar 2011"	261.625
"Mar 2012"	287.3325
"Mar 2013"	143.77
"Mar 2014"	120.814
"Mar 2015"	78.9635
"Mar 2016"	87.15
"Mar 2017"	58.2835
"Mar 2018"	113.1795
"Mar 2019"	127.053
"Mar 2020"	110.032
"May 2009"	161.421
"May 2010"	223.2605
"May 2011"	242.488
"May 2012"	264.5115
"May 2013"	149.012
"May 2014"	107.5525
"May 2015"	54.5485
"May 2016"	44.7505
"May 2017"	35.4275
"May 2018"	88.3715
"May 2019"	109.0115
"May 2020"	22.8595
"Nov 2009"	194.8625
"Nov 2010"	164.9075
"Nov 2011"	0
"Nov 2012"	149.8245
"Nov 2013"	144.454
"Nov 2014"	97.1825
"Nov 2015"	52.3085
"Nov 2016"	38.589
"Nov 2017"	136.9985
"Nov 2018"	90.331
"Nov 2019"	112.701
"Oct 2009"	121.8955
"Oct 2010"	139.2785
"Oct 2011"	0.0355
"Oct 2012"	170.4275
"Oct 2013"	161.3495
"Oct 2014"	101.6385
"Oct 2015"	52.1885
"Oct 2016"	52.1525
"Oct 2017"	92.601
"Oct 2018"	143.5445
"Oct 2019"	111.193
"Sep 2009"	194.82
"Sep 2010"	133.744
"Sep 2011"	0
"Sep 2012"	163.382
"Sep 2013"	51.279
"Sep 2014"	120.8125
"Sep 2015"	43.647
"Sep 2016"	2.837
"Sep 2017"	30.574
"Sep 2018"	127.6585
"Sep 2019"	141.7505
NA	NA
