"Month Year"	"Exports to GB"	"Exports to NI"	"Price"	"WholesaleValue"
"Apr 2011"	868.7225	231.8455	50.88	55996.89984
"Apr 2012"	508.612	237.768	45.91	34266.3058
"Apr 2013"	1409.587	133.033	51.3	79136.406
"Apr 2014"	1015.109	91.586	41.77	46226.65015
"Apr 2015"	1289.091	65.401	43.97	59557.01324
"Apr 2016"	634.7935	26.2045	34.37	22718.50126
"Apr 2017"	956.513	53.0305	42.1	42501.78135
"Apr 2018"	1157.676	100.741	50.74	63852.07858
"Apr 2019"	1127.812	111.2545	43.87	54357.847355
"Aug 2010"	606.9945	220.2285	39.95	33047.55885
"Aug 2011"	789.13	109.054	47.36	42537.99424
"Aug 2012"	505.689	171.037	41.21	27887.87846
"Aug 2013"	1017.0965	59.0495	47.31	50912.46726
"Aug 2014"	762.725	8.731	37.95	29276.7552
"Aug 2015"	1033.0625	36.5045	40.86	43702.50762
"Aug 2016"	517.1865	0	36.51	18882.479115
"Aug 2017"	1115.394	20.464	43.34	49228.08572
"Aug 2018"	757.285999999999	87.2545	61.94	52310.8385699999
"Aug 2019"	1309.662	140.3235	39.62	57448.42551
"Dec 2010"	578.71	289.6915	58.03	50393.339045
"Dec 2011"	1820.14	0	43.54	79248.8956
"Dec 2012"	1467.594	166.762	49.76	81325.55456
"Dec 2013"	2028.7305	136.8655	50.81	110033.93276
"Dec 2014"	1394.353	93.641	43.96	65412.21624
"Dec 2015"	1894.1795	49.063	35.07	68149.514475
"Dec 2016"	1203.7205	73.3905	49.87	63689.52557
"Dec 2017"	1637.1185	117.1765	56.18	98556.2931
"Dec 2018"	1160.7095	164.5135	64.32	85238.34336
"Dec 2019"	1894.354	123.1625	39.94	80579.60901
"Feb 2011"	678.9495	235.112	46.47	42476.437905
"Feb 2012"	1554.0855	143.609	49.1	83356.79995
"Feb 2013"	929.72	139.895	51.44	55020.9956
"Feb 2014"	1372.8745	111.743	45.15	67030.480125
"Feb 2015"	1344.4845	83.9075	42.86	61220.88112
"Feb 2016"	1495.5165	70.1655	33.85	52998.3357
"Feb 2017"	1076.1595	74.1625	49.49	56929.43578
"Feb 2018"	1384.5965	115.4635	53.68	80523.2208
"Feb 2019"	1645.604	84.196	50.27	86957.046
"Jan 2011"	696.8825	300.0885	48.43	48283.30553
"Jan 2012"	1798.6525	38.16	42.17	77458.383125
"Jan 2013"	1225.9635	162.1935	49.96	69352.32372
"Jan 2014"	1732.352	143.821	47.67	89437.16691
"Jan 2015"	1698.473	87.277	39.86	71179.995
"Jan 2016"	1682.245	42.539	36.95	63730.7688
"Jan 2017"	908.4795	82.304	53.37	52878.115395
"Jan 2018"	1738.2135	100.042	50.84	93456.90962
"Jan 2019"	1090.554	186.258	62.55	79864.5906
"Jan 2020"	2406.0855	125.986	35.93	90977.328995
"Jul 2010"	1113.9565	155.6595	43.53	55266.38448
"Jul 2011"	918.338	153.7605	47.96	51417.84406
"Jul 2012"	352.67	155.9835	42.71	21724.590985
"Jul 2013"	1041.6895	138.6365	48.73	57517.28598
"Jul 2014"	484.5905	16.3915	35.46	17764.82172
"Jul 2015"	705.9305	40.3135	42.2	31491.4968
"Jul 2016"	630.0975	0	38.4	24195.744
"Jul 2017"	1022.385	17.1965	43.05	44753.983575
"Jul 2018"	703.0915	76.7065	57.61	44924.16278
"Jul 2019"	894.393999999999	179.9785	41.86	44973.23285
"Jun 2010"	656.5595	81.5975	42.18	31135.46226
"Jun 2011"	977.742	235.3745	50.82	61650.58053
"Jun 2012"	301.769	216.7265	42.24	21901.24992
"Jun 2013"	1122.433	132.9965	47.31	59394.369645
"Jun 2014"	903.327	95.56	36.67	36629.18629
"Jun 2015"	1096.556	42.051	41.66	47434.36762
"Jun 2016"	347.558	1.372	37.51	13088.3643
"Jun 2017"	904.9125	28.7425	39.68	37047.4304
"Jun 2018"	699.7075	107.4835	54	43588.314
"Jun 2019"	735.871	48.556	39.4	30906.4238
"Mar 2011"	221.939	261.625	51.41	24860.02524
"Mar 2012"	1417.242	287.3325	45.64	77796.78018
"Mar 2013"	697.763	143.77	62.9	52932.4257
"Mar 2014"	1354.052	120.814	44.41	65498.79906
"Mar 2015"	1596.486	78.9635	40.91	68542.639045
"Mar 2016"	984.885	87.15	34.76	37263.9366
"Mar 2017"	1207.3545	58.2835	41.99	53144.13962
"Mar 2018"	1057.2465	113.1795	56.79	66468.49254
"Mar 2019"	1692.719	127.053	44.96	81816.94912
"May 2011"	1072.0425	242.488	50.27	66081.448235
"May 2012"	306.202	264.5115	43.79	24991.544165
"May 2013"	1245.944	149.012	48.89	68199.39884
"May 2014"	1182.977	107.5525	39.62	51130.77879
"May 2015"	1450.902	54.5485	41.21	62039.615105
"May 2016"	694.854	44.7505	34.61	25597.711745
"May 2017"	467.984	35.4275	41.24	20760.69026
"May 2018"	989.724999999998	88.3715	54.25	58486.7351249999
"May 2019"	557.3025	109.0115	41.35	27552.0839
"Nov 2010"	777.744	164.9075	46.4	43739.0296
"Nov 2011"	1664.5455	0	46.15	76818.774825
"Nov 2012"	1110.201	149.8245	49	61741.2495
"Nov 2013"	1238.8595	144.454	53.05	73384.781175
"Nov 2014"	1113.2355	97.1825	48.43	58620.54374
"Nov 2015"	1351.515	52.3085	38.01	53359.331235
"Nov 2016"	625.4175	38.589	67.54	44846.99901
"Nov 2017"	1490.769	136.9985	51.45	83748.637875
"Nov 2018"	1372.6065	90.331	62.19	90980.083125
"Nov 2019"	1206.1555	112.701	46.04	60720.15326
"Oct 2010"	948.466	139.2785	43.5	47316.88575
"Oct 2011"	1068.8185	0.0355	46.83	50054.43282
"Oct 2012"	875.9605	170.4275	47.6	49808.0688
"Oct 2013"	1262.1785	161.3495	48.22	68642.52016
"Oct 2014"	1008.3865	101.6385	44.81	49740.22025
"Oct 2015"	774.8785	52.1885	40.29	33322.52943
"Oct 2016"	679.2705	52.1525	56.03	40981.63069
"Oct 2017"	1723.272	92.601	46.68	84764.95164
"Oct 2018"	1187.1815	143.5445	64.76	86177.81576
"Oct 2019"	1854.523	111.193	37.74	74186.12184
