"EmissionYear"	"Agriculture"	"Electricity Generation"	"Industry"	"Land use, land use change and forestry"	"Residential"	"Services"	"Transport"	"Waste Management"
"1990"	8.55528948662915	14.7496341501083	21.0198780392224	9.07426363307347	8.00729529182014	2.9731541956296	14.878464897727	5.83500232024488
"1995"	8.64897659095525	16.7260784160705	19.5400683035334	7.01604566966745	7.86665192967727	3.31003766542032	15.8118229959046	6.06259934672612
"1998"	8.6696806226615	17.8029604564596	17.3231358713561	5.71870240600552	8.05146555393851	3.34763805434275	16.5196097702479	5.90380121910756
"1999"	8.63772331366555	16.7121671284575	16.1048398354437	5.25022896231934	7.9980181489867	3.43987968729609	16.4510276219642	5.66805079133986
"2000"	8.37630707403937	19.6500114946992	15.9588267210923	4.93103936786161	7.86072029404986	3.36694410649043	15.7529669152925	5.53312308033604
"2001"	8.13752381392235	18.8682953796281	16.3244162445136	4.43821761495414	8.36236515348481	3.43833365366414	15.574009189374	5.20978054859326
"2002"	8.15901083198204	17.2102939988075	15.2363837244962	3.85792716056097	7.66959903159102	2.99042526899797	15.927515838961	5.03332879926878
"2003"	8.24688011291726	17.6086770065101	15.1246288780265	3.69366487529226	7.63619699968025	3.1180676971721	15.6941290503358	4.92476764936051
"2004"	8.20242442068001	15.7873425932064	15.054399130921	3.2406176266502	7.79629040945884	3.24264510188334	15.7787864229521	4.28084263363124
"2005"	8.15982925332512	13.990402231256	15.4749954883825	2.92002371617117	7.71597633222257	3.24836511479003	15.972574869146	3.87571314966064
"2006"	7.92610875319068	18.7792958410948	14.2590170248102	2.49923990278468	7.52063973021107	3.04091968196543	15.9442166804517	3.48702877310622
"2007"	8.10814324683	15.5522875367869	13.7235767272137	2.25174561472917	7.29381146892208	2.95522215855915	16.262839945022	3.13935782573332
"2008"	7.64843955306346	14.2777207251143	13.7443590622741	1.90957064537401	7.4872342215037	3.37649751851351	15.6510170604946	2.98468079127328
"2009"	7.65166181998869	13.3759429240806	12.3133987103667	1.79275234417641	7.20392094705756	2.99875104840314	14.953968236552	2.67312317954381
"2010"	7.65892473046156	15.8060789688772	12.1507328102359	1.78419847385265	8.03659289418232	3.21996358317045	14.3607809019812	2.44649991513213
"2011"	7.59796104048663	12.0890206056672	12.0232198065322	1.46248415193214	6.50628143912184	2.89652279774183	13.8761387261179	2.30505054048768
"2012"	7.54302422481261	12.7714452826533	11.4347688822821	1.45842511188192	7.04532036857427	3.24166197876017	13.557512148966	1.98660465520686
"2013"	7.44188632760026	11.3864592362584	11.4529893686578	1.87241973064051	7.08629410493672	3.32729756627256	13.4210115185761	1.39355101621843
"2014"	7.65353240940339	9.7602468272215	10.6550550178725	1.70505525959696	5.92803904767193	2.98053450320449	13.5742456226451	1.4195472508462
"2015"	7.54818982510032	7.6928960350243	10.9452293262879	2.23722252744133	6.12340006434469	3.16059466507781	13.8347228169481	1.66220926490163
"2016"	7.53529100321877	2.45376575124256	11.5318309954016	1.81729961886102	6.22904830236142	3.1959855248474	14.203538732642	1.57520444055564
"2017"	7.51232284915703	1.11311894849521	11.8585147669245	1.71622570183875	6.03488723246251	3.1334606315494	14.4964625829426	1.63887013602489
"2018"	7.45148727346901	2.08463467300445	11.6568688857541	2.30107340489624	6.31781977824344	3.21345982094335	14.2587468669192	1.60136500261734
"2019"	7.46875499146955	2.00700277784426	10.7159743041906	2.72389902134506	6.22189069017919	3.15442081143357	13.9481415888369	1.54382747824354
"BaseYear"	8.55528948662915	14.7496341501083	21.0101977962932	9.07426363307347	8.04642780553195	2.98967434751383	14.878464897727	5.83500232024488
