"EmissionYear","Business and Industrial Process","Public","Residential"
"1990",1.23869410966999,1.68621686457028,7.97275627532622
"1995",1.43900782713662,1.80617623733763,7.79159987359704
"1998",1.45695347619196,1.76941470833591,7.90204760743374
"1999",1.53300967794246,1.75754100249678,7.81700878967074
"2000",1.54269143345491,1.64509369505201,7.65421951587711
"2001",1.5383388779918,1.68344317698732,8.13292764300068
"2002",1.29771034282773,1.43280280037695,7.43842128549958
"2003",1.38275381483626,1.42779751260726,7.40687153679923
"2004",1.32997757169375,1.55283626025287,7.5646924365921
"2005",1.30865852276192,1.52681035931127,7.47853237978363
"2006",1.18823046253115,1.37897721966206,7.27573004849959
"2007",1.14522550466605,1.28002021806762,7.05839547481179
"2008",1.4575142299977,1.33240867913326,7.26240471790355
"2009",1.15897409955452,1.19606906317426,6.97800010012268
"2010",1.25719451241586,1.27774023693212,7.82268916834692
"2011",1.10473472785749,1.05690369263423,6.30026413588299
"2012",1.27000086951699,1.19403675127973,6.84085417000695
"2013",1.31906180471162,1.19867374516259,6.88281551075962
"2014",1.13600073999253,1.02280303037606,5.72854098191962
"2015",1.25515669335451,1.09397098222504,5.92790728539463
"2016",1.27224166470084,1.11897477760265,6.03875495578639
"2017",1.27392326464734,1.06211419437258,5.8479299684845
"2018",1.31092998034652,1.12452706012573,6.13834250389713
"2019",1.30565424310464,1.09723569501061,6.05693414777912
"BaseYear",1.23869410966999,1.68621686457028,7.97275627532622
