"EmissionYear","Electricity","Heat","Industry","Other","Transport","Total"
"1990",14.7526084694731,10.8976672495665,21.0169037198576,23.5473376778308,14.878464897727,85.0929820144549
"1995",16.7325143303044,11.0367839380713,19.5336323892996,21.8675272643751,15.8118229959046,84.982280917955
"1998",17.8045175675628,11.1284157919616,17.321578760253,20.5628720640942,16.5196097702479,83.3369939541194
"1999",16.716359534278,11.10755947011,16.1006474296232,19.8863414334976,16.4510276219642,80.261935489473
"2000",19.665977628211,10.842004644384,15.9428605875806,19.2261292783933,15.7529669152925,81.4299390538614
"2001",18.8851779266898,11.3547096979798,16.3075336974518,18.2315110866389,15.574009189374,80.3529415981343
"2002",17.2287975958878,10.1689344287043,15.217880127416,17.5413566636965,15.927515838961,76.0844846546656
"2003",17.6306968288948,10.2174228642428,15.1026090556418,17.4021544701796,15.6941290503358,76.0470122692947
"2004",15.8076476239484,10.4475062685387,15.034094100179,16.3153139237649,15.7787864229521,73.3833483393831
"2005",14.0113719898358,10.3140012618568,15.4540257298026,15.6059063043127,15.972574869146,71.357880154954
"2006",18.7953988927609,9.8429377306928,14.2429139731441,14.6309991105653,15.9442166804517,73.4564663876147
"2007",15.5720336949809,9.48364119754546,13.7038305690196,14.2646391172282,16.262839945022,69.2869845237963
"2008",14.2946163637137,10.0523276270345,13.7274634236747,13.3540951026934,15.6510170604946,67.079519577611
"2009",13.3916283732607,9.33304326285146,12.2977132611866,12.9871660763181,14.953968236552,62.9635192101689
"2010",15.8211796724378,10.3576239176949,12.1356321066753,12.7885556791042,14.3607809019812,65.4637722778934
"2011",12.1029556939923,8.46190255637471,12.0092847182072,12.3063974133954,13.8761387261179,58.7566791080874
"2012",12.7786577716305,9.30489179080367,11.4275563933048,11.9701445484322,13.557512148966,59.0387626531372
"2013",11.3939340339064,9.40055106063383,11.4455145710097,11.7208976850346,13.4210115185761,57.3819088691607
"2014",9.7709826447776,7.88734475228822,10.6443192003164,11.7993637184347,13.5742456226451,53.676255938462
"2015",7.70015874314424,8.27703496097417,10.937966618168,12.4545813858916,13.8347228169481,53.2044645251261
"2016",2.46015346332459,8.42997139808988,11.5254432833196,11.9228574917544,14.203538732642,48.5419643691304
"2017",1.11989673905143,8.18396742750442,11.8517369763682,11.8517991235282,14.4964625829426,47.5038628493948
"2018",2.09160269190902,8.57379954436938,11.6499008668496,12.3114057358,14.2587468669192,48.8854557058472
"2019",2.04546230722725,8.45982408589437,10.6775147748076,12.6529689067765,13.9481415888369,47.7839116635427
"BaseYear",14.7526084694731,10.8976672495665,21.0072234769284,23.6029903434268,14.878464897727,85.1389544371217
