"EmissionYear"	"International Aviation and Shipping"	"Transport (excluding international aviation and shipping)"
"1990"	1.31261124807014	13.5665913563426
"1995"	1.46067681550204	14.3521805205362
"1998"	1.74756471826699	14.7608150675546
"1999"	1.57984114281259	14.8604425659775
"2000"	1.42497874726877	14.3140933552738
"2001"	1.548636510794	14.0143825025659
"2002"	1.38868918969994	14.5284943829316
"2003"	1.32769324883957	14.3574911748308
"2004"	1.50346612145091	14.266095308534
"2005"	1.61230984049786	14.3501543684266
"2006"	1.69723993296847	14.2346764290489
"2007"	1.74671149625181	14.5027285715539
"2008"	1.77984534281013	13.8568688560073
"2009"	1.63208423425182	13.3076136644592
"2010"	1.43297235525021	12.9894658802376
"2011"	1.55501666944792	12.4362877247414
"2012"	1.46318044291872	12.2645320784818
"2013"	1.53938527237542	12.0950600882574
"2014"	1.63841692255953	12.1858668255149
"2015"	1.70334006632432	12.4335291978549
"2016"	1.81402204033832	12.754179487359
"2017"	1.92640247995226	13.0425141153314
"2018"	1.90184038671064	12.9051721096078
"BaseYear"	1.31261124807014	13.5665913563426
