refPeriod,agriculture,business,energy-supply,industrial-processes,international-aviation-and-shipping,land-use-land-use-change-and-forestry,public,residential,transport-excluding-international,waste-management
1990,8.555289486000001,12.408126187999999,22.727365132,1.9209581900000001,1.312882996,9.074263634,1.686216864,8.007295292,13.565581896,5.835002321
1995,8.648976591,10.4428076,26.746408171,0.5807923779999999,1.460934733,7.016045669,1.806176238,7.866651929,14.350888265000002,6.062599347
1998,8.669680623,10.271919619000002,25.786049843,0.646350214,1.760082213,5.718702406,1.769414708,8.051465554,14.759527561000002,5.90380122
1999,8.637723314,10.525401389,23.357975602000003,0.6159686539999999,1.592212456,5.2502289620000004,1.757541003,7.998018149000001,14.858815170999998,5.668050791
2000,8.376307073,10.429328485,26.303039983,0.5983201620000002,1.439711333,4.931039369,1.6450936960000002,7.860720292999999,14.313255586,5.53312308
2001,8.137523814,10.740378079000001,25.630099516999998,0.577124508,1.560276358,4.438217614,1.6834431769999998,8.362365153,14.013732828,5.2097805479999995
2002,8.159010832,9.841841649,23.550078096,0.612380441,1.399103078,3.857927161,1.4328028,7.669599032,14.528412765999999,5.0333288
2003,8.246880114,10.077531816,23.717627997,0.628416259,1.337052456,3.693664875,1.427797513,7.636197,14.357076599,4.924767650000001
2004,8.202424421,9.966373320999999,21.930206156,0.634971083,1.512765124,3.240617627,1.5528362599999999,7.796290409000001,14.266021295,4.280842634
2005,8.159829253,9.855641934000001,20.784083125,0.547227413,1.6225338489999999,2.920023716,1.526810359,7.715976332999999,14.350041018999999,3.87571315
2006,7.926108752999999,9.506011078,24.635552682,0.558691572,1.708212102,2.4992399030000003,1.37897722,7.52063973,14.236004578,3.487028773
2007,8.108143247000001,9.020381729,21.390724368000004,0.5399601079999999,1.758489335,2.251745614,1.280020218,7.2938114689999995,14.504350609000001,3.139357825
2008,7.648439554,9.467553914000002,20.069017772,0.529596939,1.791478715,1.909570646,1.332408679,7.4872342220000005,13.859538343,2.9846807909999997
2009,7.651661819999999,8.423515468,18.661944911000003,0.406563238,1.6433345739999998,1.792752344,1.196069063,7.2039209479999995,13.310633658,2.67312318
2010,7.658924729999999,8.643875096999999,20.862698863,0.39246116400000003,1.444053874,1.7841984729999996,1.2777402370000002,8.036592893999998,12.916727033,2.446499914
2011,7.59796104,8.503106022999999,16.996423409,0.452330086,1.566682596,1.4624841530000003,1.056903693,6.50628144,12.309456125999999,2.305050541
2012,7.543024225,8.439644525000002,17.364325514,0.44986935499999997,1.473318351,1.4584251120000002,1.1940367509999998,7.045320369,12.084193801,1.9866046549999998
2013,7.441886327,8.547614193000001,15.920449206,0.500009028,1.546259608,1.8724197300000003,1.198673745,7.086294104,11.874751911,1.393551016
2014,7.65353241,8.000564101,13.830096908,0.5423723069999999,1.6589377559999998,1.7050552600000002,1.02280303,5.928039048,11.915307870000001,1.419547251
2015,7.548189825,8.080860122999999,12.192767265,0.431121661,1.7226362290000001,2.237222528,1.0939709819999999,6.123400064,12.112086585000002,1.662209265
2016,7.535291003999999,8.164720819,7.37939717,0.518489506,1.830305394,1.8172996179999998,1.1189747780000001,6.229048303,12.373233342,1.57520444
2017,7.51232285,8.481543889,6.013190935,0.548245329,1.9407499069999998,1.716225702,1.0621141939999998,6.034887233,12.555712672,1.638870137
2018,7.4514872730000015,8.472787023999999,6.8258864280000004,0.5317628679999999,1.91397191,2.3010734060000004,1.1245270600000001,6.317819779000001,12.344774958,1.601365003
2019,7.468754991999999,7.8528318079999995,6.4102466609999995,0.517083729,1.9164849460000002,2.7238990210000003,1.0972356959999998,6.2218906899999995,12.031656645,1.543827479
