Quarter,Imports (France to UK),Exports (UK to France),Net imports (France to UK),Imports (Ireland to NI),Exports (NI to Ireland),Net imports (Ireland to NI),Imports (Netherlands to UK),Exports (UK to Netherlands),Net imports (Netherlands to UK),Imports (Ireland to Wales),Exports (Wales to Ireland),Net imports (Ireland to Wales),Imports (Belgium to UK),Exports (UK to Belgium),Net imports (Belgium to UK),Imports (Norway to UK),Exports (UK to Norway),Net imports (Norway to UK),UK total imports,UK total exports,UK total net imports,Transfers (Scotland to England),Transfers (England to Scotland),Net transfers (Scotland to England),Transfers (Scotland to NI),Transfers (NI to Scotland),Net transfers (Scotland to NI)
1998 Q1,4216.46,0,4216.46,7.911,10.308,-2.397,0,0,0,0,0,0,0,0,0,0,0,0,4224.371,10.308,4214.063,0,0,0,0,0,0
1998 Q2,3969.31,0,3969.31,23.198,14.088,9.11,0,0,0,0,0,0,0,0,0,0,0,0,3992.508,14.088,3978.42,0,0,0,0,0,0
1998 Q3,880.715,0,880.715,9.217,43.016,-33.799,0,0,0,0,0,0,0,0,0,0,0,0,889.932,43.016,846.916,0,0,0,0,0,0
1998 Q4,3720.887,0,3720.887,11.631,63.168,-51.537,0,0,0,0,0,0,0,0,0,0,0,0,3732.518,63.168,3669.35,0,0,0,0,0,0
1999 Q1,3638.8,0,3638.8,6.906,24.189,-17.283,0,0,0,0,0,0,0,0,0,0,0,0,3645.706,24.189,3621.517,0,0,0,0,0,0
1999 Q2,3741.98,0,3741.98,6.115,39.648,-33.533,0,0,0,0,0,0,0,0,0,0,0,0,3748.095,39.648,3708.447,0,0,0,0,0,0
1999 Q3,3415.45,0,3415.45,3.847,124.863,-121.016,0,0,0,0,0,0,0,0,0,0,0,0,3419.297,124.863,3294.434,0,0,0,0,0,0
1999 Q4,3688.26,0,3688.26,5.859,74.154,-68.295,0,0,0,0,0,0,0,0,0,0,0,0,3694.119,74.154,3619.965,0,0,0,0,0,0
2000 Q1,3259.14,0.93,3258.21,5.952,26.781,-20.829,0,0,0,0,0,0,0,0,0,0,0,0,3265.092,27.711,3237.381,3301.11,0,3301.11,0,0,0
2000 Q2,3785.87,0,3785.87,9.84,16.253,-6.413,0,0,0,0,0,0,0,0,0,0,0,0,3795.71,16.253,3779.457,2667.98,9.92,2658.06,0,0,0
2000 Q3,3760.53,0,3760.53,5.922,45.758,-39.836,0,0,0,0,0,0,0,0,0,0,0,0,3766.452,45.758,3720.694,1955.66,0.1,1955.56,0,0,0
2000 Q4,3461.7,0,3461.7,19.289,44.323,-25.034,0,0,0,0,0,0,0,0,0,0,0,0,3480.989,44.323,3436.666,1657.22,10.63,1646.59,0,0,0
2001 Q1,3214.032,0,3214.032,37.239,12.849,24.39,0,0,0,0,0,0,0,0,0,0,0,0,3251.271,12.849,3238.422,2129.66,1.5,2128.16,0,0,0
