"Quarter"	"Onshore Wind"	"Offshore Wind"	"Shoreline wave / tidal"	"Solar photovoltaics"	"Small scale Hydro"	"Large scale Hydro"	"Landfill gas"	"Sewage sludge digestion"	"Energy from waste"	"Animal Biomass (non-AD)"	"Anaerobic Digestion"	"Plant Biomass"	"Total"
2010 Q4	2486.16	190	2.45	2.41	135.92	1321.1	108.55	8.16	10.5	12.5	4.49	87.09	4369.33
2011 Q1	2496.67	190	2	4.28	137.97	1339.1	112.8	9.45	10.5	12.5	9.16	85.91	4410.34
2011 Q2	2629.3	190	2	8.84	140.97	1339.1	112.8	9.45	10.5	12.5	9.18	85.91	4550.54
2011 Q3	2715.46	190	2.56	18.87	143.09	1339.1	112.8	9.45	10.5	12.5	11.58	85.91	4651.82
2011 Q4	2897.86	190	2.56	48.32	146.01	1339.1	112.8	9.45	10.5	12.5	14.28	86.06	4869.42
2012 Q1	3174.81	190	3.56	65.18	147.74	1339.1	114.85	9.45	17.7	12.5	12.03	85.88	5172.81
2012 Q2	3372.6	190	4.86	73.81	153.17	1339.1	114.85	9.45	17.7	12.5	12.03	85.88	5385.95
2012 Q3	3609.49	190	4.86	86.97	153.51	1339.1	114.85	9.45	17.7	12.5	12.03	85.88	5636.34
2012 Q4	3764.99	190	6.75	94.74	157.72	1339.1	114.85	9.45	17.7	12.5	15.08	92.91	5815.8
2013 Q1	4141.75	190	5.61	102.63	158.04	1339.1	114.85	6.85	17.5	12.5	15.28	101.61	6205.72
2013 Q2	4408.88	190	5.61	115.28	162.08	1339.1	115.33	6.85	17.5	12.5	15.28	103.01	6491.42
2013 Q3	4509.92	190	6.75	123.38	164.45	1339.1	115.33	6.85	17.5	12.5	15.28	103.01	6604.07
2013 Q4	4588.75	190	6.75	132.74	170.61	1339.1	115.33	6.85	17.5	12.5	16.61	103.01	6699.74
2014 Q1	4593.07	197.35	5.89	143.27	178.42	1339.1	116.33	6.85	17.5	12.5	23.85	168.01	6802.13
2014 Q2	4843.42	197.35	6.64	152.1	180.31	1339.1	116.33	6.85	17.5	12.5	23.84	173.51	7069.43
2014 Q3	4949.56	197.35	6.64	162.61	183.01	1339.1	116.33	6.85	17.5	12.5	24.04	173.63	7189.12
2014 Q4	5079.47	197.35	7.39	174.96	188.63	1339.1	116.33	6.85	17.5	12.5	26.13	173.63	7339.84
2015 Q1	5155.01	187.35	7.64	184.08	195.36	1339.1	116.33	6.85	17.5	12.5	26.78	177.21	7425.71
2015 Q2	5187.72	187.35	7.64	198.28	200.6	1339.1	116.33	6.85	17.5	12.5	26.82	177.21	7477.89
2015 Q3	5311.06	187.35	7.64	217.73	204.69	1339.1	116.33	6.85	17.5	12.5	28.69	177.29	7626.72
2015 Q4	5397.99	187.35	7.64	264.06	232.34	1339.1	116.33	6.95	17.5	12.5	29.17	177.29	7788.23
2016 Q1	5550.25	180	7.31	303.76	240.19	1335.6	116.33	7.25	17.5	12.5	32.07	189.44	7992.2
2016 Q2	5631.02	180	7.31	319.38	243.94	1335.6	116.33	7.25	17.5	12.5	32.25	189.55	8092.62
2016 Q3	5937.19	180	7.31	323.66	274.71	1335.6	116.33	7.25	17.5	12.5	32.78	189.59	8434.43
2016 Q4	6297.98	180	13.01	325.77	291.19	1335.6	116.33	7.25	17.5	12.5	32.87	196.09	8826.09
2017 Q1	6867.25	180	17.92	314.7	279.21	1335.5	115.83	7.25	17.5	12.5	44.07	220.62	9412.33
2017 Q2	7154.86	180	17.92	318.62	283.33	1335.5	115.83	7.25	17.5	12.5	44.17	220.62	9708.09
2017 Q3	7331.48	229	17.92	321.01	313.08	1335.5	115.83	7.25	17.5	12.5	45.17	220.62	9966.86
2017 Q4	7331.05	247	17.92	342.97	313.18	1335.5	115.83	7.25	17.5	12.5	50.65	220.62	10011.97
2018 Q1	7633.71	217.35	17.92	358.11	313.95	1339	115.86	7.25	17.5	12.5	51.13	258	10342.28
2018 Q2	7688.9	217.35	19.92	358.62	314.16	1339	115.86	7.25	17.5	12.5	51.13	258	10400.19
2018 Q3	7789.64	433.15	19.92	359.08	316.21	1339	115.86	7.25	17.5	12.5	51.13	258	10719.24
2018 Q4	7886.6	587.15	19.92	359.57	317.3	1335.5	115.86	7.25	17.5	12.5	52.13	258	10969.28
2019 Q1	8079.43	718.15	21.92	360.82	317.99	1335.5	115.86	7.25	32.56	12.5	53.15	258.22	11313.35
2019 Q2	8258.98	898.15	21.92	361.79	317.99	1335.5	115.86	7.25	32.56	12.5	53.15	258.22	11673.87
2019 Q3	8298.58	898.15	21.92	363.18	317.99	1335.5	115.86	7.25	32.56	12.5	53.15	258.22	11714.86
2019 Q4	8298.8	898.15	21.92	364.84	317.99	1335.5	115.86	7.25	69.34	12.5	53.15	258.22	11753.52
2020 Q1	8257.74	898.15	21.92	372.97	317.82	1335	115.86	7.25	69.34	12.5	53.5	258.24	11720.29
2020 Q2	8259.54	898.15	21.92	373.96	318.74	1335	115.86	7.25	69.34	12.5	53.5	258.24	11724
2020 Q3	8259.54	898.15	21.92	376.37	318.74	1335	115.86	7.25	69.34	12.5	53.5	258.24	11726.41
2020 Q4	8349.44	898.15	21.92	378.61	320.49	1335	115.86	7.25	69.34	12.5	53.73	258.24	11820.53
2021 Q1	8403.13	898.15	21.92	378.63	318.61	1335	115.86	7.25	69.84	12.5	53.73	258.24	11872.86
