"Ref"	"LA"	"Site"	"TechType"	"Capacity"	"Status"	"TurbineAmount"
880	"Aberdeen City"	"Altens Incinerator"	"EfW Incineration"	12	"Application Refused"	0
5615	"Aberdeen City"	"East Tullos"	"EfW Incineration"	11.1	"Under Construction"	0
7526	"Aberdeen City"	"Iron Mountain Howe Moss Drive"	"Solar Photovoltaics"	0.25	"Awaiting Construction"	0
187	"Aberdeen City"	"Stoneywood Paper Mill"	"Biomass (dedicated)"	22	"Abandoned"	0
691	"Aberdeen City"	"Tarbothill Landfill Site"	"Landfill Gas"	2.2	"Operational"	0
3424	"Aberdeenshire"	"Ardlawhill Wood Wind Turbines"	"Wind Onshore"	1.35	"Application Withdrawn"	2
3362	"Aberdeenshire"	"Ardlawhill Wood Wind Turbines - resubmission"	"Wind Onshore"	1	"Application Refused"	2
3616	"Aberdeenshire"	"Auchenten"	"Wind Onshore"	2.4	"Application Refused"	3
3806	"Aberdeenshire"	"Auchinderran Wind Farm"	"Wind Onshore"	2.4	"Operational"	3
3838	"Aberdeenshire"	"Auchmacoy Estate Wind Cluster"	"Wind Onshore"	2.4	"Application Withdrawn"	3
4338	"Aberdeenshire"	"Backfield Farm"	"Wind Onshore"	2.3	"Application Withdrawn"	1
6736	"Aberdeenshire"	"Bilbo Solar Farm"	"Solar Photovoltaics"	36.6	"Awaiting Construction"	0
6564	"Aberdeenshire"	"Birkhall Estate"	"Small Hydro"	2	"Under Construction"	0
629	"Aberdeenshire"	"Black Dog"	"Landfill Gas"	2.2	"Operational"	0
4346	"Aberdeenshire"	"Bogenlea Farm"	"Wind Onshore"	2.3	"Operational"	1
2884	"Aberdeenshire"	"Bogmuir Farm Wind Turbine"	"Wind Onshore"	1	"Application Withdrawn"	2
3920	"Aberdeenshire"	"Boy's Hill Wind Cluster"	"Wind Onshore"	6.9	"Application Refused"	3
4671	"Aberdeenshire"	"Boyndie Airfield"	"Wind Onshore"	16.65	"Operational"	8
99	"Aberdeenshire"	"Boyndie Airfield Biomass"	"Biomass (dedicated)"	4	"Abandoned"	0
2691	"Aberdeenshire"	"Boyndie Airfield Extension"	"Wind Onshore"	2.3	"Operational"	1
4498	"Aberdeenshire"	"Brackenhills Farm"	"Wind Onshore"	2.3	"Application Refused"	1
5956	"Aberdeenshire"	"Brackenhills Farm (resubmission)"	"Wind Onshore"	2.3	"Awaiting Construction"	1
4411	"Aberdeenshire"	"Brotherton (formerly Paul Matthew Hill wind turbines)"	"Wind Onshore"	4.6	"Operational"	2
4348	"Aberdeenshire"	"BROWNIELEYS - 3 WIND TURBINES"	"Wind Onshore"	7.5	"Operational"	3
4287	"Aberdeenshire"	"Brucklaywaird Wind Farm"	"Wind Onshore"	6.9	"Application Refused"	3
5845	"Aberdeenshire"	"Bruxiehall Farm"	"Solar Photovoltaics"	2	"Under Construction"	0
3402	"Aberdeenshire"	"Burnside of Idoch"	"Wind Onshore"	3.2	"Application Refused"	4
3410	"Aberdeenshire"	"Burnside Wind Cluster"	"Wind Onshore"	6.9	"Application Withdrawn"	3
2788	"Aberdeenshire"	"Burnside Wind Cluster ( Resubmission)"	"Wind Onshore"	6.9	"Application Withdrawn"	3
3621	"Aberdeenshire"	"Burnside Wind Cluster (3rd Resubmission)"	"Wind Onshore"	4.6	"Application Refused"	2
2877	"Aberdeenshire"	"Burnside Wind Cluster (Second Resubmission)"	"Wind Onshore"	6.9	"Application Refused"	3
3401	"Aberdeenshire"	"Cairn Hill"	"Wind Onshore"	2.4	"Application Refused"	3
