"REPD Ref ID","Status","Site Name","Technology","Capacity (MW)","Local Authority","LA Code"
489,"Awaiting Construction","Allt na Moine","Small Hydro",2,"Highland","S12000017"
926,"Awaiting Construction","Binn Eco Park","Advanced Conversion Technologies",4.6,"Perth and Kinross","S12000048"
977,"Awaiting Construction","Pond Green Energy Park","Advanced Conversion Technologies",5,"West Lothian","S12000040"
1007,"Under Construction","Coatbridge Material Recovery and Renewable Energy Facility","Advanced Conversion Technologies",25,"North Lanarkshire","S12000050"
1009,"Awaiting Construction","South Clyde Energy Centre","EfW Incineration",20,"Glasgow City","S12000049"
2415,"Awaiting Construction","Sound of Islay","Tidal Barrage and Tidal Stream",10,"Offshore"," "
2416,"Application Submitted","Brims Tidal Array (Cantick Head)","Tidal Barrage and Tidal Stream",200,"Orkney Islands","S12000023"
2423,"Awaiting Construction","Mull of Kintyre","Tidal Barrage and Tidal Stream",3,"Offshore"," "
2429,"Awaiting Construction","West Islay Tidal Array","Tidal Barrage and Tidal Stream",30,"Offshore"," "
2527,"Awaiting Construction","Inch Cape","Wind Offshore",784,"Offshore"," "
2534,"Under Construction","MacColl Offshore Windfarm (Moray East)","Wind Offshore",313.5,"Offshore"," "
2536,"Under Construction","Telford Offshore Windfarm (Moray East)","Wind Offshore",313.5,"Offshore"," "
2537,"Under Construction","Stevenson Offshore Windfarm (Moray East)","Wind Offshore",323,"Offshore"," "
2540,"Awaiting Construction","Seagreen Phase 1 (Alpha)","Wind Offshore",525,"Offshore"," "
2767,"Awaiting Construction","Chirmorie Wind Farm","Wind Onshore",76,"South Ayrshire","S12000028"
2858,"Awaiting Construction","Gass Wind Farm","Wind Onshore",20.7,"Dumfries and Galloway","S12000006"
2859,"Awaiting Construction","Glen Ullinish Wind Farm","Wind Onshore",42,"Highland","S12000017"
2860,"Awaiting Construction","Strathallan Wind Farm","Wind Onshore",20.7,"Perth and Kinross","S12000048"
3204,"Application Submitted","Ackron Wind Farm Wind Farm","Wind Onshore",49.9,"Highland","S12000017"
3317,"Awaiting Construction","Whitelaw Brae Wind Farm","Wind Onshore",50.4,"Scottish Borders","S12000026"
3371,"Awaiting Construction","Aberarder Wind Farm","Wind Onshore",49.9,"Highland","S12000017"
3373,"Awaiting Construction","Beinn Mheadhonach","Wind Onshore",4,"Highland","S12000017"
3383,"Awaiting Construction","Neilston Additional Wind Turbine","Wind Onshore",2.5,"East Renfrewshire","S12000011"
3387,"Under Construction","Beinn an Tuirc Windfarm Phase 3","Wind Onshore",49.9,"Argyll and Bute","S12000035"
3417,"Application Submitted","Shepherd's Rig Wind Farm","Wind Onshore",78.6,"Dumfries and Galloway","S12000006"
3430,"Awaiting Construction","Heathland Wind Farm","Wind Onshore",57.8,"South Lanarkshire","S12000029"
3435,"Under Construction","Gordonbush (extension)","Wind Onshore",47,"Highland","S12000017"
3436,"Awaiting Construction","Hill Of Lychrobbie","Wind Onshore",2.4,"Highland","S12000017"
3502,"Awaiting Construction","Enoch Hill","Wind Onshore",54.4,"East Ayrshire","S12000008"
3503,"Awaiting Construction","Benbrack","Wind Onshore",84,"East Ayrshire","S12000008"
3516,"Awaiting Construction","Beaw Field Wind Farm","Wind Onshore",57.8,"Shetland Islands","S12000027"
3624,"Awaiting Construction","Cornabo","Wind Onshore",2.7,"Aberdeenshire","S12000034"
3629,"Awaiting Construction","Green Burn Wind Farm","Wind Onshore",33,"Perth and Kinross","S12000048"
3633,"Under Construction","Hazelside farm - resubmission","Wind Onshore",1.6,"South Lanarkshire","S12000029"
3751,"Awaiting Construction","Evie Wind Energy Project","Wind Onshore",2.3,"Orkney Islands","S12000023"
3868,"Awaiting Construction","Poniel Wind Turbines","Wind Onshore",9,"South Lanarkshire","S12000029"
3892,"Awaiting Construction","Work Farm Wind Turbines","Wind Onshore",1.8,"Orkney Islands","S12000023"
3901,"Awaiting Construction","Uisenis/Eishken (Muaitheabhal) (Southern Extension)","Wind Onshore",21.6,"Comhairle nan Eilean Siar","S12000013"
3923,"Awaiting Construction","Hill of Carlincraig wind turbines","Wind Onshore",4.6,"Aberdeenshire","S12000034"
4003,"Awaiting Construction","Cogle Moss Wind Farm","Wind Onshore",36,"Highland","S12000017"
4005,"Awaiting Construction","Herscha Wind energy Project (Extension)","Wind Onshore",1.6,"Aberdeenshire","S12000034"
4073,"Under Construction","Tralorg Wind Farm","Wind Onshore",20,"South Ayrshire","S12000028"
4079,"Awaiting Construction","Penbreck & Carmacoup Forest (Resubmission)","Wind Onshore",27,"South Lanarkshire","S12000029"
4106,"Awaiting Construction","Greengairs Wind Farm","Wind Onshore",17.5,"North Lanarkshire","S12000050"
4128,"Under Construction","Sneddon Law Community Wind Farm","Wind Onshore",45,"East Ayrshire","S12000008"
