"LA","LACode","Application Submitted","Awaiting Construction","Operational","Under Construction"
"Aberdeen City","S12000033",0,0.51,2.2,11.1
"Aberdeenshire","S12000034",178.6,41.728,515.4,38.6
"Angus","S12000041",5,92.95,33.4,0
"Argyll and Bute","S12000035",182.2,289.3,395.26,87.5
"City of Edinburgh","S12000036",0,0.4,2.4,0
"Clackmannanshire","S12000005",0,0,43,10.8
"Comhairle nan Eilean Siar","S12000013",65.9,401.7,37.8,0
"Dumfries and Galloway","S12000006",1593.615,636.4,981.4,162.8
"Dundee City","S12000042",2,0,12.3,10
"East Ayrshire","S12000008",391.2,667.9,382.7,45
"East Lothian","S12000010",0,0.2,168,0
"East Renfrewshire","S12000011",19.2,2.5,361.2,0
"Falkirk","S12000014",0,26.5,40,21.5
"Fife","S12000047",4.19,56.72,195.5,0
"Glasgow City","S12000049",0,20.2,24.7,0
"Highland","S12000017",1438.55,1695.7,2338.6,70.7
"Inverclyde","S12000018",0,0,24,0
"Midlothian","S12000019",0,0,68.6,3
"Moray","S12000020",187.8,205.8,541.2,0
"North Ayrshire","S12000021",1,37.9,145.8,15
"North Lanarkshire","S12000050",15.5,89,64.2,52.2
"Orkney Islands","S12000023",270,135.2,50.2,0
"Perth and Kinross","S12000048",0,91,364,3.2
"Scottish Borders","S12000026",141,197.4,689.5,95.5
"Shetland Islands","S12000027",202.7,552.6,11.7,0
"South Ayrshire","S12000028",265,100,434.6,0
"South Lanarkshire","S12000029",694.8,406.5,1146.4,168.6
"Stirling","S12000030",24,15,183,0
"West Dunbartonshire","S12000039",0,1.6,4.1,0
"West Lothian","S12000040",18.7,94.8,138,0
"Offshore",NA,0,856.9,902.2,1975
"Scotland","S92000003",5700.955,6716.408,10301.36,2770.5
