"Quarter","In Planning","Awaiting Construction","Under Construction","Total"
"2021 Q3",5700.955,6716.408,2770.5,15187.863
"2021 Q2",5361.015,6768.78,2622.04,14751.835
"2021 Q1",5248.825,7333.47,2019.44,14601.735
"2020 Q4",4326.9,7679.87,1990.84,13997.61
"2020 Q3",4424.825,7560.816,1952.14,13937.781
"2020 Q2",4538.375,7880.466,1472.2,13891.041
"2020 Q1",4466.141,7733.945,1336.32,13536.406
"2019 Q4",4070.83,7711.465,1182.3875,12964.6825
"2019 Q3",3836.05,7889.055,1150.8575,12875.9625
"2019 Q2",4235.97,7617.685,1190.7575,13044.4125
"2019 Q1",4833.835,7490.12,619.768,12943.723
"2018 Q4",4280.445,7419.02,925.968,12625.433
"2018 Q3",3387.47,7285.52,1311.74,11984.73
"2018 Q2",3384.5,7306.6,1467.4,12158.5
"2018 Q1",2219.5,7187.1,1510,10916.6
"2017 Q4",2360.6,6897.4,1589.8,10847.8
"2017 Q3",2922.2,6727.2,1914,11563.4
"2017 Q2",3224.7,6404.3,2062,11691
"2017 Q1",5450.1,4852.4,1449,11751.5
"2016 Q4",5494.3,4930,1858,12282.3
"2016 Q3",6209.8,4472.3,2127.81,12809.91
"2016 Q2",4453.4,6947.4,1843.51,13244.31
"2016 Q1",4252.7,6833.9,1923.51,13010.11
"2015 Q4",4517.1,7369.1,1536.51,13422.71
"2015 Q3",4140.5,7685.7,1509.1,13335.3
"2015 Q2",4331.3,8198.8,813.6,13343.7
"2015 Q1",4404.4,8205.1,663.3,13272.8
"2014 Q4",5335,8269.1,630.1,14234.2
"2014 Q3",4031.832,8205.0692,485.142,12722.0432
"2014 Q2",7113.218,5834.6472,386.653,13334.5182
"2014 Q1",7163.64,5949.3182,571,13683.9582
"2013 Q4",9619.78,3821.34,698,14139.12
"2013 Q3",9386.95,3775.89,814.55,13977.39
"2013 Q2",9428.49,3509.26,864.05,13801.8
"2013 Q1",8639.18,3096.48,1328.05,13063.71
"2012 Q4",8959.62,2595.12,1723.68,13278.42
"2012 Q3",8679.04,2665.51,1708.98,13053.53
"2012 Q2",6413.31,2366.68,1676.07,10456.06
"2012 Q1",5601.27,2274.7,1804.65,9680.62
"2011 Q4",5149.55,1948.05,1794.7,8892.3
