"","Ref","County","Planning Authority","Technology Type","Development Status (short)","Operational","Installed Capacity (MWelec)","No. of Turbines","LA","LACode"
"1",2415,"Offshore","Scottish Government (S36)","Shoreline wave / tidal","Awaiting Construction",NA,10,0,"Offshore",NA
"2",2423,"Offshore","Scottish Government (S36)","Shoreline wave / tidal","Awaiting Construction",NA,3,0,"Offshore",NA
"3",2429,"Offshore","Marine Scotland","Shoreline wave / tidal","Awaiting Construction",NA,30,0,"Offshore",NA
"4",2479,"Offshore","Marine Scotland","Wind Offshore","Operational",2017-10-27,30,5,"Offshore",NA
"5",2485,"Offshore","Scottish Government (S36)","Wind Offshore","Operational",2007-07-17,10,2,"Offshore",NA
"6",2496,"Offshore","Scottish Government (S36)","Wind Offshore","Operational",2010-04-28,90,30,"Offshore",NA
"7",2497,"Offshore","Scottish Government (S36)","Wind Offshore","Operational",2009-07-18,84,28,"Offshore",NA
"8",2505,"Offshore","Scottish Government (S36)","Wind Offshore","Operational",2018-09-07,93.2,11,"Offshore",NA
"9",2521,"Offshore","Scottish Government (S36)","Wind Offshore","Operational",2019-08-05,588,84,"Offshore",NA
"10",2527,"Offshore","Marine Scotland","Wind Offshore","Awaiting Construction",NA,784,72,"Offshore",NA
"11",2528,"Offshore","Scottish Government (S36)","Wind Offshore","Operational",2014-03-31,7,1,"Offshore",NA
"12",2534,"Offshore","Scottish Government (S36)","Wind Offshore","Under Construction",NA,313.5,33,"Offshore",NA
"13",2536,"Offshore","Scottish Government (S36)","Wind Offshore","Under Construction",NA,313.5,33,"Offshore",NA
"14",2537,"Offshore","Scottish Government (S36)","Wind Offshore","Under Construction",NA,323,34,"Offshore",NA
"15",2540,"Offshore","Marine Scotland","Wind Offshore","Under Construction",NA,525,57,"Offshore",NA
"16",2757,"Strathclyde","Scottish Government (S36)","Wind Onshore","Operational",2013-01-15,109,39,"East Ayrshire","S12000008"
"17",2767,"Strathclyde","Scottish Government (S36)","Wind Onshore","Awaiting Construction",NA,76,21,"South Ayrshire","S12000028"
"18",3109,"Strathclyde","Scottish Government (S36)","Wind Onshore","Operational",2006-05-08,120,52,"South Ayrshire","S12000028"
"19",3116,"Strathclyde","Scottish Government (S36)","Wind Onshore","Operational",2004-05-31,124,54,"South Lanarkshire","S12000029"
"20",3260,"Strathclyde","Scottish Government (S36)","Wind Onshore","Operational",2011-06-01,56,24,"South Ayrshire","S12000028"
"21",3328,"Strathclyde","Scottish Government (S36)","Wind Onshore","Application Submitted",NA,126,21,"South Lanarkshire","S12000029"
"22",3430,"Strathclyde","Scottish Government (S36)","Wind Onshore","Awaiting Construction",NA,57.8,17,"South Lanarkshire","S12000029"
"23",3489,"Strathclyde","Scottish Government (S36)","Wind Onshore","Operational",2007-12-14,322,140,"East Renfrewshire","S12000011"
"24",3502,"Strathclyde","Scottish Government (S36)","Wind Onshore","Awaiting Construction",NA,54.4,16,"East Ayrshire","S12000008"
"25",3534,"Grampian","Scottish Government (S36)","Wind Onshore","Operational",2004-11-01,50.6,22,"Moray","S12000020"
"26",3586,"Strathclyde","Scottish Government (S36)","Wind Onshore","Application Submitted",NA,126,21,"South Lanarkshire","S12000029"
"27",3981,"Strathclyde","Scottish Government (S36)","Wind Onshore","Operational",2012-10-31,108,36,"East Ayrshire","S12000008"
"28",4011,"Strathclyde","Scottish Government (S36)","Wind Onshore","Operational",2012-10-01,350,152,"South Lanarkshire","S12000029"
"29",4028,"Tayside","Scottish Government (S36)","Wind Onshore","Operational",2012-02-28,156,52,"Perth and Kinross","S12000048"
"30",4178,"Strathclyde","Scottish Government (S36)","Wind Onshore","Operational",2017-08-15,172.8,54,"South Lanarkshire","S12000029"
"31",4225,"Lothian","Scottish Government (S36)","Wind Onshore","Operational",2016-12-01,51.7,22,"West Lothian","S12000040"
"32",4244,"Grampian","Scottish Government (S36)","Wind Onshore","Operational",2018-09-15,177,59,"Moray","S12000020"
"33",4253,"Strathclyde","Scottish Government (S36)","Wind Onshore","Operational",2016-02-18,48.4,29,"South Lanarkshire","S12000029"
"34",4261,"Grampian","Scottish Government (S36)","Wind Onshore","Operational",2014-05-30,66.7,29,"Moray","S12000020"
"35",4262,"Strathclyde","Scottish Government (S36)","Wind Onshore","Operational",2018-02-15,50,25,"East Ayrshire","S12000008"
"36",4269,"Strathclyde","Scottish Government (S36)","Wind Onshore","Operational",2016-08-15,69,23,"South Ayrshire","S12000028"
"37",4332,"Lothian","Scottish Government (S36)","Wind Onshore","Operational",2017-11-15,60.8,19,"East Lothian","S12000010"
"38",4368,"Strathclyde","Scottish Government (S36)","Wind Onshore","Operational",2017-02-15,66,22,"East Ayrshire","S12000008"
"39",4385,"Strathclyde","Scottish Government (S36)","Wind Onshore","Awaiting Construction",NA,95,19,"South Lanarkshire","S12000029"
"40",4440,"Strathclyde","Scottish Government (S36)","Wind Onshore","Operational",2019-05-16,51,15,"South Lanarkshire","S12000029"
"41",4580,"Strathclyde","Scottish Government (S36)","Wind Onshore","Operational",2016-02-18,15,5,"South Lanarkshire","S12000029"
"42",4586,"Strathclyde","Scottish Government (S36)","Wind Onshore","Awaiting Construction",NA,240,50,"East Ayrshire","S12000008"
"43",4589,"Grampian","Scottish Government (S36)","Wind Onshore","Awaiting Construction",NA,48,16,"Moray","S12000020"
"44",4619,"Strathclyde","Scottish Government (S36)","Wind Onshore","Operational",2013-08-31,46,20,"Argyll and Bute","S12000035"
"45",4627,"Grampian","Scottish Government (S36)","Wind Onshore","Operational",2014-12-02,18.4,8,"Aberdeenshire","S12000034"
"46",4628,"Strathclyde","Scottish Government (S36)","Wind Onshore","Under Construction",NA,75,15,"South Lanarkshire","S12000029"
"47",4643,"Strathclyde","Scottish Government (S36)","Wind Onshore","Operational",2019-09-15,88.4,26,"South Lanarkshire","S12000029"
"48",4667,"Grampian","Scottish Government (S36)","Wind Onshore","Operational",2013-12-01,57.5,25,"Aberdeenshire","S12000034"
"49",4687,"Grampian","Scottish Government (S36)","Wind Onshore","Operational",2006-04-01,65,28,"Moray","S12000020"
"50",4797,"Loch Lomond and The Trossachs","Loch Lomond and The Trossachs National Park Authority","Small Hydro","Operational",2017-05-15,1.1,0,"Stirling","S12000030"
"51",5129,"Strathclyde","Scottish Government (S36)","Wind Onshore","Awaiting Construction",NA,62.7,19,"East Ayrshire","S12000008"
"52",5863,"Offshore","Marine Scotland","Wind Offshore","Awaiting Construction",NA,29.9,2,"Offshore",NA
"53",6057,"Aberdeen","Scottish Government (S36)","Wind Onshore","Application Submitted",NA,104,26,"Aberdeenshire","S12000034"
"54",6136,"Offshore","Marine Scotland","Wind Offshore","Under Construction",NA,50,8,"Offshore",NA
"55",6407,"Grampian","Scottish Government (S36)","Wind Onshore","Awaiting Construction",NA,28,7,"Moray","S12000020"
"56",6426,"Offshore","Marine Scotland","Wind Offshore","Under Construction",NA,450,54,"Offshore",NA
"57",6564,"Aberdeen","Cairngorms National Park Authority","Small Hydro","Operational",2020-04-01,2,0,"Aberdeenshire","S12000034"
"58",6607,"Strathclyde","Scottish Government (S36)","Wind Onshore","Application Submitted",NA,226.8,54,"East Ayrshire","S12000008"
"59",6797,"Grampian","Scottish Government (S36)","Wind Onshore","Application Submitted",NA,37.8,9,"Moray","S12000020"
"60",6826,"Strathclyde","Scottish Government (S36)","Wind Onshore","Application Submitted",NA,78,13,"South Lanarkshire","S12000029"
"61",6827,"Strathclyde","Scottish Government (S36)","Wind Onshore","Awaiting Construction",NA,105.5,22,"East Ayrshire","S12000008"
"62",7877,"Ayrshire","Scottish Government (S36)","Wind Onshore","Application Submitted",NA,92,14,"South Ayrshire","S12000028"
