"Old Ref ID"	"Ref ID"	"Record Last Updated (dd/mm/yyyy)"	"Operator (or Applicant)"	"Site Name"	"Technology Type"	"Storage Type"	"Storage Co-location REPD Ref ID"	"Installed Capacity (MWelec)"	"CHP Enabled"	"RO Banding (ROC/MWh)"	"FiT Tariff (p/kWh)"	"CfD Capacity (MW)"	"Turbine Capacity (MW)"	"No. of Turbines"	"Height of Turbines (m)"	"Mounting Type for Solar"	"Development Status"	"Development Status (short)"	"Address"	"County"	"Region"	"Country"	"Post Code"	"X-coordinate"	"Y-coordinate"	"Planning Authority"	"Planning Application Reference"	"Appeal Reference"	"Secretary of State Reference"	"Type of Secretary of State Intervention"	"Judicial Review"	"Offshore Wind Round"	"Planning Application Submitted"	"Planning Application Withdrawn"	"Planning Permission Refused"	"Appeal Lodged"	"Appeal Withdrawn"	"Appeal Refused"	"Appeal Granted"	"Planning Permission Granted"	"Secretary of State - Intervened"	"Secretary of State - Refusal"	"Secretary of State - Granted"	"Planning Permission Expired"	"Under Construction"	"Operational"	"Sites"
"AA110"	2	2017-11-20	"Orsted (formerly Dong Energy) / Peel Energy"	"Hunterston - cofiring"	"Biomass (co-firing)"	NA	NA	170	"No"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"n/a"	"Planning Application Withdrawn"	"Application Withdrawn"	"Hunterston, Fairlie, West Kilbride, Ayrshire"	"Strathclyde"	"Scotland"	"Scotland"	NA	218740	652937	"Scottish Government (S36)"	NA	NA	NA	NA	NA	NA	2010-06-02	2012-06-27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
"A0186"	13	2011-05-05	"Northern Energy Developments"	"Forestry Commission Depot"	"Biomass (dedicated)"	NA	NA	5	"No"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"n/a"	"Planning Permission Refused"	"Application Refused"	"Invergarry, Highlands."	"Highland"	"Scotland"	"Scotland"	"PH35 4HG"	229288	801062	"Highland Council"	"09/00325/FULLO"	NA	NA	NA	NA	NA	2009-08-28	NA	2011-02-22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
"AA395"	20	2012-07-23	NA	"Chilton Bros Biomass Plant"	"Biomass (dedicated)"	NA	NA	2.5	"No"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"n/a"	"Planning Application Withdrawn"	"Application Withdrawn"	"19 Ladywell Avenue Girvan South Ayrshire"	"Strathclyde"	"Scotland"	"Scotland"	"KA26 9PF"	219921	600195	"South Ayrshire Council"	"10/01397/APP"	NA	NA	NA	NA	NA	2010-09-18	2011-07-21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
"EN00001"	28	2010-06-09	"Balcas"	"Invergordon Pellet Mill"	"Biomass (dedicated)"	NA	NA	5	"No"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"n/a"	"Operational"	"Operational"	"Invergordon, Ross-shire"	"Highland"	"Scotland"	"Scotland"	NA	271390	870450	"Highland Council"	"06/00944/FULRC"	NA	NA	NA	NA	NA	2006-04-15	NA	NA	NA	NA	NA	NA	2007-04-16	NA	NA	NA	NA	NA	2009-11-01	1
"EN00151"	34	2011-06-29	"Caledonian Paper"	"Caledonian Papermill"	"Biomass (dedicated)"	NA	NA	26.043	"No"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"n/a"	"Operational"	"Operational"	"Meadowhead Road, Shewalton, Irvine"	"Strathclyde"	"Scotland"	"Scotland"	"KA11 5AT"	233710	634940	"North Ayrshire Council"	"06/00479/PP"	NA	NA	NA	NA	NA	2006-05-05	NA	NA	NA	NA	NA	NA	2006-07-11	NA	NA	NA	NA	NA	2009-06-04	1
"EN00569"	41	2010-06-09	"Norbord"	"Cowie Biomass Facility"	"Biomass (dedicated)"	NA	NA	15	"No"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"n/a"	"Operational"	"Operational"	"Norbord Ltd, Station Road, Cowie, Stirlingshire"	"Stirling"	"Scotland"	"Scotland"	"FK7 7BW"	284085	688685	"Stirling Council"	"06/00005/DET"	NA	NA	NA	NA	NA	2006-01-06	NA	NA	NA	NA	NA	NA	2006-07-27	NA	NA	NA	NA	NA	2008-02-01	1
"S0026B2"	61	2006-06-16	"Border Biofuels"	"Burnside Farm Biomass Plant"	"Biomass (dedicated)"	NA	NA	2.5	"No"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"n/a"	"Abandoned"	"Abandoned"	"Glen Cloy, Brodick, Isle of Arran, North Ayrshire"	"Strathclyde"	"Scotland"	"Scotland"	NA	200700	635500	"North Ayrshire Council"	NA	NA	NA	NA	NA	NA	2001-06-26	NA	NA	NA	NA	NA	NA	2001-10-08	NA	NA	NA	NA	NA	NA	1
"S0030L1"	62	2011-06-29	"EPR Scotland"	"Westfield Biomass Power Station"	"Biomass (dedicated)"	NA	NA	12.5	"No"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"n/a"	"Operational"	"Operational"	"Westfield Development Centre, Fife"	"Fife"	"Scotland"	"Scotland"	NA	319000	695100	"Fife Council"	NA	NA	NA	NA	NA	NA	1994-03-03	NA	NA	NA	NA	NA	NA	1995-12-05	NA	NA	NA	NA	NA	2000-08-21	1
"B0799"	67	2018-11-21	"Forever Fuels"	"Upper Geiselittle Biomass Plant"	"Biomass (dedicated)"	NA	NA	1	"Yes"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"n/a"	"Abandoned"	"Abandoned"	"Upper Geiselittle Farm, Thurso, Highlands"	"Highland"	"Scotland"	"Scotland"	"KW14 8YH"	312487	965579	"Highland Council"	"12/00945/FUL"	NA	NA	NA	NA	NA	2012-03-09	NA	NA	NA	NA	NA	NA	2012-08-14	NA	NA	NA	NA	NA	NA	1
"H0077"	79	2014-02-20	"Northern Energy Developments"	"Dyemill Forestry Plantation"	"Biomass (dedicated)"	NA	NA	5	"Yes"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"n/a"	"Planning Application Withdrawn"	"Application Withdrawn"	"Dyemill Forestry Plantation Lamlash Brodick Isle Of Arran"	"Strathclyde"	"Scotland"	"Scotland"	"KA27 8NL"	203352	629538	"North Ayrshire Council"	"13/00313/PP"	NA	NA	NA	NA	NA	2013-05-22	2014-01-16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
"A0201"	91	2019-07-18	"Forth Energy"	"Rosyth"	"Biomass (dedicated)"	NA	NA	120	"Yes"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"n/a"	"Planning Permission Granted"	"Awaiting Construction"	"Rosyth Port"	"Fife"	"Scotland"	"Scotland"	"KY11"	310449	682063	"Scottish Government (S36)"	NA	NA	NA	NA	NA	NA	2010-11-09	NA	NA	NA	NA	NA	NA	2014-01-24	NA	NA	NA	2019-01-24	NA	NA	1
"A0202"	92	2019-11-29	"Grangemouth Renewable Energy"	"Forth Ports Ltd 2 (Grangemouth)"	"Biomass (dedicated)"	NA	NA	85	"Yes"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"n/a"	"Planning Permission Expired"	"Planning Permission Expired"	"Grangemouth Port"	"Falkirk"	"Scotland"	"Scotland"	"FK3 8UH"	293466	682661	"Scottish Government (S36)"	"EC00005229"	NA	NA	NA	NA	NA	2010-09-17	NA	NA	NA	NA	NA	NA	2013-06-03	NA	NA	NA	2018-06-03	NA	NA	1
"A0204"	93	2012-03-06	"Forth Ports"	"Forth Ports Ltd 4"	"Biomass (dedicated)"	NA	NA	120	"No"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"n/a"	"Planning Application Withdrawn"	"Application Withdrawn"	"Leith Docks"	"Lothian"	"Scotland"	"Scotland"	NA	326333	677112	"Scottish Government (S36)"	NA	NA	NA	NA	NA	NA	2011-01-28	2012-02-09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
