"Year"	"Onshore Wind"	"Offshore Wind"	"Shoreline wave / tidal"	"Solar photovoltaics"	"Small scale Hydro"	"Large scale Hydro"	"Landfill gas"	"Sewage sludge digestion"	"Energy from waste"	"Animal Biomass (non-AD)"	"Anaerobic Digestion"	"Plant Biomass"	"Total"
"2010"	2486.16	190	2.45	2.41	135.92	1321.1	108.55	8.16	10.5	12.5	4.49	87.09	4369.33
"2011"	2897.86	190	2.56	48.32	146.01	1339.1	112.8	9.45	10.5	12.5	14.28	86.06	4869.42
"2012"	3764.99	190	6.75	94.74	157.72	1339.1	114.85	9.45	17.7	12.5	15.08	92.91	5815.8
"2013"	4588.75	190	6.75	132.74	170.61	1339.1	115.33	6.85	17.5	12.5	16.61	103.01	6699.74
"2014"	5079.47	197.35	7.39	174.96	188.63	1339.1	116.33	6.85	17.5	12.5	26.13	173.63	7339.84
"2015"	5397.99	187.35	7.64	264.06	232.34	1339.1	116.33	6.95	17.5	12.5	29.17	177.29	7788.23
"2016"	6297.98	180	13.01	325.77	291.19	1335.6	116.33	7.25	17.5	12.5	32.87	196.09	8826.09
"2017"	7331.05	247	17.92	342.97	313.18	1335.5	115.83	7.25	17.5	12.5	50.65	220.62	10011.97
"2018"	7886.6	587.15	19.92	359.57	317.3	1335.5	115.86	7.25	17.5	12.5	52.13	258	10969.28
"2019"	8298.8	898.15	21.92	364.84	317.99	1335.5	115.86	7.25	69.34	12.5	53.15	258.22	11753.52
"2020"	8349.44	898.15	21.92	378.61	317.79	1335	115.86	7.25	69.34	12.5	53.73	258.24	11817.83
