Year,Onshore Wind,Offshore Wind,Hydro,Solar PV,Bioenergy and Waste,Wave and tidal,Total
2000,38.5,0,1319.9,0,32.6,0,1391
2001,43.5,0,1325.1,0,34.9,0,1403.5
2002,185.7,0,1303.8,0,48,0,1537.5
2003,307.8,0,1298.5,0,69,0.5,1675.8
2004,411.5,0,1307.6,0,82.7,0.5,1802.3
2005,746,0,1311.6,0,92.5,0.5,2150.6
2006,946,0,1330.6,0,100.5,0.5,2377.6
2007,1139.3,10,1338.53,0,162.8,0.5,2651.13
2008,1735.2,10,1442,0,166,1,3354.2
2009,2021.2,100,1450,0,225,1,3797.2
2010,2486.16,190,1457.02,2.41,231.29,2.45,4369.33
2011,2897.86,190,1485.11,48.32,245.59,2.56,4869.42
2012,3764.99,190,1496.82,94.74,262.49,6.75,5815.8
2013,4588.75,190,1509.71,132.74,271.8,6.75,6699.74
2014,5079.47,197.35,1527.73,174.96,352.94,7.39,7339.84
2015,5397.99,187.35,1571.4399999999998,264.06,359.74,7.64,7788.23
2016,6297.98,180,1626.79,325.77,382.53999999999996,13.01,8826.09
2017,7331.05,247,1648.68,342.97,424.35,17.92,10011.97
2018,7886.6,587.15,1652.8,359.57,463.24,19.92,10969.279999999999
2019,8298.8,898.15,1653.49,364.84,516.3199999999999,21.92,11753.519999999999
2020,8349.44,898.15,1652.79,378.61,516.9200000000001,21.92,11817.830000000002
