"Year"	"LACode"	"LAName"	"Onshore Wind"	"Offshore Wind"	"Hydro"	"Solar photovoltaics"	"Shoreline wave / tidal"	"Biomass and Energy from Waste"	"Total Renewable"
"2014"	"S12000033"	"Aberdeen City"	0.937	0	0.62	4.347	0	4.385	10.289
"2014"	"S12000034"	"Aberdeenshire"	419.956	0	0.315	17.404	0	6.849	444.525
"2014"	"S12000041"	"Angus"	14.706	0	1.189	8.644	0	3.783	28.321
"2014"	"S12000035"	"Argyll & Bute"	240.315	0	279.751	4.242	0.5	0	524.808
"2014"	"S12000005"	"Clackmannanshire"	30.111	0	0.163	2.048	0	0	32.322
"2014"	"S12000006"	"Dumfries & Galloway"	336.401	180	150.813	10.812	0	56.267	734.293
"2014"	"S12000042"	"Dundee City"	0.106	0	0.35	2.508	0	10.5	13.464
"2014"	"S12000008"	"East Ayrshire"	232.818	0	0.053	3.634	0	5.877	242.382
"2014"	"S12000045"	"East Dunbartonshire"	0.011	0	0	2.132	0	0	2.143
"2014"	"S12000010"	"East Lothian"	50.073	0	0.029	3.873	0	7	60.976
"2014"	"S12000011"	"East Renfrewshire"	370.343	0	0	1.31	0	0	371.653
"2014"	"S12000036"	"Edinburgh City of"	4.136	0	0.013	0.853	0	6.629	11.631
"2014"	"S12000013"	"Eilean Siar"	29.736	0	2.195	4.071	0	0.736	36.738
"2014"	"S12000014"	"Falkirk"	0.397	0	0	3.091	0	12.08	15.567
"2014"	"S12000047"	"Fife"	59.176	7.35	1.24	11.859	0	95.579	175.204
"2014"	"S12000049"	"Glasgow City"	3.208	0	0	5.94	0	13.214	22.362
"2014"	"S12000017"	"Highland"	842.789	0	726.824	12.952	0	13.866	1596.431
"2014"	"S12000018"	"Inverclyde"	1.028	0	0.077	0.979	0	0	2.085
"2014"	"S12000019"	"Midlothian"	32.909	0	0.394	2.701	0	4.93	40.934
"2014"	"S12000020"	"Moray"	281.431	10	0.122	5.4	0	9.764	306.717
"2014"	"S12000021"	"North Ayrshire"	115.831	0	0.381	3.837	0	31.139	151.188
"2014"	"S12000050"	"North Lanarkshire"	14.885	0	0	5.692	0	31.523	52.1
"2014"	"S12000023"	"Orkney Islands"	50.045	0	0	1.301	6.888	0	58.234
"2014"	"S12000048"	"Perth & Kinross"	264.129	0	264.59	8.584	0	4.457	541.76
"2014"	"S12000038"	"Renfrewshire"	0.014	0	0	3.558	0	0	3.572
"2014"	"S12000026"	"Scottish Borders"	546.654	0	0.583	9.599	0	1	557.836
"2014"	"S12000027"	"Shetland Islands"	5.696	0	0.019	0.167	0	0	5.882
"2014"	"S12000028"	"South Ayrshire"	297.204	0	0.801	3.478	0	15.138	316.621
"2014"	"S12000029"	"South Lanarkshire"	659.206	0	18.848	8.578	0	10.587	697.218
"2014"	"S12000030"	"Stirling"	134.068	0	69.531	5.664	0	1.1	210.362
"2014"	"S12000039"	"West Dunbartonshire"	0.012	0	0	2.443	0	5.154	7.609
"2014"	"S12000040"	"West Lothian"	15.107	0	0	4.871	0	1	20.978
"2015"	"S12000033"	"Aberdeen City"	1.437	0	0.62	6.542	0	4.385	12.984
"2015"	"S12000034"	"Aberdeenshire"	515.557	0	0.353	30.486	0	6.849	553.245
"2015"	"S12000041"	"Angus"	16.684	0	1.335	16.609	0	3.783	38.41
"2015"	"S12000035"	"Argyll & Bute"	248.077	0	288.653	5.85	0.5	0	543.08
"2015"	"S12000005"	"Clackmannanshire"	30.111	0	0.06	2.494	0	0	32.665
"2015"	"S12000006"	"Dumfries & Galloway"	340.502	180	151.338	13.014	0	58.886	743.74
"2015"	"S12000042"	"Dundee City"	0.106	0	0.35	3.744	0	10.5	14.7
"2015"	"S12000008"	"East Ayrshire"	233.445	0	0.053	4.686	0	5.877	244.061
"2015"	"S12000045"	"East Dunbartonshire"	0.011	0	0	2.597	0	0	2.608
"2015"	"S12000010"	"East Lothian"	50.37	0	0.029	6.425	0	7	63.823
"2015"	"S12000011"	"East Renfrewshire"	359.825	0	0	1.614	0	0	361.44
"2015"	"S12000036"	"Edinburgh City of"	0.098	0	0.25	6.399	0	7.128	13.875
"2015"	"S12000013"	"Eilean Siar"	47.684	0	5.528	1.159	0	0.237	54.608
"2015"	"S12000014"	"Falkirk"	13.102	0	0.777	4.397	0	12.08	30.356
"2015"	"S12000047"	"Fife"	70.373	7.35	1.05	16.24	0	95.579	190.593
"2015"	"S12000049"	"Glasgow City"	3.053	0	0	8.945	0	13.214	25.212
"2015"	"S12000017"	"Highland"	963.121	0	747.699	15.78	0	18.444	1745.044
"2015"	"S12000018"	"Inverclyde"	1.724	0	0.077	1.679	0	0	3.479
"2015"	"S12000019"	"Midlothian"	33.356	0	0.394	3.831	0	6.417	43.998
"2015"	"S12000020"	"Moray"	281.831	0	0.122	7.111	0	10.463	299.527
"2015"	"S12000021"	"North Ayrshire"	115.848	0	1.094	5.972	0	32.149	155.063
"2015"	"S12000050"	"North Lanarkshire"	24.85	0	0	8.253	0	31.523	64.626
"2015"	"S12000023"	"Orkney Islands"	50.472	0	0.011	1.36	7.138	0	58.981
"2015"	"S12000048"	"Perth & Kinross"	266.833	0	270.942	12.231	0	4.457	554.463
"2015"	"S12000038"	"Renfrewshire"	0.014	0	0	5.468	0	0	5.482
"2015"	"S12000026"	"Scottish Borders"	561.951	0	0.603	13.8	0	1.433	577.786
"2015"	"S12000027"	"Shetland Islands"	8.96	0	0.019	0.193	0	0	9.171
"2015"	"S12000028"	"South Ayrshire"	297.799	0	0.897	4.329	0	15.138	318.163
"2015"	"S12000029"	"South Lanarkshire"	694.673	0	18.913	11.395	0	10.587	735.568
"2015"	"S12000030"	"Stirling"	135.58	0	73.714	8.002	0	1.7	218.995
"2015"	"S12000039"	"West Dunbartonshire"	0	0	0.698	2.882	0	5.154	8.734
"2015"	"S12000040"	"West Lothian"	22.26	0	0	6.618	0	1	29.878
"2016"	"S12000033"	"Aberdeen City"	1.437	0	0.72	7.022	0	4.385	13.564
"2016"	"S12000034"	"Aberdeenshire"	512.99	0	0.453	35.439	0	9.17	558.052
"2016"	"S12000041"	"Angus"	18.359	0	1.776	27.524	0	4.332	51.991
"2016"	"S12000035"	"Argyll & Bute"	311.668	0	294.411	6.082	0.169	0	612.33
"2016"	"S12000005"	"Clackmannanshire"	42.111	0	0.06	7.342	0	0	49.513
"2016"	"S12000006"	"Dumfries & Galloway"	382.094	180	152.465	13.63	0	58.926	787.116
"2016"	"S12000042"	"Dundee City"	0.1	0	0.171	3.844	0	10.5	14.615
"2016"	"S12000008"	"East Ayrshire"	303.945	0	0.493	4.809	0	5.86	315.107
"2016"	"S12000045"	"East Dunbartonshire"	0.011	0	0	2.641	0	0.998	3.65
"2016"	"S12000010"	"East Lothian"	64.181	0	0.029	6.863	0	7	78.073
"2016"	"S12000011"	"East Renfrewshire"	359.825	0	0	1.769	0	0	361.594
"2016"	"S12000036"	"Edinburgh City of"	0.098	0	0.25	8.08	0	7.262	15.689
"2016"	"S12000013"	"Eilean Siar"	44.224	0	6.099	1.191	0	0.237	51.75
"2016"	"S12000014"	"Falkirk"	41.102	0	0.777	4.492	0	12.08	58.45
"2016"	"S12000047"	"Fife"	96.514	7.35	1.05	22.136	0	102.329	229.379
"2016"	"S12000049"	"Glasgow City"	3.053	0	0	9.443	0	13.214	25.71
"2016"	"S12000017"	"Highland"	1187.625	0	776.2	16.416	5.7	19.781	2005.721
"2016"	"S12000018"	"Inverclyde"	2.224	0	0.077	1.758	0	0	4.059
"2016"	"S12000019"	"Midlothian"	33.456	0	0.394	4.15	0	6.417	44.417
"2016"	"S12000020"	"Moray"	342.256	0	0.125	7.57	0	28.094	378.045
"2016"	"S12000021"	"North Ayrshire"	125.948	0	2.549	6.265	0	32.075	166.837
"2016"	"S12000050"	"North Lanarkshire"	24.85	0	0	8.541	0	31.56	64.951
"2016"	"S12000023"	"Orkney Islands"	51.225	0	0.011	1.363	7.138	0	59.737
"2016"	"S12000048"	"Perth & Kinross"	267.424	0	277.179	26.062	0	6.017	576.682
"2016"	"S12000038"	"Renfrewshire"	0.014	0	0	5.749	0	0.11	5.873
"2016"	"S12000026"	"Scottish Borders"	591.853	0	0.603	14.468	0	1.653	608.577
"2016"	"S12000027"	"Shetland Islands"	9.15	0	0.019	0.201	0	0	9.369
"2016"	"S12000028"	"South Ayrshire"	409.61	0	0.897	4.413	0	11.076	425.996
"2016"	"S12000029"	"South Lanarkshire"	804.754	0	18.913	11.747	0	10.636	846.05
