"Year"	"LA"	"Advanced Conversion Technologies"	"Anaerobic Digestion"	"Biomass (dedicated)"	"EfW Incineration"	"Landfill Gas"	"Large Hydro"	"Shoreline wave / tidal"	"Small Hydro"	"Solar Photovoltaics"	"Wind Offshore"	"Wind Onshore"	"Total"
2000	"Aberdeen City"	0	0	0	0	0	0	0	0	0	0	0	0
2000	"Aberdeenshire"	0	0	0	0	0	0	0	0	0	0	0	0
2000	"Angus"	0	0	0	0	0	0	0	0	0	0	0	0
2000	"Argyll and Bute"	0	0	0	0	0	14	0	4.4	0	0	7.8	26.2
2000	"City of Edinburgh"	0	0	0	0	0	0	0	0	0	0	0	0
2000	"Clackmannanshire"	0	0	0	0	0	0	0	0	0	0	0	0
2000	"Comhairle nan Eilean Siar"	0	0	0	0	0	0	0	0	0	0	0	0
2000	"Dumfries and Galloway"	0	0	0	0	0	0	0	0	0	0	21.6	21.6
2000	"Dundee City"	0	0	0	8.3	0	0	0	0	0	0	0	8.3
2000	"East Ayrshire"	0	0	0	0	0	0	0	0	0	0	13.2	13.2
2000	"East Lothian"	0	0	0	0	0	0	0	0	0	0	0	0
2000	"East Renfrewshire"	0	0	0	0	0	0	0	0	0	0	0	0
2000	"Falkirk"	0	0	0	0	0	0	0	0	0	0	0	0
2000	"Fife"	0	0	12.5	0	0	0	0	0	0	0	0	12.5
2000	"Glasgow City"	0	0	0	0	6.7	0	0	0	0	0	0	6.7
2000	"Highland"	0	0	0	0	0	268.7	0	17.4	0	0	26	312.1
2000	"Midlothian"	0	0	0	0	0	0	0	0	0	0	17.2	17.2
2000	"Moray"	0	0	0	0	0	0	0	0	0	0	0	0
2000	"North Ayrshire"	0	0	0	0	0	0	0	0	0	0	0	0
2000	"North Lanarkshire"	0	0	0	0	7.8	0	0	0	0	0	0	7.8
2000	"Offshore"	0	0	0	0	0	0	0	0	0	0	0	0
2000	"Orkney Islands"	0	0	0	0	0	0	0	0	0	0	3.8	3.8
2000	"Perth and Kinross"	0	0	0	0	0	21.4	0	15.1	0	0	0	36.5
2000	"Scottish Borders"	0	0	0	0	0	0	0	0	0	0	0	0
2000	"Shetland Islands"	0	0	0	0	0	0	0	0	0	0	3.7	3.7
2000	"South Ayrshire"	0	0	0	0	0	0	0	0	0	0	0	0
2000	"South Lanarkshire"	0	0	0	0	0	0	0	0	0	0	15.6	15.6
2000	"Stirling"	0	0	0	0	0	0	0	0	0	0	0	0
2000	"West Dunbartonshire"	0	0	0	0	0	0	0	0	0	0	0	0
2000	"West Lothian"	0	0	0	0	0	0	0	0	0	0	0	0
2001	"Aberdeen City"	0	0	0	0	0	0	0	0	0	0	0	0
2001	"Aberdeenshire"	0	0	0	0	0	0	0	0	0	0	0	0
2001	"Angus"	0	0	0	0	0	0	0	0	0	0	0	0
2001	"Argyll and Bute"	0	0	0	0	0	14	0	4.4	0	0	68.6	87
2001	"City of Edinburgh"	0	0	0	0	0	0	0	0	0	0	0	0
2001	"Clackmannanshire"	0	0	0	0	0	0	0	0	0	0	0	0
2001	"Comhairle nan Eilean Siar"	0	0	0	0	0	0	0	0	0	0	0	0
2001	"Dumfries and Galloway"	0	0	0	0	0	0	0	0	0	0	21.6	21.6
2001	"Dundee City"	0	0	0	8.3	0	0	0	0	0	0	0	8.3
2001	"East Ayrshire"	0	0	0	0	0	0	0	0	0	0	13.2	13.2
2001	"East Lothian"	0	0	0	0	0	0	0	0	0	0	0	0
2001	"East Renfrewshire"	0	0	0	0	0	0	0	0	0	0	6.5	6.5
2001	"Falkirk"	0	0	0	0	0	0	0	0	0	0	0	0
2001	"Fife"	0	0	12.5	0	0	0	0	0	0	0	0	12.5
2001	"Glasgow City"	0	0	0	0	6.7	0	0	0	0	0	0	6.7
2001	"Highland"	0	0	0	0	0	268.7	0	17.4	0	0	26	312.1
2001	"Midlothian"	0	0	0	0	2.2	0	0	0	0	0	17.2	19.4
2001	"Moray"	0	0	0	0	0	0	0	0	0	0	0	0
2001	"North Ayrshire"	0	0	0	0	0	0	0	0	0	0	0	0
2001	"North Lanarkshire"	0	0	0	0	7.8	0	0	0	0	0	0	7.8
2001	"Offshore"	0	0	0	0	0	0	0	0	0	0	0	0
2001	"Orkney Islands"	0	0	0	0	0	0	0	0	0	0	3.8	3.8
2001	"Perth and Kinross"	0	0	0	0	0	21.4	0	15.1	0	0	0	36.5
2001	"Scottish Borders"	0	0	0	0	0	0	0	0	0	0	0	0
2001	"Shetland Islands"	0	0	0	0	0	0	0	0	0	0	3.7	3.7
2001	"South Ayrshire"	0	0	0	0	0	0	0	0	0	0	0	0
2001	"South Lanarkshire"	0	0	0	0	0	0	0	0	0	0	15.6	15.6
2001	"Stirling"	0	0	0	0	0	0	0	0	0	0	0	0
