"Year"	"Hydro"	"Landfill Gas"	"Other biofuels and co-firing"	"Sewage Gas"	"Solar PV"	"Total"	"Wave / tidal"	"Wind"
"2004"	4474.8	339.2	169.8	0	0	5832.2	0	848.4
"2005"	4612.2	395.4	197.2	0	0	6485.7	0	1280.9
"2006"	4224.9	424	283.749	0	0	6955.549	0	2022.9
"2007"	4692.94	486.5	179.75435	0	0	8003.19435	0	2644
"2008"	4704	494	478	20	0	9058	0	3362
"2009"	4859	526	616	26	0	10582	0	4555
"2010"	3258	529	727	32	1	9420	0	4873
"2011"	5329.64	525.39	712.84	35.62	8.69	13868.8	0.46	7256.16
"2012"	4846.58	552.84	868.35	37.06	69.95	14667.18	0.73	8291.67
"2013"	4369.47	562.9	778.13	30.64	95.92	16989.65	1.39	11151.2
"2014"	5483.6	533.03	1155.43	27.66	143.16	19045.04	2.14	11700.02
"2015"	5814.03	503.43	1333.96	26.18	185.23	21742.82	1.99	13878
"2016"	4915.78	492.81	1372.78	31.99	246.52	19475.59	0.01	12415.7
"2017"	5356.2	445.48	1968.85	35.96	289.57	25301.4	4.19	17201.15
"2018"	4997.29	422.05	1690.37	35.09	331.78	26596.98	9.3	19111.1
"2019"	5324.72	412.24	2019.54	28.64	351.96	30174.84	13.99	22023.75
"2020"	6186.74	406.79	1996.33	34.14	352.86	32063.23	11.28	23075.09
