"Year"	"Country"	"Electricity generated by major power producers"	"Electricity generated by other generators"	"Total generated"	"Own use by Other generators"	"Electricity supplied (net) by Other generators"	"Used in pumping at pumped storage and other own use by MPPs"	"Electricity supplied (net) by MPPs"	"Electricity transferred to England (net of receipts)"	"Electricity transferred to Northern Ireland (net of receipts)"	"Electricity transferred to Europe (net of receipts)"	"Transfers from other generators to public supply"	"Transmission losses"	"Distribution losses and theft"	"Consumption from public supply"	"Consumption by autogenerators"	"Total electricity consumption"	"Electricity sales (public supply)"	"Statistical difference"
2004	"UK total"	358313.197954313	35594.537785891	393907.735740204	1450.93882791282	34143.5989579782	19078.6180585522	339234.579895761	0	0	-7489.676	10077.5398826749	5713.01782280608	25014.7517171939	326101.244983308	24038.8403304306	350140.085313739	323713.9830109	2387.26197240816
2004	"Scotland"	44453.2311909338	5483.76794376095	49936.9991346947	223.534629968429	5260.23331379253	3800.1	40653.1311909338	5780.103	2793.1	0	1390.61194376095	560.102707570895	1928.99020745939	30985.6595956678	3865.42799402821	34851.087589696	30117	868.659595667828
2004	"Wales"	33020.3077288213	2401.91432866257	35422.2220574839	97.9091449856689	2304.0051836769	4176.59289592153	28843.7148328998	9777.11843289979	0	0	902.568816850718	320.559023755153	1145.83250101853	18504.6104090956	1399.59964980766	19904.2100589032	19066.5964	-561.985990904435
2004	"Northern Ireland"	7140.87039720827	271.6	7412.47039720827	11.0712207595325	260.528779240468	283.613328603158	6857.25706860511	0	-2793.1	1573.886	152.6	125.054712717684	484.7948135981	7619.41023177112	107.721089758675	7727.1313215298	7558.24554609791	61.1646856732141
2004	"England"	273698.788637349	27437.2555134674	301136.044150817	1118.42383219919	26318.8316812682	10818.3118340275	262880.476803322	-15557.2214328998	0	-9063.562	7631.75912206328	4707.30137876235	21455.1341951179	268991.564746774	18666.0915968359	287657.65634361	266972.141064802	2019.4236819715
2005	"UK total"	362212.168555698	36147.54864	398359.717195698	1608.37585459112	34539.1727854089	19971.7561736154	342240.376412082	0	0	-8320.886	8536.88278000888	6354.1571807586	21319.9397068458	331455.145192091	25971.1931177956	357426.338309887	331272.8558	182.289392090985
2005	"Scotland"	41847.6008207095	7389.80959085933	49237.4104115688	328.807671976177	7061.00191888315	3402.86969686	38444.7311238495	5627.925	1686.8	0	2014.11916512244	630.150855543763	1758.97397831226	30761.3109103804	5040.52519780981	35801.8361081902	30974.6267375587	-213.315827178318
2005	"Wales"	32254.0341046584	2399.20378867123	34653.2378933296	106.751953842653	2292.45183482857	4605.89843453489	27648.1356701235	8252.69693112346	0	0	981.483575587632	357.850194468171	1094.02717970864	18927.1089191138	1308.904280538	20236.0131996518	19362.863739	-435.754819886239
2005	"Northern Ireland"	9239.18809099725	381.047062787879	9620.23515378513	16.9545907899466	364.092471997932	324.69996289806	8914.48812809919	0	-1686.8	2073.023	271.3	146.724675901603	480.471778655792	8172.7434793856	92.4646661541246	8265.20814553973	7647.40484273137	525.33863665423
2005	"England"	278871.345539333	25977.4881976815	304848.833737014	1155.86163798234	24821.6265596992	11638.2880793224	267233.02149001	-13880.6219311235	0	-10393.909	5269.98003929881	5219.43145484506	17986.4667701691	273593.981883211	19529.2989732936	293123.280856505	273287.96048071	306.021402501385
2006	"UK total"	361232.065201047	36049.8794	397281.944601047	1472.18244073912	34588.0969592609	21949.3091331035	339282.756067944	0	0	-7516.73831099999	9928.72732107153	6292.89525708038	21117.6713787854	329344.574573947	24622.7331483924	353967.307722339	329230.58249426	113.992079686956
2006	"Scotland"	45527.5094849582	6722.58100583927	52250.0904907975	274.461549228347	6448.31945661093	4261.65215450257	41265.8573304557	10035.792	905.3	0	2855.85365095	606.498787807934	1712.27265564741	30866.3621948094	3587.50221369972	34453.8644085091	29955.8796003619	910.482594447487
2006	"Wales"	32203.1799432215	3432.77398061107	35635.9539238326	140.145047719229	3292.62893289184	5588.18791464096	26614.9920285805	7669.88096545136	0	0	1252.46325113191	366.922709934347	1069.1575833467	18764.0417015605	2037.62693684492	20801.6686384055	18945.1110631292	-181.06936156864
2006	"Northern Ireland"	9786.86857753821	459.168512366166	10246.0370899044	18.7458287204999	440.422683645666	350.021027528031	9436.84755001018	0	-905.3	1778.009	350.1	148.575606855321	482.502980965614	8283.52174043702	89.9831006342332	8373.50484107125	8085.69744392873	197.824296508292
2006	"England"	273714.507195329	25435.3559011835	299149.863096513	1038.83001507104	24406.7258861125	11749.448036432	261965.059158897	-17705.6729654514	0	-9294.74731099999	5470.31041898963	5170.89815248278	17853.7381588257	271430.64893714	18907.6208972136	290338.269834353	272243.89438684	-813.24544970016
2007	"UK total"	361317.210203988	35512.7401314347	396829.950335423	1604.67351173443	33908.0666197002	21161.0290107633	340156.181193225	0	0	-5215	12621.6647595342	7279.28972818148	20943.3009837392	329782.573472487	21274.083628517	351056.657101004	330244.740300124	-462.166827636829
2007	"Scotland"	42536.072559829	5543.53642679999	48079.608986629	250.489430905581	5293.04699589441	3748.90843661457	38787.1641232145	5634.082	1727.5	0	1668.311364	704.718817788752	1771.18069964692	30619.8733449387	3622.81275673446	34242.6861016732	29787.1779438882	832.695401050532
2007	"Wales"	29778.978739982	2909.13873643824	32688.1174764202	131.451919931992	2777.68681650624	5062.34241064596	24716.636329336	6007.80787692031	0	0	762.302453355722	412.378401384681	1054.31612888378	18005.4454625158	2014.37527613775	20019.8207386535	18708.8284524157	-703.382989899965
2007	"Northern Ireland"	8805.99716621078	289.36117	9095.35833621078	13.0750317521253	276.286138247875	257.752166210537	8548.24500000024	0	-1727.5	1328.714	181.739	177.018686734025	503.820664468149	8448.0745189162	94.4467681297395	8542.52128704594	8412.24340795521	35.8311109609913
2007	"England"	280196.161737966	26770.7037981965	306966.865536163	1209.65712914473	25561.0466690518	12092.0259972923	268104.135740674	-11641.8898769203	0	-6543.714	10009.3119421785	5985.17382227403	17613.9834907403	272709.180146116	15542.4488275151	288251.628973632	273336.490495865	-627.310349748353
2008	"UK total"	355238.985022252	33653.0179858293	388892.003008081	1678.69433190921	31974.3236539201	20033.3215327913	335205.66348946	0	0	-11022.1085580168	13731.4999631553	6545.63650039516	21304.5959588861	332122.698838934	18229.1644031818	350351.863242116	331870.108842128	252.589996805938
2008	"Scotland"	45147.4151039284	4890.93052025983	50038.3456241882	243.971501919357	4646.95901834047	2681.64115124039	42465.773952688	8444.341	544.9	0	1493.79803307983	659.812736836145	1925.00892055346	32387.500488418	3151.17582522082	35538.6763136388	30601.5262838234	1785.97420459465
2008	"Wales"	36560.133230256	1730.46267195	38290.595902206	86.3196840237669	1644.14298792623	5806.0737249624	30754.0595052936	12167.5518551477	0	0	626.298999507178	350.12981359073	1068.3609954085	17794.6124483665	1017.14161791256	18811.7540662791	18586.1018873521	-791.489438985558
2008	"Northern Ireland"	9233.780270336	387.280660420467	9621.06093075647	19.318500640259	367.962159780208	287.644330335999	8946.13594	0	-544.9	221.768816983176	231.058975	166.793788821676	532.619923583738	8801.06357739487	136.745992996747	8937.80957039162	8091.08368610031	709.979891294564
2008	"England"	264297.656417731	26644.3441331991	290942.00055093	1329.08464532583	25315.2594878732	11257.9623262525	253039.694091479	-20611.8928551477	0	-11243.877375	11380.3439555683	5368.90016114661	17778.6061193404	273139.522324755	13924.1009670517	287063.623291806	274591.396984853	-1451.87466009782
2009	"UK total"	342010.839355375	34707.405840096	376718.245195471	1818.91799911471	32888.4878409813	19593.4879423094	322417.351413065	0	0	-2860.8092699318	16615.8170425283	6851.50199464951	21217.209971148	313845.745180108	16252.191378073	330097.936558181	313784.257354703	61.487825404969
2009	"Scotland"	45284.3865268297	5712.82779416224	50997.2143209919	299.393315320616	5413.43447884163	3649.10851342988	41635.2780133998	10208.796	1936.7	0	2246.47782064517	667.676284878023	1796.2647407188	29275.6780144298	3163.58575221478	32439.2637666446	26101.3912579534	3174.28675647638
2009	"Wales"	30370.189187782	1770.91219222796	32141.10138001	92.8085514698383	1678.10364075812	4731.7022685981	25638.4869191839	8140.06763318451	0	0	730.897795958852	366.834783246939	1064.89887145071	16798.628340101	946.160901958892	17744.7892420599	17498.4192559994	-699.790915898418
2009	"Northern Ireland"	7628.14183349238	377.678014131928	8005.81984762431	19.7930476550005	357.884966476927	183.900920492574	7444.24091299981	0	-1936.7	366.894295068195	279.635514131927	179.27936163651	548.251860793072	8566.38546198009	78.0265999988663	8644.41206197896	8605.48632269788	-39.1008607177901
2009	"England"	258728.12180727	26845.9878395739	285574.109646844	1406.92308466925	25439.0647549046	11028.7762397889	247699.345567482	-18348.8636331845	0	-3227.703565	13358.8059117923	5637.71156488804	17807.7944981854	259205.053363597	12064.4181239005	271269.471487497	261578.960518052	-2373.90715445529
2010	"UK total"	347607.466795972	34460.7783650654	382068.245161038	1719.65	32741.1283650653	18614.5753072851	328992.891488687	0	0	-2661.50361850001	15134.25	5975.15	21061.38	319752.115107187	17606.8783650653	337358.993472253	319919.497854714	-167.382747526914
2010	"Scotland"	44459.1490491941	5073.26504018263	49532.4140893768	184.367740908558	4888.89729927407	3338.35815556953	41120.7908936246	7998.034	2297.4429	0	2259.84251753783	555.354844157814	2015.26990535028	30514.5317616544	2629.05478173624	33143.5865433906	30611.6757857927	-97.1440241383279
2010	"Wales"	30586.1456217864	2247.61219945688	32833.7578212432	110.913267508488	2136.69893194839	4375.86490243324	26210.2807193531	8473.28408944114	0	0	987.66711550918	319.553176368932	1135.39842472532	17269.7121443269	1149.03181643921	18418.7439607661	17246.4902575234	23.2218868034979
2010	"Northern Ireland"	7107.20281041811	496.495058582338	7603.69786900044	14.2609885436435	482.234070038694	185.924016089072	6921.27879432903	0	-2297.4429	233.7127265	222.907741392026	161.875666736672	561.696957191521	8484.34408529287	259.326328646668	8743.67041393954	8532.10038901688	-47.756303724007
2010	"England"	265454.969314574	26643.4060668435	292098.375381417	1410.10800303931	25233.2980638042	10714.4282331933	254740.54108138	-16471.3180894411	0	-2895.21634500001	11663.832625561	4938.36631273658	17349.0147127329	263483.527115913	13569.4654382432	277052.992554156	263529.231422381	-45.7043064680765
2011	"UK total"	332539.030416496	35443.0163668331	367982.046783329	1972.66	33470.3563668331	18321.8582405327	314217.172175963	0	0	-6223.1009295	15574.4	6469.58	21670.71	307874.383105463	17895.9563668331	325770.339472296	308032.901715708	-158.518610245086
2011	"Scotland"	45363.5846472735	5506.87744985031	50870.4620971238	187.150275280769	5319.72717456955	2989.72193139818	42373.8627158753	11597.161	1769.0733	0	2475.37128077059	585.654140249138	2065.67686247188	28831.6686939249	2844.35589379895	31676.0245877239	29362.048495606	-530.379801681094
2011	"Wales"	28371.8642431803	2560.08797866303	30931.9522218433	134.972890105318	2425.11508855771	4211.08789123387	24160.7763519464	6919.83239212053	0	0	1128.45265288721	348.088787787608	1183.03388011474	16838.2739448108	1296.6624356705	18134.9363804813	16815.9435521523	22.3303926584922
2011	"Northern Ireland"	7295.30313719856	710.336750214074	8005.63988741263	17.49098647049	692.845763743584	168.166239907829	7127.13689729073	0	-1769.0733	245.0920125	322.394447928284	174.663130334862	577.494310344312	8221.35519203984	370.451315815301	8591.80650785514	8208.64882321207	12.7063688277703
2011	"England"	251508.278388843	26665.7141881057	278173.992576949	1633.04584814342	25032.6683399623	10952.8821779928	240555.39621085	-18516.9933921205	0	-6468.192942	11648.1816184139	5361.17394162839	17844.5049470691	253983.085274687	13384.4867215484	267367.571996236	253646.260844738	336.824429949746
2012	"UK total"	328291.208213681	35582.4641075002	363873.672321181	2123.55	33458.9141075002	19837.5945051146	308453.613708567	0	0	-11863.935921	16369.83	6756.63	22160.27	307770.479629566	17089.0841075002	324859.563737067	308408.318915046	-637.844177996279
2012	"Scotland"	44988.4681961287	5344.57470381458	50333.0428999433	234.640070370629	5109.93463344395	3043.94823502965	41944.5199610991	10716.699	2162.37685000001	0	2500.04411356072	613.093013078694	2065.83451196143	28886.5606996196	2609.89051988323	31496.4512195029	28750.5770006732	135.983698946427
2012	"Wales"	33469.5382933247	2474.22080128448	35943.7590946092	145.158086657473	2329.06271462701	4303.98066379913	29165.5576295256	12056.1413763702	0	103.896555	1139.49785026754	358.706554452056	1195.72318411858	16590.5878098522	1189.56486435947	17780.1526742117	16641.0376446506	-50.4498347983972
2012	"Northern Ireland"	6551.79779435262	829.387053892511	7381.18484824513	24.4343789003582	804.952674992153	188.349376430457	6363.44841792216	0	-2162.37685000001	160.269067	393.824450050309	176.459167033474	572.029250422891	8010.89223351612	411.128224941844	8422.02045845796	7961.03023533367	49.861998182444
2012	"England"	243281.403929875	26934.2815485087	270215.685478384	1719.32746407154	25214.9540844371	12301.3162298553	230980.08770002	-22772.8403763702	0	-12128.101543	12336.4586936046	5608.37126543578	18326.6830534971	254282.433994062	12878.4953908325	267160.929384894	255055.674034388	-773.240040326753
2013	"UK total"	324622.514966639	33661.0197149611	358283.5346816	2191.06	31469.9597149611	19587.990881007	305034.524085632	0	0	-14430.8898865	13718.81	6351.04	21374.95	305458.233972132	17751.1497149611	323209.383687093	306747.484882055	-1289.25090992245
2013	"Scotland"	46882.382748228	6141.74810375234	53024.1308519803	280.562709207084	5861.18539454526	3142.6010258742	43739.7817223538	13274.64	1540.62576200001	0	2555.08712215842	575.025495125647	2012.32864962391	28892.2489377626	3306.09827238684	32198.3472101495	28878.5120914078	13.7368463548228
2013	"Wales"	36712.0417923548	2951.27554794306	39663.3173402978	176.515192223294	2774.76035571977	4765.1645724407	31946.877219914	14605.049803159	0	2161.25885	1209.61102144515	301.792913954104	1052.67858617563	15035.7080880704	1565.14933427462	16600.8574223451	15106.7190379302	-71.0109498597994
2013	"Northern Ireland"	6702.20072891614	1079.76829761353	7781.96902652967	31.3477768240932	1048.42052078944	195.345015479759	6506.85571343638	0	-1540.62576200001	45.2471875000001	457.041637647014	159.086110199362	542.880254203272	7757.30956118077	591.378883142427	8348.6884443232	7790.76220384067	-33.4526426599041
2013	"England"	234325.88969714	23488.2277656522	257814.117462793	1702.63432174553	21785.5934439066	11484.8802672123	222841.009429928	-27879.689803159	0	-16637.395924	9497.07021874941	5315.13548072089	17767.0625099972	253772.967385118	12288.5232251572	266061.490610276	254971.491548876	-1198.52416375757
2014	"UK total"	300821.919205137	37274.1899548922	338096.109160029	2522.36	34751.8299548922	17841.7038080547	282980.215397083	0	0	-20519.7883535	15084.15	6509.15	22141.5	289933.503750583	19667.6799548922	309601.183705475	291153.370434832	-1219.86668424995
2014	"Scotland"	43164.3708360576	6877.69914364171	50042.0699796993	332.279191518834	6545.41995212287	2758.35846787699	40406.0123681806	10769.9269	1044.03355000001	0	2841.06179441394	613.212363898917	2194.98187061814	28624.9194780774	3704.35815770893	32329.2776357864	28863.2825090362	-238.363030958742
2014	"Wales"	32286.5329568231	2981.70969383476	35268.2426506578	166.050609576675	2815.65908425809	4359.255377248	27927.2775795751	11135.9991754964	0	2408.289096	1222.14640296468	308.471280717408	1094.93937671301	14201.7250536129	1593.51268129341	15795.2377349064	14401.5572292692	-199.832175656282
2014	"Northern Ireland"	6660.63349983817	1219.58321817197	7880.21671801013	39.2362465712673	1180.3469716007	179.662455367159	6480.97104447101	0	-1044.03355000001	-120.8906785	512.333617964318	163.981148603079	565.625106192665	7428.62263613959	668.013353636381	8096.63598977597	7437.78226726078	-9.15963112119152
2014	"England"	218710.381912418	26195.1978992438	244905.579811662	1984.78395233322	24210.4139469105	10544.4275075625	208165.954404856	-21905.9260754964	0	-22807.186771	10508.6125251911	5423.4852067806	18285.9536464762	239678.240923287	13701.8014217195	253380.042345006	240450.748429266	-772.507505979796
2015	"UK total"	295990.675042916	42884.6454749655	338875.320517881	2833.83	40050.8154749654	17528.5485361372	278462.126506779	0	0	-21105.558818	19057.48	7234.22	20063.09	291327.860083104	20993.3354749654	312321.195558069	290038.631613719	1289.22846938506
2015	"Scotland"	43713.5089595098	7621.5941211895	51335.1030806993	343.129207395989	7278.46491379351	2836.07056872238	40877.4383907874	14598.072	191.469299999999	0	3463.33021888217	629.993140573582	1833.67084076166	27087.5633283343	3815.13469491134	30902.6980232456	26508.1491175987	579.414210735606
2015	"Wales"	34456.8706057344	3469.36438789405	37926.2349936285	206.051715336316	3263.31267255773	4430.16270677115	30026.7078989633	13372.4036225117	0	1065.313761	1552.79025541662	376.456448713502	1081.96679130085	15683.3575308538	1710.52241714111	17393.8799479949	15642.3839625803	40.9735682735591
2015	"Northern Ireland"	7066.14043297308	1694.60567881062	8760.7461117837	57.3997261685027	1637.20595264212	191.882285804428	6874.25814716865	0	-191.469299999999	-334.275889	779.035815584354	178.701691661233	515.084063553793	7485.25339653797	858.170137057768	8343.42353359574	7446.22473197596	39.0286645620181
2015	"England"	210754.155044698	30099.0812870713	240853.23633177	2227.23935109919	27871.8419359721	10070.4329748393	200683.722069859	-27970.4756225117	0	-21836.59669	13262.3284684419	6049.06871905168	16632.3683043837	241071.685827377	14609.5134675301	255681.199294908	240441.873801564	629.812025813881
2016	"UK total"	292943.425521298	46247.4856087875	339190.911130086	2922.4	43325.0856087875	16361.028729255	276582.396792043	0	0	-17745.057308	20399.73	6233.39	19854.84	288638.958808569	22925.3556087875	311564.314417357	288330.797869939	308.160938630034
2016	"Scotland"	38137.7320371847	7636.06590882996	45773.7979460146	339.876441848777	7296.18946698118	2623.74173641546	35513.9903007692	9639.148	-251.97215	0	3435.42991465137	553.324610601646	1902.12332570087	27106.7964291181	3860.75955232982	30967.5559814479	27770.7945841075	-663.998154989491
2016	"Wales"	39301.696108814	3512.70948333992	42814.4055921539	184.556277030211	3328.15320630971	4240.64832152666	35061.0477872873	18523.1090673798	0	-312.647781	1567.06965152728	356.868772945624	1168.43246563409	16892.3549138551	1761.08355478243	18653.4384686375	16970.3724970827	-78.0175832276109
2016	"Northern Ireland"	7357.61522526679	1817.44957766828	9175.06480293507	86.6530922587302	1730.79648540955	194.699860566142	7162.91536470065	0	251.97215	-398.602592	814.950057020599	154.8046201648	511.87293059298	7457.81831296347	915.84642838895	8373.66474135242	7312.21322053003	145.605092433435
2016	"England"	208146.382150033	33281.2606389494	241427.642788982	2311.30418886228	30969.9564500871	9301.93881074671	198844.443339286	-28162.2570673798	0	-17033.806935	14582.2850853269	5168.39199628793	16272.4112780721	237181.989152633	16387.6713647601	253569.660517393	236277.417568219	904.571584413701
2017	"UK total"	287744.659649555	50427.7539751334	338172.413624688	3760.03	46667.7239751334	15519.9054547207	272224.754194834	0	0	-14759.9309418269	21544.05	6497.24	20020.67	282010.820520183	25123.6739751334	307134.494495317	281641.255997243	369.564522940381
2017	"Scotland"	39936.7945929441	8566.14393158256	48502.9385245266	473.870909664866	8092.2730219177	2478.00234722818	37458.7922457159	13012.988	-144.7795	0	3735.77967270789	556.722823937218	1785.1032443399	25984.5373501467	4356.49334920981	30341.0306993565	24899.1288261772	1085.40852396947
2017	"Wales"	31342.685773128	3972.01247234844	35314.6982454764	264.092720522991	3707.91975182545	3702.84818879241	27639.8375843356	11489.9211004905	0	-830.993	1711.7528288262	384.442271831613	1219.24292403477	17088.9771168049	1996.16692299925	19085.1440398042	17123.1640555928	-34.1869387878505
2017	"Northern Ireland"	7182.12715399779	2480.06441655743	9662.19157055522	122.750258835426	2357.314157722	162.975005217803	7019.15214877999	0	144.7795	110.09455817314	1088.24878853598	153.14105754628	528.33511492427	7171.05070667228	1269.06536918602	8440.1160758583	7389.05340677908	-218.002700106802
2017	"England"	209283.052129485	35409.533154645	244692.58528413	2899.32611097672	32510.2070436683	9176.0799134823	200106.972216003	-24502.9091004904	0	-14039.0325	15008.2640934524	5402.93384668489	16487.9887167011	231766.255346559	17501.9429502159	249268.198296775	232229.909708694	-463.654362134432
2018	"UK total"	281356.460663891	51536.3034600411	332892.764123932	4335.41	47200.8934600411	13580.0501696094	267776.410494282	0	0	-19107.65094	22244.67	6497.24	20165.71	282465.781434281	24956.2234600411	307422.004894323	281611.748923679	854.032510602526
2018	"Scotland"	39613.4714688758	8622.92382444725	48236.3952933231	648.93595762544	7973.98786682181	1880.54118539458	37732.9302834812	12810.192	706.766	0	3757.95277755958	548.434036288098	1930.1432443399	25495.3477804128	4216.03508926223	29711.382869675	23551.8804270706	1943.46735334224
2018	"Wales"	26829.985580831	3880.38288990952	30710.3684707405	330.569618587103	3549.81327132242	2407.44483558678	24422.5407452442	8251.97044245439	0	-503.672	1672.94343377285	377.631833283967	1219.24292403477	16750.3109792439	1876.86983754957	18627.1808167935	16759.6346281039	-9.32364885997231
2018	"Northern Ireland"	6278.74438625847	3087.09514038411	9365.83952664258	153.84499177273	2933.25014861138	140.464077781844	6138.28030847662	0	-706.766	471.07156	1382.37174765663	144.355331166695	528.33511492427	7083.65605004228	1550.87840095476	8634.53445099704	8033.99756060358	-950.341510561296
2018	"England"	208634.259227926	35945.9016053002	244580.160833226	3202.05943201473	32743.8421732855	9151.60007084624	199482.659157079	-21062.1624424544	0	-19075.0505	15431.4020410109	5426.81879926124	16487.9887167011	233136.466624582	17312.4401322745	250448.906756857	233266.236307901	-129.769683318445
2019	"UK total"	269192.082773345	55568.8561263818	324760.938899726	4985.19	50583.6661263818	12209.39	256982.692773345	0	0	-21170.4701	25299.78	7627.46	18784.6	277040.882873345	25283.8861263818	302324.768999726	276827.034347469	213.84852587528
2019	"Scotland"	40584.5972688722	9384.83431381419	49969.4315826864	846.66025967014	8538.17405414405	1721.88066863186	38862.7166002403	14872.938	980.645	0	4270.42841520914	630.951826531638	1535.18320019697	25113.4269887208	4267.74563893492	29381.1726276557	22623.8627647426	2489.5642239782
2019	"Wales"	24663.0605721475	3945.28437185657	28608.3449440041	376.084142216958	3569.20022963961	527.295482364653	24135.7650897829	7502.36674818289	0	-180.035	1785.16085331221	461.05458212645	1160.39166315382	16977.1479496319	1784.0393763274	18761	17100.5921229304	-123.444173298481
