"Quarter","Onshore Wind","Offshore Wind","Shoreline wave / tidal","Solar photovoltaics","Hydro","Landfill gas","Sewage sludge digestion","Other Biomass","Total","Wind"
2011 Q1,2201.56,998.07,0.09,15.22,1296.22,1312.56,189.32,1839.19,7852.22,3199.63
2011 Q2,2269.12,1128.61,0.1,65.56,1139.27,1301.87,197.59,1634.7,7736.8,3397.73
2011 Q3,1722.24,1098.45,0.12,104.77,1227.75,1304.25,190.27,1833.42,7481.26,2820.69
2011 Q4,3619.17,1923.9,0.17,56.98,2009.4,1340.1,197.19,1890.12,11037.04,5543.07
2012 Q1,3233.78,1507.04,0.3,177.92,1817.59,1293.94,190.88,2415.09,10636.54,4740.82
2012 Q2,2048.56,1649.95,0.16,437.09,791.77,1273.9,185.89,1522.48,7909.81,3698.51
2012 Q3,2405.29,1707.44,0.14,553.14,1047.21,1289.86,174.6,2051.3,9228.98,4112.73
2012 Q4,3514.32,2738.74,0.33,183.13,1628.15,1290.2,186.64,2747.79,12289.31,6253.06
2013 Q1,3628.96,2804.62,0.31,139.7,1245.09,1281.18,179.85,2648.92,11928.64,6433.58
2013 Q2,3560.19,2614.92,0.29,698,964.67,1276.44,204.16,3548.95,12867.62,6175.11
2013 Q3,2547.35,1965.32,0.3,854.7,741.34,1257.45,184.06,2982.62,10533.13,4512.67
2013 Q4,5843.69,4086.92,0.73,305.24,1728.78,1298.91,197.24,2905.67,16367.19,9930.61
2014 Q1,6153.89,4383.82,0.47,464.97,2231.77,1254.76,191.81,3084.54,17766.05,10537.71
2014 Q2,2792.91,2092.07,0.94,1456.9,1108.92,1246.88,224.6,3939.47,12862.69,4884.98
2014 Q3,2660.26,2242.1,0.22,1544.11,775.83,1223.15,208.16,4439.62,13093.44,4902.36
2014 Q4,5489.17,4686.6,0.57,542.4,1744.09,1246.81,214.88,5176.14,19100.66,10175.77
2015 Q1,6597.11,4675.27,0.57,927.11,2000.15,1222.69,224.62,5458.52,21106.04,11272.38
2015 Q2,4362.26,3577.58,0.47,3073.57,1419.85,1190.49,232.58,5534.1,19390.9,7939.84
2015 Q3,3482.02,3412.26,0.48,2667.14,1023.72,1178.07,216.46,5591.69,17571.85,6894.28
2015 Q4,6550.22,5757.63,0.48,786.86,1824.52,1197.77,220.06,6720.3,23057.84,12307.85
2016 Q1,5786.47,5148.29,0,1443.12,2070.34,1195.47,236.1,6988.27,22868.07,10934.76
2016 Q2,3638.94,3252.21,0,3826.64,928.74,1148.92,250.64,6197.41,19243.5,6891.15
2016 Q3,4211.28,3581.88,0,3699.05,1144.41,1134.05,228.7,4740.05,18739.43,7793.16
2016 Q4,5383.44,4423.36,0.01,1315.3,1203.31,1130.74,234.28,6111.44,19801.88,9806.8
2017 Q1,7060.64,5162.04,0.33,1583.21,1790.44,1069.05,245.75,7504.62,24416.08,12222.68
2017 Q2,5658.52,3991.54,0.1,4508.04,861.12,1032.16,246.72,6401.26,22699.46,9650.06
2017 Q3,5092.52,3959.23,2.44,3890.83,1256.32,1036.62,231.57,6351.22,21820.75,9051.75
2017 Q4,8408.31,7803.11,1.32,1289.71,1944.38,1039.76,242.67,5912.46,26641.72,16211.42
2018 Q1,8654.07,7927.02,3.14,1755.51,1550.72,984.97,242.82,6355.8,27474.05,16581.09
2018 Q2,4929.82,4727.01,3.11,4795.79,948.63,956.22,262.93,7242.62,23866.13,9656.83
2018 Q3,4991.75,5018,1.14,4388.7,888.51,938.51,227.85,7461.34,23915.8,10009.75
2018 Q4,8873.54,8853.17,1.91,1456.06,2025.22,956.14,257.8,8406.9,30830.74,17726.71
2019 Q1,8869.44,8600,3.16,1916.99,1835.41,912.51,262.97,7563.41,29963.89,17469.44
2019 Q2,5464.97,5936.17,3.92,4582.08,840.35,874.49,269.66,7742.24,25713.88,11401.14
2019 Q3,6186.5,7188.31,3.98,4431.62,1383.72,873.59,254.24,7713.3,28035.26,13374.81
2019 Q4,8299.47,10250.67,2.93,1356.11,1751.29,894.41,261.08,8931.63,31747.59,18550.14
2020 Q1,11676.22,13362,2.93,2140.2,2369.13,876.47,268.44,8988.57,39683.96,25038.22
2020 Q2,5532.38,7290.1,3.13,5363.52,1055.1,852.35,278.76,8559.08,28934.42,12822.48
2020 Q3,6064.06,8011.6,3.45,4154.78,1172.47,840.49,253.08,7846.01,28345.94,14075.66
2020 Q4,8151.86,12017.39,1.77,1207.15,2119.08,865.67,265.84,8603.32,33232.08,20169.25
2021 Q1,8996.61,11200.54,1.34,1688.66,1581,822.59,262.96,9100.23,33653.93,20197.15
2021 Q2,4794.22,6190.71,1.25,4718.86,983.66,810.46,277.38,8541.96,26318.5,10984.93
2021 Q3,3774.76,6066.62,0.85,4074.59,651.19,806.01,247.88,7994.75,23616.65,9841.38
