"Quarter","Onshore Wind","Offshore Wind","Shoreline wave / tidal","Solar photovoltaics","Hydro","Landfill gas","Sewage sludge digestion","Energy from Waste","Co-firing with fossil fuels","Animal Biomass","Anaerobic Digestion","Plant Biomass","Total"
2010 Q1,1757.35,670.86,0.55,5.74,844.91,1300.63,174.97,377.84,578.56,167.26,18.08,351.95,6248.68
2010 Q2,1198.51,460.44,0.62,11.16,653.63,1291.12,188.98,383,459.71,160.6,24.05,420.93,5252.75
2010 Q3,1933.71,825.67,0.63,14.52,855.88,1301.25,180.14,378.01,677.83,143.33,31.73,414.07,6756.78
2010 Q4,2336.4,1102.7,0.09,8.86,1236.95,1323.86,179.37,389.91,716.34,156.02,43.63,427.92,7922.05
2011 Q1,2396.57,998.07,0.19,15.34,1303.67,1327.38,189.48,377.5,828.47,158.89,47.15,432.76,8075.46
2011 Q2,2492.24,1128.61,0.32,66.05,1141.57,1316.82,197.75,368.41,598.95,153.9,52.29,466.89,7983.78
2011 Q3,1914.76,1098.45,0.18,105.16,1231.31,1318.34,190.42,377.34,792.04,154.12,59.88,456.02,7698.03
2011 Q4,4010.38,1923.9,0.25,57.11,2015.19,1355.48,197.35,380.78,873.58,147.7,77.86,415.33,11454.9
2012 Q1,3565.23,1507.04,0.96,178.23,1825.23,1308.54,191.02,423.24,658.4,177.76,97.83,1068.86,11002.34
2012 Q2,2241.98,1649.95,0.86,437.84,795.59,1289.46,186.03,431.17,401.66,141.4,116.6,441.52,8134.07
2012 Q3,2647.5,1707.44,1.21,554.1,1053.62,1305.31,174.72,465.35,421.44,143.72,129.81,904.07,9508.3
2012 Q4,3789.24,2738.74,1.18,183.59,1635.2,1305.19,186.77,453.14,347,180.01,150.39,1633.37,12603.83
2013 Q1,3974.46,2804.62,1.27,140.23,1253.02,1295.88,180.01,414.82,126.31,165.87,159.56,1797.2,12313.25
2013 Q2,3873.58,2614.92,1.12,701.04,969.11,1292.41,204.34,401.33,68.61,167.25,167.44,2760.65,13221.8
2013 Q3,2768.53,1965.32,1,859.57,743.05,1272.48,184.22,418.87,70.33,144.21,181.1,2188.39,10797.07
2013 Q4,6308.81,4086.92,1.37,309.42,1736.3,1313.88,197.41,413.15,72.01,150.91,204.95,2086.52,16881.65
2014 Q1,6666.15,4383.82,0.47,470.45,2243.47,1268.69,191.98,468.81,33.04,158.95,228.77,2218.4,18333
2014 Q2,3036.41,2092.07,0.94,1472.92,1113.27,1261.99,224.78,465.59,37.1,160.87,243.77,3055.2,13164.91
2014 Q3,2884.04,2242.1,0.22,1561.84,778.6,1238.55,208.33,485.21,28.22,131.99,258.83,3563.48,13381.41
2014 Q4,5968.05,4686.6,0.59,548.86,1752.46,1263.98,215.05,480.26,25.48,162.09,291.19,4248.4,19643.01
2015 Q1,7160.87,4675.27,0.57,937.53,2010.55,1239.76,224.79,608.51,35.75,169.76,329.21,4352.01,21744.58
2015 Q2,4757.43,3577.58,0.47,3104.26,1425.33,1211.62,232.75,603.39,35.66,171.09,352.42,4411.04,19883.04
2015 Q3,3809.02,3412.26,0.48,2695.23,1028.44,1200.67,216.62,684.91,56.99,141.84,374.13,4384.23,18004.82
2015 Q4,7124.67,5757.63,0.48,795.84,1832.95,1220.13,220.21,685.62,54.91,165.12,428.91,5444.92,23731.39
2016 Q1,6324.27,5148.29,0,1457.2,2081.56,1217.93,236.25,727.83,51,171.32,508.11,5615.82,23539.58
2016 Q2,3957.09,3252.21,0,3868.22,932.57,1170.8,250.79,625.37,14.99,165.11,518.47,4962.24,19717.86
2016 Q3,4599.31,3581.88,0,3739.22,1147.99,1158.17,228.84,677.1,4.77,140.5,550.82,3462.42,19291.02
2016 Q4,5873.01,4423.36,0.01,1330.49,1208.27,1155.96,234.42,709.45,46.7,173.27,580.39,4706.7,20442.03
2017 Q1,7745.42,5162.04,0.33,1605.77,1798.44,1095.8,245.91,844.66,51.41,174.25,647.21,5906.57,25277.81
