"Year"	"Onshore Wind"	"Offshore Wind"	"Hydro"	"Solar PV"	"Landfill gas"	"Wave and tidal"	"Sewage gas"	"Other Bioenergy"	"Total"
2003	53	0	163	19	22	2	0	12	271
2004	64	0	183	26	29	2	0	14	318
2005	106	0	188	31	32	2	0	14	373
2006	152	0	191	9	31	2	0	14	399
2007	256	0	195	54	36	2	5	12	560
2008	129	0	165	74	37	2	7	10	424
2009	458	0	231	118	39	2	8	14	870
2010	650	0	245	688	40	3	8	17	1651
2011	1089	0	279	13792	42	4	8	19	15233
2012	2212	0	333	25093	44	9	8	20	27719
2013	2448	0	370	33207	45	9	7	28	36114
2014	2898	0	427	40978	46	9	7	40	44405
2015	3202	0	562	51347	46	10	8	60	55235
2016	3419	3	678	54214	46	11	8	85	58464
2017	3468	5	738	56126	49	15	8	118	60527
2018	3490	8	754	59431	49	17	8	131	63888
2019	3520	9	756	61177	49	17	8	135	65671
