"Local Authority"	"LACode"	"variable"	"value"
"Aberdeen City"	"S12000033"	"Output (GWh)"	18
"Aberdeenshire"	"S12000034"	"Output (GWh)"	361
"Angus"	"S12000041"	"Output (GWh)"	168
"Argyll & Bute"	"S12000035"	"Output (GWh)"	62
"Clackmannanshire"	"S12000005"	"Output (GWh)"	0
"Dumfries & Galloway"	"S12000006"	"Output (GWh)"	293
"Dundee City"	"S12000042"	"Output (GWh)"	0
"East Ayrshire"	"S12000008"	"Output (GWh)"	163
"East Dunbartonshire"	"S12000045"	"Output (GWh)"	65
"East Lothian"	"S12000010"	"Output (GWh)"	64
"East Renfrewshire"	"S12000011"	"Output (GWh)"	0
"Edinburgh, City of"	"S12000036"	"Output (GWh)"	55
"Eilean Siar"	"S12000013"	"Output (GWh)"	31
"Falkirk"	"S12000014"	"Output (GWh)"	0
"Fife"	"S12000047"	"Output (GWh)"	217
"Glasgow City"	"S12000049"	"Output (GWh)"	32
"Highland"	"S12000017"	"Output (GWh)"	996
"Inverclyde"	"S12000018"	"Output (GWh)"	15
"Midlothian"	"S12000019"	"Output (GWh)"	26
"Moray"	"S12000020"	"Output (GWh)"	358
"North Ayrshire"	"S12000021"	"Output (GWh)"	368
"North Lanarkshire"	"S12000050"	"Output (GWh)"	70
"Orkney Islands"	"S12000023"	"Output (GWh)"	17
"Perth & Kinross"	"S12000048"	"Output (GWh)"	215
"Renfrewshire"	"S12000038"	"Output (GWh)"	29
"Scottish Borders"	"S12000026"	"Output (GWh)"	142
"Shetland Islands"	"S12000027"	"Output (GWh)"	37
"South Ayrshire"	"S12000028"	"Output (GWh)"	503
"South Lanarkshire"	"S12000029"	"Output (GWh)"	106
"Stirling"	"S12000030"	"Output (GWh)"	574
"West Dunbartonshire"	"S12000039"	"Output (GWh)"	0
"West Lothian"	"S12000040"	"Output (GWh)"	42
"Unknown"	NA	"Output (GWh)"	138
"TOTAL"	"S92000003"	"Output (GWh)"	5205
"Aberdeen City"	"S12000033"	"Output (%)"	0.0035
"Aberdeenshire"	"S12000034"	"Output (%)"	0.0694
"Angus"	"S12000041"	"Output (%)"	0.0323
"Argyll & Bute"	"S12000035"	"Output (%)"	0.0119
"Clackmannanshire"	"S12000005"	"Output (%)"	0
"Dumfries & Galloway"	"S12000006"	"Output (%)"	0.0562
"Dundee City"	"S12000042"	"Output (%)"	0
"East Ayrshire"	"S12000008"	"Output (%)"	0.0313
"East Dunbartonshire"	"S12000045"	"Output (%)"	0.0126
"East Lothian"	"S12000010"	"Output (%)"	0.0122
"East Renfrewshire"	"S12000011"	"Output (%)"	0.0014
"Edinburgh, City of"	"S12000036"	"Output (%)"	0.0107
"Eilean Siar"	"S12000013"	"Output (%)"	0.006
"Falkirk"	"S12000014"	"Output (%)"	0
"Fife"	"S12000047"	"Output (%)"	0.0417
"Glasgow City"	"S12000049"	"Output (%)"	0.0062
"Highland"	"S12000017"	"Output (%)"	0.1914
"Inverclyde"	"S12000018"	"Output (%)"	0.0029
"Midlothian"	"S12000019"	"Output (%)"	0.005
"Moray"	"S12000020"	"Output (%)"	0.0688
"North Ayrshire"	"S12000021"	"Output (%)"	0.0707
"North Lanarkshire"	"S12000050"	"Output (%)"	0.0134
"Orkney Islands"	"S12000023"	"Output (%)"	0.0032
"Perth & Kinross"	"S12000048"	"Output (%)"	0.0412
