"LACode"	"Local Authority Name"	"Photovoltaics"	"Onshore Wind"	"Hydro"	"Anaerobic Digestion"	"Offshore Wind"	"Wave/Tidal"	"Sewage Gas"	"Landfill Gas"	"Municipal Solid Waste"	"Animal Biomass"	"Plant Biomass"	"Cofiring"	"Total"	"Year"
"S12000033"	"Aberdeen City"	778	7	1	0	0	0	1	2	0	0	0	0	789	2014
"S12000034"	"Aberdeenshire"	3974	462	9	2	0	0	0	2	0	0	1	0	4450	2014
"S12000041"	"Angus"	1495	75	8	1	0	0	1	3	0	0	0	0	1583	2014
"S12000035"	"Argyll & Bute"	1128	89	68	0	0	1	0	0	0	0	0	0	1286	2014
"S12000005"	"Clackmannanshire"	450	2	1	0	0	0	0	0	0	0	0	0	453	2014
"S12000006"	"Dumfries & Galloway"	2415	265	64	4	2	0	0	1	1	0	9	0	2761	2014
"S12000042"	"Dundee City"	509	4	1	0	0	0	0	0	1	0	0	0	515	2014
"S12000008"	"East Ayrshire"	973	57	2	0	0	0	1	2	0	0	0	0	1035	2014
"S12000045"	"East Dunbartonshire"	569	1	0	0	0	0	0	0	0	0	0	0	570	2014
"S12000010"	"East Lothian"	756	38	1	0	0	0	0	1	0	0	0	0	796	2014
"S12000011"	"East Renfrewshire"	377	22	0	0	0	0	0	0	0	0	0	0	399	2014
"S12000036"	"Edinburgh City of"	229	148	2	0	0	0	3	1	0	0	0	0	383	2014
"S12000013"	"Eilean Siar"	1207	9	4	2	0	0	0	0	0	0	0	0	1222	2014
"S12000014"	"Falkirk"	824	9	0	0	0	0	0	2	0	0	0	0	835	2014
"S12000015"	"Fife"	3265	82	3	2	1	0	0	4	0	1	2	0	3360	2014
"S12000046"	"Glasgow City"	2084	6	0	0	0	0	0	4	0	0	0	0	2094	2014
"S12000017"	"Highland"	3399	220	149	0	0	0	1	0	0	0	2	0	3771	2014
"S12000018"	"Inverclyde"	259	12	2	0	0	0	0	0	0	0	0	0	273	2014
"S12000019"	"Midlothian"	470	10	2	0	0	0	0	3	0	0	0	0	485	2014
"S12000020"	"Moray"	1295	64	3	0	1	0	0	1	0	0	1	0	1365	2014
"S12000021"	"North Ayrshire"	979	29	3	1	0	0	0	2	0	0	1	0	1015	2014
