"Local Authority"	"LA Code"	"2010"	"2011"	"2012"	"2013"	"2014"	"2015"	"2016"	"2017"	"2018"
"Aberdeen City"	"S12000033"	17375	16966	16559	16261	15863	15378	14828	14278	13561
"Aberdeenshire"	"S12000034"	19963	19607	19244	18774	18050	17341	16793	16267	15700
"Angus"	"S12000041"	11727	11585	11384	11139	10853	10408	9966	9540	9072
"Argyll and Bute"	"S12000035"	17786	17731	17649	17407	17222	16909	16573	16201	15817
"City of Edinburgh"	"S12000036"	42642	41886	41410	40873	40592	39930	38945	37961	36925
"Clackmannanshire"	"S12000005"	2985	2934	2870	2663	2624	2550	2417	2304	2194
"Dumfries and Galloway"	"S12000006"	21278	20712	20312	19898	19691	19137	18514	17878	17260
"Dundee City"	"S12000042"	18664	18072	16968	16204	15398	14694	13892	13222	12584
"East Ayrshire"	"S12000008"	4051	3956	3840	3729	3652	3485	3361	3181	3014
"East Dunbartonshire"	"S12000045"	4463	4385	4324	4270	4222	4162	4066	3912	3806
"East Lothian"	"S12000010"	7503	7438	7324	7217	7151	6989	6840	6649	6472
"East Renfrewshire"	"S12000011"	4860	4756	4698	4596	4594	4495	4420	4266	4150
"Falkirk"	"S12000014"	11477	11403	11328	11110	10955	10616	10182	9801	9426
"Fife"	"S12000047"	21051	20623	20102	19625	19404	18877	18170	17398	16622
"Glasgow City"	"S12000049"	78121	75925	73797	70371	69108	66216	63225	61860	60261
"Highland"	"S12000017"	37636	37596	37411	36811	36358	35563	34521	33792	33039
"Inverclyde"	"S12000018"	9622	9395	8958	8472	8353	8118	7772	7400	7070
"Midlothian"	"S12000019"	2715	2666	2591	2552	2527	2444	2361	2267	2174
"Moray"	"S12000020"	6964	6956	6928	6822	6742	6608	6385	6198	5974
"Na h-Eileanan Siar"	"S12000013"	5285	5326	5439	5398	5336	5242	5107	4989	4810
"North Ayrshire"	"S12000021"	10930	10715	10500	10363	10236	9995	9660	9336	9059
"North Lanarkshire"	"S12000050"	22258	21739	21139	20737	20523	19875	19053	17998	17178
"Orkney Islands"	"S12000023"	5676	5868	5948	6008	6029	6025	6030	6008	5936
"Perth and Kinross"	"S12000048"	17364	17206	16858	16200	15591	14981	14579	14147	13659
"Renfrewshire"	"S12000038"	14998	14657	14395	14011	13827	13429	12906	12388	11952
"Scottish Borders"	"S12000026"	16617	16376	16136	15859	15707	15394	14885	14347	13890
"Shetland Islands"	"S12000027"	8510	8517	8521	8510	8519	8496	8470	8403	8327
"South Ayrshire"	"S12000028"	7865	7770	7612	7487	7335	7098	6808	6541	6260
"South Lanarkshire"	"S12000029"	28915	28695	28213	27621	27016	25819	24615	23670	22739
"Stirling"	"S12000030"	7598	7467	7293	7089	6973	6799	6591	6396	6161
"West Dunbartonshire"	"S12000039"	7022	6822	6566	6256	6197	6008	5817	5628	5437
"West Lothian"	"S12000040"	6190	6091	6013	5918	5885	5758	5536	5314	5111
"(unallocated)"	""	4922	4827	4771	4730	4796	4887	4709	4629	4515
"Scotland Total*"	"S92000003"	505033	496668	487101	474981	467329	453726	437997	424169	410155
