"Local Authority"	"LA Code"	"2010"	"2011"	"2012"	"2013"	"2014"	"2015"	"2016"	"2017"	"2018"
"Aberdeen City"	"S12000033"	0.132879059025069	0.129486739171914	0.125952688826348	0.122923060641338	0.119431415212956	0.115118577075099	0.110388981946771	0.105888460397508	0.100754114194435
"Aberdeenshire"	"S12000034"	0.149624122139693	0.146010351118889	0.142379402189997	0.138217906338116	0.131980140827563	0.125993577168432	0.121477141203704	0.11717714516222	0.112680504119657
"Angus"	"S12000041"	0.176422800920702	0.174037797073581	0.170754023609174	0.166694102330036	0.161760541338143	0.155626663476779	0.149113488441685	0.142643540669856	0.135702746365105
"Argyll and Bute"	"S12000035"	0.272519727265763	0.27078497251069	0.268515701071081	0.26443556595318	0.26049339766763	0.255832602051623	0.250771698341605	0.245298731187354	0.240073462449153
"City of Edinburgh"	"S12000036"	0.155530105189443	0.15207935459041	0.149832112773902	0.14718454153598	0.145107207458408	0.141929934313419	0.137449707065716	0.132942733869386	0.128478577045393
"Clackmannanshire"	"S12000005"	0.113304232302145	0.111292341539279	0.108609271523179	0.101147067760559	0.098851007722735	0.0959692898272553	0.090558261521169	0.0858708210651858	0.0814493076437614
"Dumfries and Galloway"	"S12000006"	0.230853522257543	0.224554403920378	0.220189055589281	0.215761965691484	0.211981914091937	0.206317718721363	0.199669984793417	0.193091977362077	0.18664100262768
"Dundee City"	"S12000042"	0.202458047230087	0.196605744125326	0.186981387814473	0.179868572950892	0.171663006276547	0.164566743943823	0.156246133774224	0.149168528170762	0.143531719780094
"East Ayrshire"	"S12000008"	0.065041825217154	0.0632575394160351	0.0612938754010439	0.0595278003927015	0.0578873953842252	0.0551389152585279	0.0530092738628478	0.0500456247443441	0.047401116615554
"East Dunbartonshire"	"S12000045"	0.0912063433674616	0.0894788393257968	0.0876794549436288	0.086194715274834	0.0845668502754131	0.0828918542123083	0.0804543116071075	0.0771841212216873	0.0747535059119299
"East Lothian"	"S12000010"	0.145624284300215	0.14330026009055	0.140659509497014	0.138166711337443	0.135999695707575	0.132187169011953	0.128116278634176	0.122881590862888	0.118117277754458
"East Renfrewshire"	"S12000011"	0.118230915194862	0.115098860143753	0.11329490920491	0.110669652531966	0.109841239479725	0.106777205026486	0.104154393571647	0.100225542712151	0.097123733295888
"Falkirk"	"S12000014"	0.140697788456823	0.139110173110002	0.137435698340289	0.134293899358145	0.131115951742627	0.126569299552906	0.120785783767112	0.115904494979955	0.111056128941043
"Fife"	"S12000047"	0.109555605285482	0.10703794052006	0.10410258003708	0.101522973937695	0.0996364532626779	0.0965298942502403	0.0924728993841926	0.0881393369538786	0.0839562792952966
"Glasgow City"	"S12000049"	0.21841763870405	0.212961404689779	0.207760069594007	0.199163395437166	0.194803767085639	0.187115862291135	0.178912011228515	0.174478131002445	0.169488617506595
"Highland"	"S12000017"	0.247213299965187	0.24552810485688	0.242969592268825	0.238688384277211	0.23428508831281	0.228617162840631	0.221556886227545	0.216059999616371	0.210341688259599
"Inverclyde"	"S12000018"	0.210339927860968	0.205732930407743	0.198396527285613	0.189187378575735	0.18601906288972	0.180866232956065	0.173474398464354	0.16537051935282	0.158516625187776
"Midlothian"	"S12000019"	0.0688387423935091	0.066726735746108	0.064128901319209	0.062533692722372	0.0609929762738046	0.0580109185853311	0.0552474552474552	0.0524452875584139	0.0495871538707176
"Moray"	"S12000020"	0.137685600743392	0.136818709309416	0.135609145004698	0.133197961614308	0.130775497536564	0.127589735668359	0.122663439186982	0.118542603041025	0.11385770645524
"Na h-Eileanan Siar"	"S12000013"	0.258359405553383	0.257955150869376	0.262145748987854	0.259756508348973	0.256822447899119	0.252358944733295	0.246977463971371	0.241527885360186	0.233415829572475
"North Ayrshire"	"S12000021"	0.142232516982016	0.139235407245699	0.136613799294813	0.13469462027373	0.132079123601595	0.128824787977212	0.124500579971646	0.120169906036813	0.116234907681846
"North Lanarkshire"	"S12000050"	0.135256012931296	0.131677297038639	0.127747393866143	0.124962337145819	0.122701917385612	0.118343019101605	0.112912688676729	0.106221744827016	0.10092061123416
"Orkney Islands"	"S12000023"	0.357250755287009	0.362199864205913	0.362727161849006	0.363130855243276	0.361906476979411	0.359615614181688	0.35897130610787	0.355271716634143	0.351076413532056
"Perth and Kinross"	"S12000048"	0.198575071761033	0.195985966830691	0.191509423245141	0.18417043723426	0.17667656324366	0.169554637541735	0.164617278095819	0.159230578754249	0.153415025889277
