"Year"	"Annual"	"Asset"
1998	-1.790784104	-22.103247163
1999	1.348171432	-5.079306915
2000	15.292897102	47.205580854
2001	11.631576998	61.315430133
2002	9.897752097	63.859189876
2003	10.880066878	82.463136995
2004	9.446530901	94.158750843
2005	17.288835488	96.032756731
2006	20.79052	111.1836
2007	18.18336	127.1744
2008	30.89743	163.9419
2009	16.0345	177.916
2010	18.27803	181.9591
2011	21.06215	189.9843
2012	15.95472	203.3142
2013	10.72416	182.3433
2014	4.971276	175.8298
2015	-1.261487	136.7626
2016	0.5808466	80.56388
2017	4.341427	46.78624
2018	10.1055165115791	41.9611413676612
2019	6.47976934320465	40.7605892024934
