Month,Application Submitted,Awaiting Construction,Under Construction,Operational
Mar-16," 4,163 "," 6,258 "," 1,882 "," 5,526 "
Jun-16," 4,151 "," 6,382 "," 1,709 "," 5,734 "
Sep-16," 5,926 "," 3,920 "," 1,995 "," 5,812 "
Dec-16," 5,222 "," 4,403 "," 1,784 "," 6,022 "
Mar-17," 5,176 "," 4,338 "," 1,479 "," 6,558 "
Jun-17," 2,947 "," 5,829 "," 2,275 "," 6,674 "
Sep-17," 2,650 "," 6,074 "," 2,285 "," 6,747 "
Dec-17," 2,085 "," 6,248 "," 1,748 "," 7,283 "
Mar-18," 1,939 "," 6,429 "," 1,414 "," 7,617 "
Jun-18," 2,310 "," 6,500 "," 1,435 "," 7,701 "
Sep-18," 3,170 "," 6,523 "," 1,283 "," 7,855 "
Dec-18," 4,054 "," 6,667 "," 1,125 "," 8,091 "
Mar-19," 4,587 "," 6,769 "," 1,120 "," 8,097 "
Jun-19," 4,028 "," 6,874 "," 1,983 "," 8,184 "
Sep-19," 3,598 "," 7,107 "," 1,129 "," 9,038 "
Dec-19," 3,808 "," 7,105 "," 1,189 "," 9,026 "
