Month,Application Submitted,Awaiting Construction,Under Construction,Operational
Mar-16," 1,378 "," 1,410 ", 731 ," 2,826 "
Jun-16," 1,330 "," 1,471 ", 652 ," 2,916 "
Sep-16," 1,499 "," 1,084 ", 752 ," 2,955 "
Dec-16," 1,273 "," 1,236 ", 663 ," 3,061 "
Mar-17," 1,251 "," 1,179 ", 566 ," 3,253 "
Jun-17, 922 ," 1,367 ", 705 ," 3,302 "
Sep-17, 820 ," 1,416 ", 721 ," 3,335 "
Dec-17, 647 ," 1,501 ", 540 ," 3,516 "
Mar-18, 610 ," 1,551 ", 391 ," 3,647 "
Jun-18, 625 ," 1,586 ", 371 ," 3,686 "
Sep-18, 677 ," 1,594 ", 325 ," 3,732 "
Dec-18, 856 ," 1,591 ", 275 ," 3,805 "
Mar-19, 945 ," 1,625 ", 269 ," 3,811 "
Jun-19, 900 ," 1,539 ", 422 ," 3,844 "
Sep-19, 776 ," 1,606 ", 253 ," 4,000 "
Dec-19, 820 ," 1,566 ", 272 ," 4,004 "
